"nu" "alpha"
2.021503 0.09212331
2.009104 0.3421338
1.698748 0.3081722
3.194662 0.2129225
1.665292 0.2146249
2.7604 0.369632
4.642441 0.0922445
4.869874 0.3710616
4.246029 0.2729323
3.436354 0.3798278
1.69125 0.2273609
3.621752 0.4770804
5.294333 0.1644339
5.328334 0.03408753
4.015381 0.2922237
2.469172 0.1420055
1.875206 0.07165569
2.0012 0.4031533
1.381268 0.1072181
1.426407 0.491865
0.9358401 0.1287588
1.430744 0.03416885
1.018532 0.1463502
1.038034 0.3844489
1.198651 0.2126844
1.212743 0.2788191
1.547312 0.4679308
1.77232 0.1768025
1.687154 0.4902436
3.831976 0.3401411
2.486685 0.465957
2.698352 0.3468844
7.353157 0.147361
2.748577 0.3439874
7.984138 0.1684806
4.262733 0.4785833
9.75243 0.1801903
3.885059 0.2398966
5.671089 0.07528537
3.811078 0.2849274
3.946506 0.4009805
2.984893 0.1006391
3.965948 0.2052483
9.411836 0.08527007
5.535129 0.06294809
2.98045 0.4207606
7.92268 0.2060085
2.340808 0.4244178
3.623545 0.06897185
2.77258 0.2105918
3.64636 0.1355066
6.232587 0.1984195
2.341386 0.482591
7.195034 0.2515082
4.173168 0.2632568
3.201408 0.1304992
4.333386 0.3267243
2.77653 0.2292499
2.02309 0.269082
1.784462 0.1070282
2.668793 0.3465392
1.501671 0.1333163
1.582565 0.04940402
1.387844 0.4724867
1.606927 0.4485741
2.204569 0.4941516
2.277329 0.1698144
2.438367 0.1829099
1.625908 0.1273602
1.192869 0.2038566
2.516677 0.2267898
2.495056 0.2934287
3.658294 0.390675
4.186074 0.2919418
2.402022 0.3591276
3.067374 0.4025075
3.448722 0.2432875
4.092147 0.1855746
2.388676 0.2166727
2.959511 0.1307743
2.435889 0.3425101
3.761047 0.05527513
2.750268 0.4889926
2.579788 0.09183717
1.880078 0.4482983
2.182548 0.1325851
4.27417 0.3399897
2.151037 0.2553128
1.632061 0.4017195
2.737769 0.309911
2.70343 0.4876616
4.340613 0.2010781
3.490247 0.2997191
8.520392 0.3023264
8.783997 0.2428882
3.783568 0.3463274
3.646028 0.3479798
1.823493 0.2400127
1.81679 0.1585107
1.800826 0.1767291
1.533424 0.1830874
1.562781 0.3334303
1.280469 0.1884431
1.022955 0.1534302
0.9678884 0.08262987
1.413753 0.4207591
1.279252 0.1624795
1.034369 0.2943221
1.710205 0.08940207
2.164058 0.2582583
1.454188 0.03628379
2.245822 0.3888756
1.353665 0.2204265
1.900188 0.2104433
1.620487 0.4573214
2.534893 0.3100735
4.93724 0.3866048
3.416892 0.3953296
2.886758 0.4093211
4.340414 0.4185834
4.75699 0.2967524
2.746831 0.1951127
2.144483 0.2114804
3.041895 0.362144
4.229965 0.03377166
1.628797 0.3372436
2.061373 0.3444216
3.557446 0.1719214
2.663273 0.1710579
3.291534 0.4862532
4.478078 0.4854374
1.594037 0.4667113
2.590361 0.4168261
2.137018 0.2010822
2.6913 0.1018655
3.559266 0.2396009
4.955755 0.1156319
2.635054 0.2815507
1.998396 0.372116
3.054486 0.1732403
3.02618 0.1539831
5.856586 0.3560466
4.323127 0.2833317
4.418245 0.1842743
3.600482 0.2701061
2.401334 0.4406344
2.122714 0.211525
2.697616 0.4355534
2.495964 0.3639917
1.716597 0.2905654
3.213585 0.4021432
2.559192 0.1949812
1.162929 0.4118759
1.204416 0.4055754
1.308226 0.2813969
1.392471 0.4014408
1.170824 0.2858774
1.846889 0.1558446
2.393964 0.2150887
1.969982 0.2807623
1.654096 0.3697818
1.334864 0.1144657
1.492197 0.3936183
1.769023 0.4901725
1.29234 0.2886076
1.102301 0.4531971
1.319524 0.1351088
1.312351 0.496725
1.374948 0.1955868
1.068525 0.362418
0.8296791 0.4298323
0.9535781 0.2086885
1.254011 0.4318954
1.566691 0.3105648
1.096269 0.3730367
0.9882601 0.1866996
1.086694 0.3674146
1.517293 0.4425557
1.388637 0.4341167
1.279697 0.2691195
1.463461 0.4733262
0.8578917 0.2855834
1.038215 0.2468561
1.186118 0.3099255
1.112762 0.2418361
0.7287282 0.1337904
1.314373 0.1612147
1.341961 0.08897877
1.232996 0.1672019
1.243122 0.163165
1.234326 0.3747809
1.874393 0.4327623
1.417962 0.2556547
1.406379 0.2726913
1.509792 0.4460802
1.697965 0.4813519
2.134676 0.1463483
2.731369 0.2283306
2.567029 0.1568161
3.210596 0.4770578
2.089587 0.4434301
3.076317 0.2983962
2.950422 0.3066203
5.278443 0.1035525
4.153192 0.3033248
2.497722 0.1993869
2.780788 0.3398314
3.673048 0.2399828
6.708461 0.2812286
4.984067 0.1551975
2.526446 0.3993827
2.806631 0.2156699
4.073238 0.2899208
2.595488 0.2962224
2.058307 0.4777465
4.978634 0.2831066
4.680964 0.4379366
3.212517 0.4872646
6.272285 0.07424935
4.731596 0.1629144
6.374263 0.389219
3.961673 0.319414
4.133703 0.05720725
8.314528 0.1677844
2.893683 0.4140443
3.092003 0.1486858
2.199539 0.07279233
6.028207 0.1882966
3.360072 0.2906553
3.886831 0.3184493
9.29113 0.2983413
2.374057 0.2198221
3.702503 0.3923126
4.004342 0.1806945
2.043416 0.1722707
2.04372 0.3585889
1.923236 0.3715746
2.7168 0.474569
3.115837 0.4356177
4.515476 0.4223086
3.228963 0.3916976
4.748118 0.2351903
3.17012 0.4137271
2.186063 0.321035
2.720756 0.3931577
3.143392 0.2703698
4.444773 0.2198768
1.755273 0.05175556
2.925172 0.2860765
3.362042 0.4854869
4.012036 0.3121902
4.583483 0.4975784
3.167996 0.3778773
3.44028 0.4041574
8.659084 0.1876943
5.871261 0.1616316
7.577772 0.4435102
4.465436 0.3582555
2.799693 0.3904877
5.278906 0.4970714
3.693244 0.257586
4.753732 0.2323836
4.134584 0.1014905
8.557015 0.09280403
4.170203 0.1885799
4.060629 0.277946
4.194398 0.4701475
7.119494 0.2907231
4.198119 0.4048809
4.500983 0.4054098
2.04663 0.3841394
1.7813 0.3768336
1.895979 0.3590918
3.691009 0.2313272
3.776554 0.2206341
3.439405 0.2380376
5.970015 0.1588308
2.270164 0.07071444
2.759604 0.2956479
2.612563 0.4107679
3.709873 0.4139668
5.395407 0.208151
4.824396 0.06461219
7.550408 0.2609025
2.765302 0.3331393
2.71086 0.2285241
3.309733 0.09668307
4.244828 0.2896711
2.316676 0.4118808
4.739526 0.3929498
2.261694 0.3304482
1.710608 0.1003829
1.514416 0.3764952
3.126056 0.05531624
1.895981 0.3822315
