"p_1" "p_2"
0.2950524 0.7049476
0.3241391 0.6758609
0.3330245 0.6669755
0.3671301 0.6328699
0.3732922 0.6267078
0.2902107 0.7097893
0.3255941 0.6744059
0.3846347 0.6153653
0.395862 0.604138
0.3133475 0.6866525
0.2913491 0.7086509
0.3392867 0.6607133
0.2480163 0.7519837
0.3141931 0.6858069
0.2595942 0.7404058
0.2308861 0.7691139
0.2790194 0.7209806
0.2656468 0.7343532
0.18945 0.81055
0.3126642 0.6873358
0.273068 0.726932
0.313441 0.686559
0.2773495 0.7226505
0.2570952 0.7429048
0.2725521 0.7274479
0.2771512 0.7228488
0.3262084 0.6737916
0.4302111 0.5697889
0.2291765 0.7708235
0.2710181 0.7289819
0.2274117 0.7725883
0.331095 0.668905
0.3000561 0.6999439
0.3598417 0.6401583
0.2903697 0.7096303
0.325513 0.674487
0.3509206 0.6490794
0.2887199 0.7112801
0.2453932 0.7546068
0.2860805 0.7139195
0.2478074 0.7521926
0.2624738 0.7375262
0.3584827 0.6415173
0.3919676 0.6080324
0.3152911 0.6847089
0.2864591 0.7135409
0.342999 0.657001
0.2517086 0.7482914
0.2917023 0.7082977
0.3759128 0.6240872
0.2713241 0.7286759
0.2427995 0.7572005
0.3681022 0.6318978
0.2794377 0.7205623
0.2770525 0.7229475
0.2569121 0.7430879
0.3851099 0.6148901
0.3119847 0.6880153
0.2680144 0.7319856
0.2545573 0.7454427
0.4866964 0.5133036
0.3378399 0.6621601
0.366518 0.633482
0.3806144 0.6193856
0.2832708 0.7167292
0.2557054 0.7442946
0.2390724 0.7609276
0.3694567 0.6305433
0.3103443 0.6896557
0.2453091 0.7546909
0.3130823 0.6869177
0.3130192 0.6869808
0.3429964 0.6570036
0.2916566 0.7083434
0.3291878 0.6708122
0.2936403 0.7063597
0.2982423 0.7017577
0.328955 0.671045
0.3249992 0.6750008
0.2328722 0.7671278
0.3686757 0.6313243
0.3841268 0.6158732
0.3704874 0.6295126
0.3234949 0.6765051
0.2518098 0.7481902
0.231543 0.768457
0.2502612 0.7497388
0.2959359 0.7040641
0.2451521 0.7548479
0.3198383 0.6801617
0.3229689 0.6770311
0.2968912 0.7031088
0.3892042 0.6107958
0.2169533 0.7830467
0.3148359 0.6851641
0.2481377 0.7518623
0.3592603 0.6407397
0.2597777 0.7402223
0.3277084 0.6722916
0.2745362 0.7254638
0.4493129 0.5506871
0.2842161 0.7157839
0.2047804 0.7952196
0.2546633 0.7453367
0.2791823 0.7208177
0.3560715 0.6439285
0.2147489 0.7852511
0.3001569 0.6998431
0.3842709 0.6157291
0.2887341 0.7112659
0.2184386 0.7815614
0.310852 0.689148
0.3822648 0.6177352
0.2185859 0.7814141
0.3158642 0.6841358
0.313932 0.686068
0.276913 0.723087
0.4235365 0.5764635
0.2850278 0.7149722
0.3850264 0.6149736
0.2651701 0.7348299
0.3178456 0.6821544
0.3349942 0.6650058
0.2505041 0.7494959
0.2557786 0.7442214
0.3147932 0.6852068
