"res" "LCI" "UCI"
-3.06506108695251 -3.35146208205965 -2.80858233669906
-2.97481812898148 -3.24812779872764 -2.72768520207201
-2.66212251240175 -2.89192416181994 -2.45486432089366
-2.60737235106705 -2.82915907009512 -2.40519123869629
-2.58909668602266 -2.8081694234459 -2.38936374176919
-2.5382499414317 -2.75096355486601 -2.34459711023319
-2.37187773798533 -2.56081716189057 -2.19677805756328
-2.35452814794774 -2.54068207050964 -2.18194331186118
-2.33440028808037 -2.51717873390293 -2.16404801250968
-2.31954405527802 -2.50102833507183 -2.14965997957992
-2.31263306495892 -2.49406864156851 -2.14335617977101
-2.23639352526261 -2.40791341304792 -2.07522518370456
-2.23092866432656 -2.40194182058602 -2.07124049989068
-2.18309659740182 -2.34758244801449 -2.02920023530074
-2.17928347649913 -2.34433150687577 -2.02461805367455
-2.17368464452419 -2.33616022945336 -2.0209249932305
-2.16145661021711 -2.32145101348119 -2.01041739431352
-2.11832240774783 -2.27403916561201 -1.97086664751916
-2.0575185574617 -2.20737594030825 -1.91538569649215
-2.01704902559349 -2.16119674567457 -1.87822336530313
-2.00190682826337 -2.1443036943717 -1.86536457385658
-2.00008468648081 -2.14180310529766 -1.86419357871609
-1.98020153713133 -2.11975351277396 -1.84574024394587
-1.976764111219 -2.11629925008011 -1.8428952763562
-1.95710668244741 -2.09394294894463 -1.82458601128715
-1.90378391017904 -2.03286454384689 -1.77719910094827
-1.90252715477525 -2.03168617998473 -1.77617600775804
-1.88765922974833 -2.01701701680113 -1.76200434084856
-1.88526356760752 -2.01363196639928 -1.76001731817241
-1.88025474216964 -2.00771516676872 -1.75471569964716
-1.87578708183486 -2.00270966764704 -1.75151685038726
-1.86283101662832 -1.98744165390006 -1.74051267535604
-1.8474575932688 -1.97292938664647 -1.72569443707567
-1.83697949454242 -1.95930108226982 -1.71698750266207
-1.82462170788058 -1.94529676573732 -1.70509279414716
-1.80518318483922 -1.92343296765528 -1.68759463965051
-1.7644847495051 -1.88021536927915 -1.64991833742998
-1.7594576041558 -1.87511157678685 -1.64510448927253
-1.75650713640286 -1.8716011443548 -1.64204581635827
-1.75388877156694 -1.86923564526862 -1.63895103463472
-1.71221115349129 -1.82180061473768 -1.60146688298239
-1.70250387660158 -1.81190878663271 -1.59294063375464
-1.69018659041714 -1.79907673562372 -1.5805831686272
-1.66505086454536 -1.7714938856523 -1.557708534352
-1.64219706717784 -1.74698637681874 -1.53637262747401
-1.62425417006876 -1.7274958657222 -1.52046124354977
-1.62072785358611 -1.72358742452762 -1.51560471939019
-1.60943343458665 -1.71164296354085 -1.5059235632528
-1.60242435008811 -1.70601292459623 -1.49983747236965
-1.57673217373186 -1.67693783721365 -1.47561124850481
-1.56442457147901 -1.6674611896424 -1.46307394617087
-1.5432887542558 -1.64322632821053 -1.44523481485952
-1.5380175938698 -1.63696761579192 -1.43940021770272
-1.53365812717978 -1.63144604536953 -1.43365976299059
-1.50588043992457 -1.60276440064567 -1.40925363227566
-1.50043630785184 -1.59900075162282 -1.40385726665935
-1.49757320585061 -1.59518053550433 -1.40084795256599
-1.46399716506714 -1.5595253122205 -1.36991704834722
