"Delta_1" "Delta_2"
-2.675293 4.255384
-2.645295 4.60049
-2.685425 4.951973
-2.761506 4.857106
-2.822806 4.31149
-2.765269 5.813335
-3.052658 5.906245
-2.812946 5.470223
-2.83729 4.608636
-2.696344 4.452674
-2.719075 4.836846
-2.610181 6.873343
-2.639133 6.863312
-2.738552 5.249958
-2.772731 5.840917
-2.751784 4.452564
-2.741842 3.657276
-2.707904 4.56195
-2.769274 4.212906
-2.872686 4.305695
-2.978894 4.83177
-2.940268 4.889395
-3.183767 4.768932
-3.106681 4.920776
-3.005098 4.270889
-2.994519 4.829799
-2.908206 4.992669
-2.842003 5.147404
-2.798882 5.617586
-2.704733 4.306185
-2.584813 3.921874
-2.655898 4.009167
-2.669257 4.118646
-2.739563 4.275891
-2.643436 4.085154
-2.785318 3.452178
-2.735265 5.237069
-2.742179 4.597326
-2.628451 4.667599
-2.608342 4.766441
-2.711352 5.079887
-2.855825 5.363678
-2.919153 5.101676
-2.861877 5.490333
-2.776048 5.475089
-2.850967 5.848105
-2.678688 4.409933
-2.697317 3.795735
-2.832826 4.622008
-2.748331 5.079901
-2.836209 5.151443
-2.957566 4.12243
-2.929122 6.190501
-2.820648 4.799689
-2.68812 5.088542
-2.745429 5.28016
-2.699797 4.233976
-2.769462 5.504557
-2.729547 5.108695
-2.772828 3.826524
-2.662962 4.33459
-2.82553 4.511841
-2.783622 4.145118
-2.74923 3.462182
-2.747914 3.9107
-2.831484 4.463839
-2.878626 5.272326
-3.009584 4.698886
-2.870414 4.736502
-3.013309 5.070212
-3.003882 5.571385
-3.113155 7.209728
-2.986723 6.726638
-3.027878 5.856475
-3.058264 6.380029
-3.013551 4.80075
-2.946168 4.067795
-2.923568 3.740032
-2.802521 3.989948
-2.752767 5.039622
-2.668921 4.518144
-2.813706 4.317213
-2.832466 5.759866
-3.04206 5.070681
-2.94006 5.157637
-3.055427 5.80811
-3.060965 5.983913
-3.13424 6.479727
-2.993496 5.747872
-3.082942 5.502988
-3.040076 5.069563
-3.108017 5.541684
-3.002173 4.857672
