tau2_1 tau2_2 
0.01623094 0.1903879 
0.03382109 0.2621833 
0.02285787 0.8115722 
0.03466364 0.06329155 
0.0343493 0.0675398 
0.03158713 0.8825851 
0.02098735 0.1041948 
0.04521865 0.08465055 
0.0202912 0.04705487 
0.01359441 0.4377896 
0.075565 3.545551 
0.006516209 0.8259389 
0.06032671 0.1249958 
0.01505779 18.28627 
0.03012998 1.02576 
0.01004628 0.7652764 
0.01723316 11.30276 
0.02182477 1.815156 
0.04126334 0.177035 
0.01803101 0.05973323 
0.02555537 0.1794641 
0.02940708 0.506781 
0.07262515 2.193748 
0.0140691 0.7421073 
0.02171349 1.86381 
0.01990613 0.1393154 
0.03343696 0.1832117 
0.02335456 0.04585718 
0.03199564 0.02649295 
0.01284965 0.00995337 
0.01340756 0.1062367 
0.03018017 0.3863925 
0.02077701 4.921854 
0.03554321 0.2880133 
0.08701129 0.728761 
0.06160375 1.011995 
0.02485042 0.07971826 
0.01281921 0.04191149 
0.01052354 0.2802285 
0.01456094 15.97962 
0.0212836 1.248433 
0.0149801 1.12263 
0.01839212 0.07483535 
0.04647523 0.2983631 
0.0112244 0.3228872 
0.01927812 2.64135 
0.008331648 0.04032564 
0.01549939 0.06955005 
0.02885571 0.2657171 
0.02616071 0.08051452 
0.02962005 0.07586403 
0.02985699 0.04232062 
0.03118771 0.2846864 
0.02242368 9.009403 
0.01254197 0.02425096 
0.01768471 0.07439177 
0.02387435 0.08501042 
0.02715518 2.643748 
0.02116648 4.45009 
0.01686832 0.1753144 
0.02848963 4.96564 
0.06297562 1.798399 
0.03550932 0.03423159 
0.01552659 0.3668791 
0.05513099 1.356151 
0.0233303 0.0866501 
0.01420402 1.146983 
0.02944794 1.986178 
0.01097359 16.84713 
0.02997047 84.44008 
0.02344095 18.82624 
0.013754 0.5882485 
0.0124527 0.6394859 
0.09559317 0.7876844 
0.02958121 0.0663262 
0.02425347 0.2443936 
0.02124368 0.09387026 
0.03034411 0.1303712 
0.01295786 0.7370949 
0.0164255 0.09516054 
0.01791141 0.06087714 
0.01575068 14.09268 
0.01809532 0.1270442 
0.0153818 0.1303727 
0.0202464 0.6230697 
0.03002699 0.2277235 
0.03056491 1.221368 
0.01522166 0.07850609 
0.02166306 0.09295853 
0.01467676 0.808591 
0.02689811 0.5328224 
0.01866913 1.015195 
0.01936714 3.782356 
0.03119444 11.97986 
0.02189498 0.01289411 
0.01928798 1.424925 
0.02069417 6.371548 
0.03950412 0.2075638 
0.01586179 0.5953114 
0.04009839 0.3719882 
0.01940267 0.1165188 
0.03308006 0.399936 
0.03600344 0.2388573 
0.01868591 0.1046443 
0.01465389 0.9845278 
0.04694809 1.75395 
0.03471259 5.004354 
0.01620901 1.326496 
0.04586933 0.1014381 
0.03845413 0.04764811 
0.03333379 0.03439744 
0.027655 0.04975943 
0.02770259 1.754999 
0.02928413 2.587304 
0.02428139 0.0983358 
0.01574951 0.7157996 
0.009127641 0.2390449 
0.02841142 0.1552349 
0.03779055 0.04539344 
0.01647373 0.06521413 
0.03046168 1.073251 
0.03182057 4.028853 
0.01375187 1.18775 
0.01012464 0.08999046 
0.00666778 0.06870295 
0.03271739 5.577583 
0.01746049 1.709919 
0.02936248 7.327383 
0.01133268 1.663275 
0.02275708 0.4306671 
0.02018213 1.552614 
0.01646631 0.959164 
0.01507985 0.1001738 
0.03455714 0.7499683 
0.01403631 1.582715 
0.01578213 0.8889256 
0.02172332 0.05163395 
0.01904754 0.4357779 
0.01052519 0.2182967 
0.0734651 7.972126 
0.01981539 6.512908 
0.02130509 0.38733 
0.01795988 0.3353276 
0.02177968 1.606833 
0.01306404 3.148699 
0.02254563 0.5130021 
0.03484915 4.433488 
0.03240166 41.32539 
0.01111896 28.58735 
0.02340963 0.6533661 
0.02197459 1.000251 
0.01690391 3.884952 
0.01996716 26.05385 
0.03207366 32.60558 
0.02776496 1.210943 
0.07909145 0.5612094 
0.01627015 0.5144603 
0.02171117 0.08112411 
0.008712057 0.538982 
0.02509575 0.5728222 
0.04874774 0.155393 
0.02804002 0.35451 
0.01255809 0.06288297 
0.009051415 0.9802584 
0.02842619 5.033502 
0.01412308 0.3923978 
0.01948056 0.1501753 
0.0296033 0.7783239 
0.01656866 0.2976683 
0.03133315 0.0851591 
0.03076555 1.986161 
0.0181152 2.688432 
0.04000697 2.260001 
0.02680982 0.3850935 
0.0190364 0.7560042 
0.04348419 0.1054267 
0.01825963 4.846368 
0.01218027 1.445201 
0.02953329 0.266179 
0.01412863 1.328595 
0.01566518 0.1076596 
0.03353135 0.02875327 
0.01682842 0.04547097 
0.01072312 17.4765 
0.02881972 0.4820732 
0.02707559 0.60982 
0.03592474 0.3021133 
0.01338346 2.083692 
0.03022617 3.717844 
0.02784865 2.089637 
0.01037448 4.958624 
0.01959897 4.025551 
0.02398712 3.856899 
0.01562515 0.5896601 
0.024852 12.65092 
0.01754908 0.6810836 
0.05632791 0.665274 
0.01270579 3.032662 
0.03914054 0.1812341 
0.01789276 0.4535331 
0.01577313 3.084943 
0.02041311 0.4682662 
0.02415346 1.029561 
0.01464303 1.258522 
