u.bar t.bar 
0.9497116 1.3357 
1.145366 1.345812 
0.967718 1.585905 
1.173567 1.497279 
1.029609 1.769627 
0.92439 1.743049 
1.083346 1.600055 
1.218006 1.579384 
0.8996517 1.369997 
0.8390291 1.543772 
1.040229 1.909505 
0.8302888 1.861798 
1.01531 1.840636 
0.9756075 1.721728 
0.954393 1.652552 
0.9025001 1.593736 
1.047287 1.267428 
1.148772 1.527562 
0.9199284 1.468311 
0.9528309 1.628221 
1.047319 1.18596 
0.9923738 1.174735 
0.9557331 1.23119 
0.9866455 1.369616 
0.9740527 1.573514 
0.9793914 2.29546 
1.192867 1.957906 
1.036374 1.918128 
1.056983 1.327983 
0.9201635 1.638392 
1.081589 1.634879 
0.981292 1.442366 
0.9541567 1.353529 
0.9700909 1.498019 
1.088765 1.247903 
1.017181 1.542203 
1.021024 1.22282 
1.051415 1.244873 
1.013606 1.050274 
1.284117 1.051425 
0.9846547 0.9596409 
1.069615 0.9471069 
1.075709 1.061978 
1.032189 1.001991 
0.9413921 0.9669988 
0.9363026 1.040461 
1.045003 0.9938145 
0.9032499 1.102746 
0.9771545 1.089425 
1.118856 1.070981 
1.165265 0.9887064 
1.10069 1.042074 
0.9083867 1.161314 
1.008854 1.362902 
1.041914 1.533773 
1.03011 1.419745 
1.190219 1.243385 
0.9357209 1.109124 
0.8401918 1.140096 
1.040274 1.273408 
1.154624 1.308329 
1.058126 1.673608 
0.8497612 1.542546 
0.9285914 1.761063 
1.081287 1.641618 
0.9952712 1.941973 
1.044534 1.507791 
0.9800298 1.539834 
0.9809646 0.8623858 
0.9441641 0.9027846 
1.048479 1.052105 
1.005737 1.081307 
1.126924 1.055561 
0.9480588 1.205842 
1.144299 1.046903 
0.9984754 1.197949 
0.919596 1.165486 
0.92372 1.195103 
1.097857 1.199595 
0.9385019 1.334923 
0.976884 1.212983 
0.9967786 1.408449 
0.927158 1.207426 
1.115058 1.355794 
0.8764203 1.528573 
1.203532 1.569458 
1.083157 1.615909 
0.8987216 1.959133 
1.056614 1.930739 
1.208431 1.852758 
0.9707025 2.043182 
0.9075742 1.550434 
1.058547 1.801388 
0.7846552 1.630099 
1.113774 1.370158 
0.8822881 1.52006 
1.051125 1.562606 
1.000144 1.640627 
0.8654953 1.217257 
0.8614321 1.354039 
0.8653883 1.794335 
0.8706985 1.72284 
0.8368667 1.667452 
0.9116501 1.745892 
1.127351 1.525277 
1.036176 1.545595 
1.081447 1.426385 
1.208299 1.618941 
0.8741136 1.354553 
1.034208 1.657282 
1.106874 1.482799 
1.026597 1.62991 
0.883374 1.489758 
1.237144 1.291159 
1.124842 1.624159 
1.044404 1.140214 
0.8326802 1.269264 
1.032643 1.182291 
0.9362454 1.197793 
1.00765 1.254078 
1.24423 1.463032 
1.123697 1.257757 
0.9198021 1.638418 
0.8766282 1.609901 
1.076872 1.394882 
1.178995 1.315694 
0.9569206 1.734538 
0.9177879 1.298055 
1.121311 1.404561 
0.8795117 1.432668 
1.026747 1.228223 
1.067492 1.111496 
0.9583248 1.25109 
1.136585 1.313815 
1.046491 1.205967 
1.158598 1.208652 
1.088242 1.215265 
1.055958 1.276851 
1.074978 1.200752 
1.271284 1.428248 
1.204251 1.479443 
1.053441 1.408724 
0.9963537 1.124343 
0.9959194 1.25606 
0.8914044 1.42564 
0.9582317 1.493825 
0.9585232 1.224337 
1.065032 0.8825298 
0.9075051 1.058036 
1.050839 1.209454 
1.123216 1.37884 
0.9789587 1.370162 
1.016461 0.9947443 
1.088679 0.771601 
1.05369 0.8788894 
1.107935 1.045534 
1.181679 0.9922417 
0.9875619 1.079212 
0.999784 1.327749 
1.004223 1.178753 
0.9232168 1.448989 
1.021567 1.152001 
1.023313 1.212918 
1.147172 1.404966 
0.8928866 1.784476 
1.032532 1.334191 
0.9197275 1.268827 
0.9359414 1.317162 
0.9029168 1.739335 
0.9980757 1.657133 
1.134958 1.656396 
1.0717 1.554752 
1.005611 1.952949 
0.9578596 1.976704 
0.9744698 2.262218 
0.8677934 1.957075 
1.06175 1.553632 
0.8623526 1.699974 
0.9399035 1.657941 
0.8989358 1.754252 
0.96037 1.38122 
1.055318 1.32081 
1.325427 1.420761 
1.020977 1.459789 
1.168533 1.292131 
0.9288303 1.154669 
1.053658 1.112404 
1.043521 1.198565 
0.9882405 1.272484 
0.9280757 1.320532 
0.9533549 1.544645 
0.9549679 1.89077 
1.000757 1.676982 
1.040413 1.381582 
1.090047 1.112604 
1.086584 1.011325 
1.144737 0.9791553 
0.9859012 1.558538 
0.9258111 1.350934 
1.171525 1.438451 
1.249053 1.796398 
1.194584 1.300208 
0.7956258 1.590261 
0.9429654 1.377791 
0.9463337 0.8804521 
1.002585 0.8690488 
1.051982 0.8765969 
1.182448 0.902541 
1.031019 1.068726 
0.9863361 1.29128 
1.09822 1.181712 
1.063851 1.314743 
0.883166 1.343901 
1.167976 1.056394 
0.9543894 1.173176 
1.077383 1.07146 
1.032514 1.176568 
1.390849 1.357849 
1.085706 0.9932136 
1.041019 1.341578 
1.222864 1.225597 
1.126523 1.122454 
1.032794 1.309525 
1.132079 1.273932 
0.9212748 1.104858 
1.129011 1.121459 
0.9649217 1.091779 
1.216983 1.075196 
0.9986166 1.327122 
0.9722951 1.429221 
0.9876331 1.496244 
0.9047172 1.656065 
0.8942422 1.401877 
0.9839095 1.574994 
1.022987 1.770102 
0.8673571 1.67016 
0.9814787 1.735007 
0.7999944 2.009823 
0.8102533 1.939758 
1.377477 1.82051 
1.121735 1.691582 
0.977825 1.99743 
0.9808461 1.496605 
1.035376 1.4658 
0.8311485 1.603832 
0.9786522 1.413577 
1.076101 1.22854 
1.002436 1.390538 
0.8885211 1.42734 
0.8819333 1.64452 
1.349764 1.459713 
0.9703179 1.581007 
1.140491 1.773607 
0.9553852 1.442568 
1.005022 1.521201 
0.9897556 1.387835 
1.304161 1.332296 
1.018525 1.635342 
0.910326 1.979474 
0.9574145 1.743297 
1.089596 1.311988 
1.144267 1.102939 
0.9373445 1.146646 
0.9693407 1.244484 
1.274263 1.27763 
0.9555443 1.04339 
1.059089 0.9439639 
1.049539 1.108957 
0.9794875 1.022879 
1.09688 1.202148 
0.9803289 1.313998 
0.9470652 1.370055 
1.166249 1.255935 
0.9584681 1.370852 
1.059426 1.449449 
1.102935 2.062578 
0.9852462 1.199095 
1.148036 1.274014 
0.8706401 1.169404 
1.288887 1.224157 
1.211293 1.227228 
0.8864627 1.220058 
1.004645 1.176027 
1.059228 1.652098 
1.056383 1.829222 
0.9517487 1.424891 
0.9418903 1.302671 
0.9987302 1.427964 
1.017964 1.558617 
1.104678 1.295523 
1.091129 1.447813 
1.107695 1.600013 
1.172722 1.394252 
0.9939222 1.738642 
0.7759255 1.554368 
1.007803 2.353507 
0.872988 2.033763 
0.8930559 2.000393 
1.075085 2.088521 
0.9935995 2.07714 
0.8769618 2.14258 
0.9037057 2.112796 
1.105035 1.875852 
1.114739 2.133228 
1.023085 2.210464 
0.9837891 2.593382 
1.051988 1.686834 
1.074781 1.935189 
1.170315 1.619653 
0.9688085 1.521016 
1.072838 1.478357 
1.002052 1.332206 
1.052332 1.083877 
1.11498 1.184797 
1.058829 1.171573 
1.155568 0.8962669 
1.130758 0.9509696 
1.037489 0.9585223 
1.126474 0.9938671 
1.068611 0.929146 
0.9414984 0.7548408 
1.040424 0.8101015 
1.072989 0.7219457 
1.020309 0.8519806 
1.050279 0.7466383 
1.086994 0.7953905 
1.119467 0.9189981 
1.043237 0.9547902 
0.9470954 1.153421 
0.9705509 1.316629 
1.113264 1.205471 
0.911898 1.340509 
0.9587081 1.297844 
1.102965 1.243271 
1.290133 1.159386 
1.062206 1.543666 
0.9868044 1.961646 
1.020939 1.451079 
0.9793581 1.213871 
1.092984 1.221081 
0.9825956 1.183947 
1.080068 1.17316 
1.070892 1.357394 
0.9813416 1.138072 
1.192528 1.509789 
0.9733092 1.357681 
1.053512 1.172592 
1.022746 1.08045 
1.033704 0.9386471 
1.193591 1.031096 
0.934184 1.023427 
1.040244 1.165908 
0.937332 1.353086 
0.9706922 1.375152 
0.9655448 1.353803 
1.010391 1.757262 
0.9502454 1.45543 
1.06375 1.605073 
1.019244 1.189756 
0.9239272 1.496612 
1.041566 1.398832 
1.335429 1.697847 
0.8316366 1.452651 
1.320168 0.8965968 
0.9876897 1.190569 
1.194291 1.027052 
1.030303 1.050081 
0.9677712 1.234995 
1.120712 1.394342 
0.8931776 1.539466 
1.02659 1.410695 
0.8935637 1.277126 
1.053918 1.252165 
1.000522 1.241582 
1.121593 1.169672 
1.008603 1.304335 
1.000687 1.315921 
0.8661841 1.117922 
1.039889 1.115946 
1.115863 1.160147 
0.9897422 0.9352425 
0.8354116 1.21596 
1.199001 1.123749 
1.004527 1.339431 
1.010512 1.257359 
1.104069 1.167032 
1.01296 1.292698 
1.152141 1.390532 
0.995887 1.487395 
1.048093 1.105305 
