Delta_1 Delta_2 Delta_3 
0.3867028 -3.420319 -1.948548 
0.8203975 -3.989262 -1.106217 
1.063662 -3.245531 -1.786698 
0.3414861 -4.191743 -1.930832 
0.7981645 -2.997792 -1.99343 
0.3198429 -2.426639 -1.718337 
0.1593961 -3.346754 -0.8635629 
0.5035348 -3.726061 -2.21162 
0.1790509 -3.593281 -1.48898 
0.4996192 -3.271725 -0.4288207 
0.9699921 -3.769043 -1.990404 
0.3653927 -4.402961 -1.571439 
0.4634369 -3.767692 -1.437217 
1.001171 -3.694293 -1.577667 
0.5858812 -3.347684 -1.676099 
0.5828987 -3.905312 -1.091827 
0.5043608 -3.961057 -0.9290258 
0.4854734 -4.354733 -1.395385 
0.400461 -3.890141 -2.038293 
0.5017844 -4.535946 -1.183824 
0.2898247 -4.747128 -1.222463 
0.2893681 -3.549075 -1.253893 
0.5431843 -3.121032 -1.302343 
0.7107395 -3.408742 -1.409858 
0.2911461 -3.644875 -1.541666 
0.6459997 -3.517017 -2.196437 
0.480914 -3.290618 -2.701106 
0.5463944 -2.78448 -1.537548 
0.6625149 -3.948448 -0.8813613 
0.7957065 -3.656137 -1.355648 
0.8037745 -3.411139 -1.43891 
0.5614312 -3.694958 -1.684484 
0.4652234 -5.79918 -1.178285 
0.8297261 -6.079144 -1.784075 
0.7741296 -6.465556 -1.956486 
0.6610334 -7.959765 -0.8350821 
0.6750122 -7.602731 -1.912133 
0.9437303 -6.770158 -1.975929 
0.9138006 -5.29605 -1.349439 
0.9779843 -4.53373 -1.599811 
0.8039607 -4.180693 -2.368409 
0.2119496 -3.370496 -1.867152 
0.4776971 -3.397971 -2.037566 
0.9001128 -3.269854 -1.150095 
1.050012 -3.768681 -1.80922 
0.863732 -3.863207 -1.451586 
0.7614121 -3.919024 -1.759928 
0.5078203 -4.939705 -2.415254 
0.4169939 -4.190918 -1.22752 
0.8926431 -4.412722 -2.034337 
1.190865 -2.982532 -1.637942 
0.7645131 -3.317815 -1.384789 
0.4672885 -3.537625 -0.9461916 
0.7485414 -4.18398 -1.657686 
0.08655725 -4.138264 -1.823601 
0.5590067 -3.751427 -2.052043 
0.9064456 -4.373786 -1.656072 
0.3837989 -4.36179 -1.835094 
0.4447994 -5.141226 -1.124068 
0.6709291 -3.813497 -0.8215975 
0.9254666 -2.55056 -1.3614 
0.870923 -2.484042 -1.587213 
0.178005 -2.331385 -0.6768114 
0.4085123 -2.801218 -1.334104 
0.7336422 -2.923508 -1.432302 
0.9833395 -2.747837 -2.149686 
0.6004409 -2.377831 -0.7704783 
0.5712225 -2.654141 -1.20735 
0.1618224 -2.116197 -1.451065 
0.3163332 -3.42792 -1.990255 
0.7014587 -3.756932 -1.656131 
0.5913065 -2.518531 -1.80319 
0.4841646 -2.375625 -2.098957 
0.04456892 -2.258257 -1.412903 
0.4857608 -1.981336 -1.724071 
0.3559019 -2.47761 -1.764308 
0.3457784 -2.020065 -1.935912 
0.2256691 -3.052003 -1.094314 
0.5409009 -3.917054 -1.573747 
0.4128799 -4.054749 -1.678726 
0.4276527 -3.54117 -1.568825 
0.02254453 -3.526966 -0.8907536 
0.5213038 -2.587731 -1.81317 
0.9886406 -2.917076 -0.798305 
0.5323656 -3.083066 -1.206129 
0.5615259 -3.5714 -1.852686 
0.9154109 -4.291218 -1.350587 
0.6847549 -5.259852 -1.283891 
0.7999627 -5.603831 -2.037285 
1.200552 -4.560817 -2.081013 
0.7157841 -5.821335 -1.427301 
0.6079685 -5.858765 -2.267436 
0.8618584 -2.924922 -1.962739 
0.7302763 -3.647732 -1.066424 
-0.002074147 -4.291728 -1.149393 
0.9490469 -5.254195 -1.597011 
0.4805293 -5.131332 -1.454025 
0.6691671 -5.928903 -2.374061 
0.8995708 -5.369774 -1.063331 
0.7538177 -5.336737 -1.172728 
0.6793876 -5.264729 -1.680891 
0.7115772 -6.300063 -1.193835 
0.9977398 -6.633625 -2.292119 
0.8270598 -2.18923 -1.061931 
0.7957493 -4.46619 -2.047123 
1.19156 -4.454697 -2.207743 
0.1236612 -5.726379 -1.411019 
0.7648622 -4.439297 -2.031912 
0.7599328 -3.720799 -1.649673 
0.287604 -3.921498 -1.277234 
0.8678643 -4.308951 -1.224624 
-0.1162288 -5.201337 -1.985495 
0.04413863 -4.301502 -1.310917 
0.9252286 -5.186083 -1.346652 
0.7195849 -4.187114 -1.354752 
0.8769256 -5.508978 -1.861274 
1.210572 -5.080735 -1.984142 
0.9471122 -5.511345 -1.527105 
0.8862661 -5.060288 -0.7911962 
0.6271932 -3.333368 -1.642277 
1.070937 -4.36591 -2.196557 
0.1069884 -4.686186 -1.292433 
0.6947813 -4.419466 -1.090886 
0.6603853 -4.180292 -1.401435 
0.5775276 -5.541372 -1.713031 
0.4383126 -5.44051 -0.7948716 
0.7329587 -4.571357 -1.756874 
0.8194244 -4.688931 -2.33905 
0.7967273 -4.634782 -2.202502 
0.634612 -4.700284 -0.9366652 
0.6370137 -3.65267 -1.468052 
0.8192084 -3.151247 -1.585156 
0.4923059 -4.1377 -1.0891 
0.444543 -3.799314 -0.9531607 
0.3649759 -3.873074 -1.28709 
0.6578759 -3.297793 -0.9086576 
0.7400637 -2.98801 -1.537203 
0.5893749 -4.349951 -1.43929 
0.9091218 -5.13634 -2.014479 
1.20153 -4.570297 -1.197831 
0.728325 -2.682112 -1.011736 
1.017063 -3.477159 -0.6644549 
0.4147138 -3.797783 -0.8579611 
0.8717742 -3.924501 -1.785337 
0.4377899 -4.266836 -1.161649 
0.5114178 -4.231629 -0.4078118 
0.3974045 -3.708191 -1.584607 
0.9031376 -4.107005 -1.408314 
0.2498257 -3.942987 -1.248303 
0.8205756 -3.976766 -1.324149 
0.6226585 -4.332205 -1.633606 
0.8083015 -4.270854 -1.917871 
1.168927 -5.194777 -1.365142 
0.8225513 -4.17731 -1.304039 
0.392791 -5.131782 -0.89352 
1.003867 -5.160545 -1.844985 
1.079091 -4.772108 -1.758919 
0.5670568 -4.543625 -1.460903 
0.6644061 -6.267489 -1.695087 
0.6347351 -4.057722 -1.978503 
0.5364654 -4.26713 -1.890947 
0.8787286 -4.685713 -1.840343 
0.9147786 -4.097328 -1.760813 
0.7231363 -4.430825 -2.169948 
0.7857391 -3.938364 -1.573207 
0.5004701 -4.210357 -1.616465 
0.7477766 -3.535838 -0.6764802 
0.6777714 -2.469025 -0.7162884 
0.8257028 -2.708273 -1.330274 
0.5955144 -3.54523 -1.137833 
1.064781 -2.279868 -1.657088 
0.3693894 -2.088411 -0.6876867 
0.595427 -2.566409 -0.545379 
0.5103705 -2.110116 -1.225929 
0.5950538 -2.187841 -1.456288 
0.7293413 -3.10868 -1.254395 
0.6095181 -2.802782 -0.9372759 
0.1770191 -3.395829 -1.408215 
0.9272374 -3.164204 -0.8077582 
0.8820849 -4.063094 -1.405448 
0.3624176 -3.57281 -1.316216 
0.6768662 -4.834575 -1.80697 
0.49269 -3.869876 -1.804983 
0.5390762 -4.111374 -1.038338 
0.6090744 -4.917827 -1.329675 
0.7082882 -5.632508 -1.865661 
1.016071 -5.422743 -2.018217 
0.7233871 -4.786246 -1.207614 
0.9663813 -3.256055 -1.267195 
0.5497961 -2.84561 -1.166256 
0.3546614 -2.823897 -1.390931 
0.2170546 -3.945051 -1.860309 
0.7018891 -3.90115 -1.130017 
0.4828003 -4.847851 -1.009065 
0.4877606 -4.918379 -1.547759 
