"nu" "alpha"
5.372027 0.03390462
7.827968 0.2517057
2.424659 0.1535146
2.669251 0.4324128
3.699032 0.4426096
2.710208 0.3911198
7.84771 0.3281863
2.442998 0.3600372
5.818077 0.2177126
3.532566 0.1677816
4.302466 0.2692135
6.832969 0.1302982
2.461757 0.2936672
1.915314 0.1987037
2.963149 0.07180535
9.121453 0.1419972
9.405573 0.1984303
7.099343 0.248664
2.776977 0.2783564
2.476726 0.4512896
3.700057 0.1176206
5.615716 0.2281656
1.546006 0.3644163
2.301331 0.1264385
2.128209 0.4249776
10.59045 0.1019461
5.419364 0.1413179
3.242496 0.03876406
5.543579 0.1250979
8.972488 0.2396075
2.682786 0.08836285
5.002398 0.06644466
3.755332 0.02503424
4.618029 0.4730847
2.238228 0.2571841
14.60132 0.1091149
13.18115 0.0947847
13.82826 0.03643795
6.025613 0.1824382
5.090694 0.2232215
5.730596 0.3086662
3.267213 0.1445207
3.262199 0.1945555
4.989305 0.2519916
4.473818 0.1984165
7.028854 0.0529693
5.380194 0.3839868
8.938477 0.3371892
2.359891 0.2414058
2.217126 0.225177
9.360993 0.1112699
4.8059 0.1308972
4.402768 0.3588976
5.313692 0.1046267
2.541056 0.4574484
2.497607 0.3117857
2.834377 0.3337167
3.191747 0.3754281
1.648352 0.1238756
1.769855 0.3228165
3.256033 0.2128206
2.55402 0.4950523
1.896955 0.1590554
3.869138 0.2782735
3.529344 0.2683292
4.055516 0.374697
2.646338 0.1046035
2.04867 0.0824053
2.187212 0.3770689
12.76012 0.1091121
3.057724 0.1375466
2.772029 0.4942139
4.344378 0.04510639
3.412324 0.206894
1.984166 0.4109037
1.688587 0.116822
2.358755 0.3069215
4.357556 0.3341315
2.767093 0.3850731
3.757204 0.3899471
7.124734 0.3793345
2.235357 0.4824004
2.958833 0.2072641
3.694997 0.315329
2.455101 0.4294246
9.29382 0.1563
3.037816 0.1359323
2.976122 0.4455363
5.315966 0.3262577
2.606681 0.2133004
1.293664 0.2213561
2.260878 0.4048417
3.379716 0.3385837
2.693872 0.1342203
2.382527 0.1787717
1.870149 0.3911731
3.475855 0.2352268
8.133529 0.1333666
3.889475 0.1731732
2.785255 0.08582304
9.480625 0.13995
3.553741 0.4782208
4.153673 0.06550434
2.039193 0.113993
3.499888 0.06148158
5.086431 0.1035593
2.416179 0.2171361
2.013548 0.1132974
2.057458 0.1141131
2.348087 0.4409513
3.550134 0.4956652
3.163366 0.4241744
1.737239 0.1736613
1.63677 0.170813
2.902608 0.4788337
2.071097 0.2884315
6.733568 0.3064232
9.437445 0.2068277
10.65648 0.2245939
21.77977 0.03652363
4.960456 0.4019619
5.329888 0.3527609
4.472393 0.4581368
8.041742 0.3073471
2.627385 0.4580318
2.83192 0.3519205
7.383513 0.2798665
5.817819 0.3126816
2.738211 0.3213051
4.392394 0.4841546
2.808001 0.3902544
2.739898 0.1115626
2.70827 0.1288188
1.783131 0.3850162
3.608806 0.3933499
2.19966 0.3807837
1.752931 0.380228
1.366999 0.4262746
5.573237 0.05457731
1.753265 0.08910927
2.037389 0.4210925
3.579197 0.4087749
1.975902 0.2062178
2.205323 0.2048692
2.115993 0.2767006
3.45783 0.3844561
3.997579 0.4012912
4.74052 0.2776928
6.131631 0.05705104
4.75172 0.43731
6.228495 0.3280534
6.174306 0.4819265
9.316269 0.4115613
3.691335 0.3533318
4.090119 0.2343461
1.894841 0.3358049
3.078095 0.4369558
3.334193 0.3666041
2.17637 0.1545808
2.305059 0.3457922
7.395669 0.161759
14.94338 0.07148416
14.96266 0.2012851
11.5547 0.1536538
9.763529 0.1730437
2.850493 0.3609619
1.823116 0.1708626
1.860508 0.4745056
4.18735 0.2991359
10.09066 0.3053394
5.469074 0.02813952
5.53144 0.1507855
6.805545 0.3441254
6.127971 0.38338
5.54668 0.2817048
5.573777 0.1766866
3.298191 0.04924214
3.628979 0.4187747
5.453827 0.1775899
3.724944 0.1349863
6.322436 0.08541123
2.640175 0.08473946
3.386048 0.3217838
1.988405 0.4265145
1.987017 0.4890046
2.57119 0.4970911
2.205588 0.2375182
3.149901 0.477074
6.583042 0.4799838
6.626199 0.2720987
2.927732 0.1727973
3.032423 0.2406249
1.664967 0.3150011
3.306846 0.1927448
3.118579 0.08383029
3.51844 0.07688207
2.341215 0.2092602
2.972125 0.3583636
6.987202 0.2538027
22.74206 0.03332042
3.396043 0.2473737
4.894223 0.250002
2.994125 0.3495469
2.775581 0.1683963
2.513137 0.2631423
5.921717 0.1795089
2.331053 0.4127779
3.036362 0.03865889
3.5104 0.1843895
3.087844 0.27488
4.298668 0.224041
9.714047 0.07751318
3.118583 0.2766486
2.732037 0.276462
2.778603 0.4964258
