"Delta_1" "Delta_2"
10.72138 -3.444085
11.54765 -3.487338
10.90247 -3.18702
10.78826 -3.527134
10.99573 -3.535179
9.9943 -3.372859
11.00621 -3.382699
10.40341 -3.430229
11.21491 -3.638914
10.85017 -3.729074
11.4828 -3.808909
10.05474 -3.36979
10.33535 -3.397702
10.08334 -3.310152
10.30372 -3.336961
11.14823 -3.233562
9.894745 -3.235028
10.31004 -3.049233
10.89922 -3.045396
10.41105 -2.98792
10.74708 -2.815756
10.44469 -3.154798
10.6888 -3.410182
11.09742 -3.113328
11.05621 -3.362692
11.11129 -3.473416
10.00948 -3.475932
11.42975 -3.511261
11.2324 -3.816376
10.49086 -3.57427
10.60086 -3.674124
10.59745 -3.331698
10.78615 -3.159009
10.25651 -3.271775
10.52708 -3.29345
10.58625 -3.464355
10.87252 -3.312515
10.39692 -3.223944
10.10528 -3.132376
10.50418 -3.101326
10.05255 -3.195887
10.28463 -3.396949
10.81156 -3.479306
9.907574 -3.666462
10.36788 -3.659654
10.86617 -3.817728
10.92466 -3.466472
10.32821 -3.659158
10.53098 -3.517506
10.87364 -3.353473
11.54436 -3.283041
10.74768 -3.765887
10.86101 -3.501579
10.89089 -3.687098
10.39345 -3.631816
10.1488 -3.561545
10.26398 -3.253585
10.03004 -3.436947
11.20301 -3.552069
10.60263 -3.516231
10.01753 -3.367665
10.28553 -3.475758
9.868425 -3.019559
9.819996 -3.106599
10.02119 -3.173008
10.30938 -3.532609
9.756408 -3.015962
11.08964 -3.158914
10.75215 -2.937907
10.14578 -3.248753
10.36358 -3.376182
10.97807 -3.54803
10.89197 -3.724932
11.16648 -4.024829
10.6495 -3.721255
10.24434 -3.505757
9.892965 -3.367998
10.95962 -3.375338
10.99191 -3.188788
10.97761 -3.517925
10.55993 -3.368468
10.83853 -3.571037
10.38759 -3.451655
10.40292 -3.15064
10.3962 -3.084694
10.0391 -2.961742
10.90241 -3.291308
10.06405 -3.447646
10.92919 -3.669088
11.08227 -3.394201
10.6984 -3.528633
10.99927 -3.372855
10.60329 -3.51216
10.43602 -3.454754
10.33337 -3.4478
10.85892 -3.565584
10.12101 -3.292698
10.64294 -3.271708
10.55109 -3.329925
10.01832 -3.525655
10.94665 -3.586997
11.41848 -3.460956
10.79745 -3.408923
10.55605 -3.394389
10.63886 -3.373883
10.6635 -3.267762
10.48437 -3.438402
10.15818 -3.303586
10.8192 -3.429614
10.32591 -3.408459
10.79648 -3.371654
10.83134 -3.444705
10.68678 -3.417312
10.81315 -3.094368
10.44886 -3.259875
10.39875 -3.343882
10.53519 -3.428621
10.66997 -3.499151
11.31226 -3.526376
10.00162 -3.291092
10.76621 -3.35328
10.74046 -3.978129
11.21501 -3.969747
10.87174 -4.040838
11.13794 -4.014491
10.02323 -3.888711
11.61159 -3.753543
10.75576 -4.097976
10.59962 -3.674451
