"res" "LCI" "UCI"
-1.24398258127405 -1.32591810826494 -1.16073303494924
-1.24222579335349 -1.32392641043881 -1.15767531669765
-1.24008834070058 -1.32163374854821 -1.15611989471109
-1.23698709209129 -1.31811044520449 -1.15315017471924
-1.23269680895934 -1.31361822213089 -1.14943764790811
-1.227976597156 -1.30953246091404 -1.14548319221494
-1.22560620260675 -1.30710429021884 -1.14191500245953
-1.21839338885455 -1.29932205557116 -1.13596567356473
-1.21342834278262 -1.29449214359596 -1.13081488126376
-1.20877091519543 -1.29103441427376 -1.12493783284861
-1.20714838574088 -1.2893543849318 -1.12386155393276
-1.20597396425661 -1.28755548045301 -1.12267082984439
-1.20461321685528 -1.28592032725522 -1.12094711489212
-1.1985475456078 -1.27928740997355 -1.11547582826949
-1.19445139904717 -1.2751192743104 -1.11101335874065
-1.19050681128595 -1.27124389589618 -1.10775511782637
-1.18947787654861 -1.2701775844306 -1.10657563186534
-1.18761738005632 -1.26843229250381 -1.10473161766787
-1.1802679892813 -1.26083100286449 -1.09679740378256
-1.15731785931799 -1.23910381708668 -1.07411435372505
-1.15021499471178 -1.23197480790337 -1.06835458365742
-1.14505699467547 -1.22615950923494 -1.062392178994
-1.14172352826783 -1.22286912705193 -1.05932826471672
-1.13948113893374 -1.22031727098454 -1.05611518933437
-1.13568732641043 -1.21735155657034 -1.0528026708783
-1.13300000281588 -1.21432127987166 -1.0504574969687
-1.11589966821478 -1.20008556403381 -1.03164600786981
-1.10226460352397 -1.18331855803978 -1.01755076035557
-1.09860720058866 -1.1791924850937 -1.01390509732643
-1.09508216852528 -1.1755533630183 -1.01124574691762
-1.09348746333796 -1.17376917876792 -1.00960854078939
-1.09167542656052 -1.17158293404313 -1.00780721594565
-1.08765099357402 -1.16753652428759 -1.00499411626355
-1.08322771498831 -1.16365340991451 -1.0009772784401
-1.08131547379321 -1.16188234040135 -0.999263824701469
-1.07696426934293 -1.15767021084914 -0.99472164460404
-1.07519688843713 -1.1556512005457 -0.993161505359696
-1.07127353179991 -1.15093034951296 -0.989048063570777
-1.06722269741243 -1.1479625794487 -0.984226957064848
-1.06459945652434 -1.14529604543696 -0.98162507785776
-1.05786299463638 -1.1392286058702 -0.974003534695888
-1.05406129384005 -1.13531416016956 -0.970362601291432
-1.05185051901312 -1.13306014614396 -0.968507098994051
-1.04881984415316 -1.12992719306134 -0.96544833664024
-1.0425554170643 -1.12312732067917 -0.959919393975943
-1.03668812297765 -1.11721438061567 -0.952105847123553
-1.03484581037503 -1.11547910161935 -0.950691143640865
-1.02899101099497 -1.10904261180046 -0.944487627962538
-1.02556812063768 -1.10615053326912 -0.942202880484139
-1.01846261684099 -1.09909378784261 -0.935959254495516
-1.01336693534785 -1.09382742295124 -0.930896418397657
-1.01003443626825 -1.0912634905302 -0.926958339258076
-1.00763796952223 -1.08845353703235 -0.924623748833958
-1.00579906534167 -1.08675368312938 -0.923308462181001
-1.00295016998375 -1.08448331873796 -0.919791977490766
-0.99977695382375 -1.08036338763392 -0.916879272223055
-0.994157520247524 -1.07481859069367 -0.911385205927927
-0.990000515616035 -1.07096693310258 -0.90766496108841
-0.98448693273879 -1.0648667241442 -0.901447569169479
-0.982984797871162 -1.06381900795842 -0.900133958127271
-0.980382709731419 -1.06114651341263 -0.896893554274751
-0.977375688400598 -1.05754694052641 -0.894230758582872
-0.975632193741073 -1.05625968430215 -0.892419916828696
-0.970983846538951 -1.05194636938886 -0.887860141581076
-0.968400350132529 -1.04900634194254 -0.885279626431998
-0.966009854282693 -1.04733799012006 -0.88278805581604
-0.961640965509118 -1.04242984590659 -0.878405067664139
-0.955709873330449 -1.03613842243074 -0.872627761119091
-0.953191263439373 -1.03290633301279 -0.870602750641029
-0.948732479197267 -1.02946912326951 -0.865651347799135
-0.943077463392907 -1.02400416199245 -0.860548571086916
-0.941131947317025 -1.02180880386255 -0.858996339283181
-0.93482846834132 -1.01583315291785 -0.852603248148438
-0.930588350747809 -1.01174620804751 -0.847247816216896
-0.926720225333849 -1.007752042743 -0.843414590474246
-0.924088977391883 -1.00417430123516 -0.840757302338533
-0.921360259094045 -1.00244766691164 -0.836998808803473
-0.920124181077322 -1.00174916485876 -0.83649564347691
-0.918672690862755 -0.999792705376694 -0.834268131271152
-0.912312524989187 -0.993370684403666 -0.830011505733136
-0.906910737017391 -0.98812653793938 -0.823690930564574
-0.90431544209104 -0.985613990683549 -0.821213195743162
-0.899343302682405 -0.980655359414814 -0.816169641373719
-0.890215902354267 -0.972200822617062 -0.807079503656069
-0.883876775361684 -0.966949778233108 -0.799611901793819
-0.874333636218933 -0.955959781183948 -0.791398980642615
-0.869921895683528 -0.952186585153775 -0.787302563873372
-0.866423846610608 -0.948809733742033 -0.783181689154024
-0.864398440733161 -0.946770744328978 -0.780946474347345
-0.860207455314518 -0.942598288846902 -0.776408802084518
-0.855310863635041 -0.93835983602482 -0.771703912453905
-0.851667020929834 -0.934625580602207 -0.767939910951911
-0.8463015465399 -0.930566046305951 -0.761916767423661
-0.839797114019487 -0.921670518205602 -0.756507350887247
-0.836495063264208 -0.919048352455866 -0.752755640439569
-0.83462604945788 -0.917112414950798 -0.750974375017216
-0.832172870977013 -0.914343180633163 -0.748484906679635
-0.828423771975587 -0.910875039602087 -0.74494027470159
-0.822964683881823 -0.905415245783956 -0.739290941378594
-0.818397917326526 -0.901181398822151 -0.734322249955069
-0.815283737269255 -0.898062044851896 -0.73173899445394
-0.812391098537927 -0.895021013430909 -0.72811028561181
-0.809512145758657 -0.89274655296204 -0.726784380957839
-0.807926551005601 -0.891511759265953 -0.725162965340107
-0.80623620176309 -0.889749280185176 -0.723297021375636
-0.805018235315792 -0.888343873449926 -0.72116660943058
-0.802443016880121 -0.885926946710182 -0.719244729256645
-0.800511697386146 -0.884213475657066 -0.716488344888262
-0.798633098350534 -0.882477193306612 -0.714102605414046
-0.796744668338688 -0.880749387021416 -0.713112625524399
-0.795076168526863 -0.87922132058365 -0.711583699702851
-0.793020808652919 -0.877599990689169 -0.710152490374851
-0.789899061566086 -0.87323255600924 -0.706029579571298
-0.786895458247984 -0.8698749170742 -0.704402792921958
-0.78462816147506 -0.867390428354727 -0.702448884522022
-0.782353961061856 -0.864490773739102 -0.699140237609772
-0.780238731615184 -0.86299519189996 -0.696316782271888
-0.777520058509472 -0.859792227836002 -0.692629863415572
-0.774203659856617 -0.856802591956511 -0.690120172620713
-0.77239307949856 -0.855703588419507 -0.688105516262938
-0.770299374311071 -0.853125986388581 -0.686416257003299
-0.768287352134415 -0.851886908426887 -0.683773687877818
-0.765897062964494 -0.848847301810303 -0.681654445049569
-0.763064927669573 -0.845702397534648 -0.677844336225842
-0.761090823286707 -0.843424320851776 -0.675576384437915
-0.758793038384003 -0.841017180119189 -0.674305741911601
-0.756745300319168 -0.839521759772605 -0.671915440101086
-0.75445660450573 -0.837311763610071 -0.668420068672244
-0.751104728629471 -0.835552507699556 -0.66428980143398
-0.748498544121198 -0.83348468526093 -0.662954299397254
-0.74576655828642 -0.829570867268933 -0.660521256778533
-0.742997812533172 -0.826203726078828 -0.658092648563209
-0.734949482114498 -0.819250206471637 -0.648425939548319
-0.732142045944636 -0.816681815895477 -0.645948730783655
-0.726654336257403 -0.809927904144215 -0.642056590058242
-0.724000109704759 -0.807848134973326 -0.639301769611675
-0.720633686717481 -0.804593228837106 -0.636964279416298
-0.717509847326478 -0.801070166376299 -0.634110158160866
-0.711979077543678 -0.795419596646295 -0.627191253645094
-0.709943969153743 -0.793045197079653 -0.625814224023212
-0.706807726578461 -0.790034841110428 -0.623264679366046
-0.703571567480165 -0.786843061451815 -0.619434143276542
-0.700435385243243 -0.783505733095881 -0.616574881180568
-0.697955845737838 -0.780073759257766 -0.61446777049597
-0.695511239485466 -0.777980404897085 -0.611909646399112
-0.693384338145946 -0.776472750054254 -0.609335437708057
-0.68982980751546 -0.773836494053932 -0.604293189984132
-0.687847185782408 -0.771652340000456 -0.602783545990357
-0.685160327363982 -0.768953645461467 -0.600973596552607
-0.682844090578243 -0.767519244134262 -0.597483971515055
-0.680389253850701 -0.764558092403816 -0.594768566640979
-0.674409432844629 -0.757604026820372 -0.590169351636815
-0.67066268862136 -0.754289807269601 -0.585649205198584
-0.668574753239835 -0.751260710953315 -0.583846812608889
-0.665689104911328 -0.748517611449465 -0.581446151962965
-0.660719762881917 -0.744164677137924 -0.574782888687993
-0.656450007795256 -0.740692482558442 -0.57056686052664
-0.651760396152685 -0.735390891310328 -0.565511745361522
-0.648055389942726 -0.732186306968982 -0.56235362851771
-0.642328585153498 -0.725744888420069 -0.556106203970369
-0.637251401777104 -0.720545734228206 -0.551417798175527
-0.634908302542454 -0.719213652701461 -0.54851087273865
-0.632252787580483 -0.716007463859516 -0.546276575868933
-0.629894174367206 -0.713751763749589 -0.544361275947027
-0.628485374301176 -0.712305131887937 -0.543304250982309
-0.626599039620079 -0.710061171131132 -0.541811918913077
-0.624211720357661 -0.708350860260204 -0.539124808315458
-0.622007690458303 -0.705691384455189 -0.535627678138591
-0.617927128192969 -0.702145244226452 -0.531777415094575
-0.61551859734339 -0.699063182632646 -0.529534005039138
-0.613808478508994 -0.697356276460142 -0.527363747021713
-0.611605170134694 -0.695443389710196 -0.525458146032333
-0.609519148284552 -0.693836036461528 -0.521669369749844
-0.606925345794672 -0.690831665709022 -0.519912804296607
-0.60502090160444 -0.688849750708366 -0.518590160997348
-0.60343568181736 -0.686338629333819 -0.517414877926332
-0.600255398854994 -0.683386803605471 -0.514260522622102
-0.598413784900582 -0.682089035431131 -0.512215664243987
-0.595096642720678 -0.67782252677558 -0.50929188247156
-0.592266091370886 -0.675432359540633 -0.50560334473328
-0.589606421089122 -0.673350384873668 -0.503236462694235
-0.586960663345657 -0.669639960962696 -0.500404120043711
-0.584204340234977 -0.666607468017817 -0.498644692930939
-0.579760371594253 -0.664488342344441 -0.493594825211663
-0.57678623552147 -0.66211074667925 -0.490764259488613
-0.574585499510392 -0.658291038834707 -0.488916309690046
-0.571427927090605 -0.655369099193799 -0.485586476489596
-0.567843734690773 -0.652170974006981 -0.48239522575148
-0.564814407437679 -0.648733974690111 -0.479925636209661
-0.56092851062676 -0.644534804566446 -0.475051963282465
-0.558850949735785 -0.642740195193741 -0.472332668690176
-0.556763076310843 -0.640071741778992 -0.470523879371681
-0.553906866762046 -0.637221490861721 -0.46729579539686
-0.550079881488957 -0.634359801415564 -0.464232254833871
-0.543679660538898 -0.62798226375847 -0.457135874725414
-0.541355683801494 -0.625327985461779 -0.454202234278322
-0.538851334947738 -0.623157932715811 -0.452737871660924
-0.536793167710841 -0.620416004169674 -0.450399994660182
-0.533318556320972 -0.616145349151312 -0.44667183734333
-0.530966580601597 -0.613863912916985 -0.444609283419658
-0.529040270991402 -0.611715816359653 -0.442877050583151
-0.526016880055708 -0.609124201256276 -0.440171401570951
-0.5242124803816 -0.608407306102457 -0.437245302881223
-0.521144230942338 -0.606201801063313 -0.434381722575099
-0.519130058313599 -0.604897331536264 -0.432936190432397
-0.514468622576842 -0.598966404004109 -0.427451232100385
-0.512804955788975 -0.597893049570048 -0.425810529860027
-0.51009501771517 -0.595418021402954 -0.423739599718304
-0.508036142047385 -0.593540613866952 -0.421222747006471
-0.505760423615843 -0.591484171944388 -0.418453982068813
-0.502646768764536 -0.586319110078064 -0.415287636948835
-0.501356704575253 -0.584975971619759 -0.413924964583588
-0.497789554261675 -0.581099653557973 -0.410811384411214
-0.495942703117468 -0.579815939653937 -0.409679674231214
-0.49322535205367 -0.577424771677915 -0.406377346821172
-0.490975517638581 -0.57561991888969 -0.404059837322235
-0.488865092573601 -0.57267712729244 -0.402120887593897
-0.485647204887974 -0.570126028408665 -0.39808616844904
-0.481537489758902 -0.565562486195549 -0.394907524487887
-0.478287919694696 -0.562827388177173 -0.390939549915499
-0.475926237831804 -0.559762013831534 -0.388848466519389
-0.470200200385193 -0.555728445222437 -0.382295000485913
-0.467116862828526 -0.552782795714947 -0.379078553466803
-0.46467620058469 -0.549536528973527 -0.377443591664589
-0.461727587883363 -0.547051299309018 -0.374619604487557
-0.459358270261738 -0.543761500889618 -0.372297481412653
-0.454584864090946 -0.539133936268226 -0.366154914896599
-0.450982435904453 -0.536279451466484 -0.363117801173797
-0.446732524948038 -0.531069054020926 -0.359552872661201
-0.444203524170129 -0.528440547916671 -0.356357652233356
-0.442400758150984 -0.527077689381042 -0.353928155176828
-0.439172077872557 -0.523690338329969 -0.351493615341227
-0.434727787516056 -0.518666279427665 -0.345906958116443
-0.430621066950784 -0.514959513459572 -0.342885953865192
-0.42835907668152 -0.513452416065971 -0.340780394815786
-0.4259511338626 -0.51120762390642 -0.337793846158916
-0.423737943934358 -0.509252786955755 -0.335884200505025
-0.422371388688859 -0.507441609421666 -0.334591847907513
-0.420561504237476 -0.505890072296094 -0.333146601943288
-0.417833600970068 -0.50317405966467 -0.330765483738105
-0.415612511142011 -0.501115229074095 -0.327578407066339
-0.41379708157582 -0.499348719580935 -0.325944633407678
-0.409872150792624 -0.496265538756671 -0.321754347618679
-0.405496311166449 -0.490489868314633 -0.316887817945193
-0.403063355401577 -0.488423849855773 -0.314612931229895
-0.398051171970976 -0.483668954758703 -0.309424838934974
-0.395311810178686 -0.48143988455885 -0.307005496331568
-0.393228324255502 -0.479314344025349 -0.303814516436729
-0.391484217674722 -0.477870292419256 -0.30266622072697
-0.387766189206725 -0.47395074126865 -0.297765868090317
-0.385912152741311 -0.47160699760217 -0.296034626145349
-0.3843909446312 -0.47070283131199 -0.295307253605715
-0.382917998411252 -0.469738739809909 -0.293962778151939
-0.381427098218847 -0.467977631518091 -0.291582789872457
-0.37899136753559 -0.465508417808356 -0.289548364645759
-0.375608562419142 -0.462236992189379 -0.285590752772698
-0.371174591891961 -0.457480285859139 -0.281897970373906
-0.368702301181899 -0.456182259102832 -0.278571441224674
-0.363760901307904 -0.452285087460823 -0.272148925311437
-0.360527815930018 -0.449697396766606 -0.268570453427093
-0.357064686297187 -0.446861700244523 -0.264487061166544
-0.353218767120489 -0.441824935745793 -0.259230659334821
-0.349862455457844 -0.438559536266528 -0.257296883651014
-0.347580875640478 -0.43682096282184 -0.254666633580204
-0.343512796197411 -0.432929177598113 -0.250370554984374
-0.340621671141327 -0.429654236562687 -0.248254497099086
-0.33564918552296 -0.424780993169571 -0.242685824726495
-0.329759057218385 -0.417548248306064 -0.238854012531805
-0.325790961545565 -0.413615022283133 -0.23461026681615
-0.322386893943138 -0.408960201690294 -0.231600748186668
-0.319305346475339 -0.406268996281942 -0.229008907672796
-0.31685458675754 -0.404310535764452 -0.227640770252703
-0.315515475661409 -0.402012367206947 -0.225342929978751
-0.313753759761858 -0.400954664507639 -0.224104300076905
-0.309863214597862 -0.397289779340205 -0.22003415212716
-0.307136359186487 -0.395226578154564 -0.21743751709214
-0.304928668439125 -0.392497321123393 -0.214731086999418
-0.302015510264842 -0.389920165410669 -0.212569387333615
-0.300583016670668 -0.388357493923266 -0.210612158153547
-0.297294891818762 -0.384660141784954 -0.207471656307413
-0.294809096910274 -0.381099235541216 -0.205925077831114
-0.290868602741509 -0.378886255488978 -0.201183046109077
-0.28468076700065 -0.371517835177485 -0.192779044893703
-0.279030359440348 -0.36603811573395 -0.187244533573882
-0.276386212253611 -0.362494017225875 -0.184808745918116
-0.274651525946223 -0.361432433923103 -0.183297315180032
-0.268257863442679 -0.355866120219546 -0.175974297498322
-0.264578958825716 -0.353003745197035 -0.171725578064683
-0.262141889336325 -0.350960690669189 -0.168982773249478
-0.260621191685006 -0.34973353519581 -0.166163457672057
-0.259511479458608 -0.348546130896271 -0.165473148948515
-0.257175171394925 -0.345559498845754 -0.163910802070295
-0.254717384533973 -0.343242590845411 -0.161958638216323
-0.253378774478122 -0.341946361007256 -0.160844696333182
-0.251479248111928 -0.339452203999 -0.158053157548725
-0.249773897004835 -0.338127997495103 -0.15695276221549
