Delta_1 Delta_2 
5.990067 -2.466264 
6.081141 -2.648159 
6.911166 -3.518689 
6.811225 -4.014988 
6.701028 -3.78181 
7.45385 -3.959174 
8.881528 -4.597693 
9.687011 -3.929642 
9.149923 -3.027653 
9.500794 -4.218563 
8.664236 -3.555554 
7.162511 -4.240824 
11.07353 -4.199735 
9.390232 -3.300919 
10.53276 -4.615105 
7.80169 -4.833338 
5.338929 -3.79943 
5.69183 -3.668414 
5.514197 -3.230488 
5.006526 -3.339405 
3.556465 -2.704398 
3.721142 -2.874002 
3.253408 -3.000256 
3.153866 -2.724879 
3.326564 -2.921002 
2.814777 -2.32022 
5.291553 -2.620495 
5.352731 -2.454458 
6.286885 -2.867221 
9.832019 -3.239688 
10.53499 -2.031942 
10.97257 -3.526768 
11.01285 -3.855891 
9.695378 -4.024687 
11.06455 -6.119804 
7.591598 -5.231386 
10.27922 -5.322819 
8.86912 -3.716663 
6.880779 -4.375329 
9.656534 -4.266791 
8.9923 -4.553937 
8.642229 -3.764171 
8.509235 -4.609552 
9.784484 -5.020724 
11.72897 -4.714513 
10.2467 -4.777671 
9.397602 -4.354611 
8.054492 -4.686888 
9.82543 -5.913483 
8.016799 -5.476208 
8.564143 -4.417534 
9.786822 -5.129998 
9.132938 -4.491612 
9.366374 -4.053957 
9.376944 -3.953352 
9.320924 -4.699953 
7.829202 -3.731377 
6.362594 -3.324545 
5.908792 -2.889472 
6.818627 -3.339389 
6.635126 -3.198667 
6.684682 -2.753226 
5.214095 -3.28745 
5.492495 -3.149066 
5.344549 -2.361589 
5.715001 -3.18293 
6.539857 -3.262002 
5.954172 -2.314147 
4.901245 -2.662803 
5.932476 -2.577064 
6.637918 -2.63036 
6.988985 -3.326659 
6.026388 -3.016857 
8.783833 -3.188409 
6.918104 -3.093592 
7.44112 -3.807077 
8.325107 -3.600023 
8.336047 -3.891507 
7.114347 -3.660991 
7.282315 -4.194988 
9.218772 -4.274782 
10.17258 -3.867566 
8.84686 -3.330239 
9.78959 -2.926478 
9.211632 -2.863597 
7.049639 -3.149465 
9.878785 -3.486417 
6.917604 -3.675909 
5.453561 -3.796181 
8.2103 -4.273531 
8.153982 -3.938584 
9.456224 -4.172996 
10.04878 -4.611104 
10.83821 -5.149566 
9.652306 -4.994019 
9.724891 -5.062765 
9.44185 -3.237516 
6.781601 -2.951181 
6.291746 -2.72517 
5.944946 -2.516453 
4.703486 -2.583753 
4.528758 -2.886062 
3.961422 -2.715935 
3.778093 -2.614541 
4.1036 -2.334331 
3.792712 -2.300306 
3.409507 -2.200035 
3.41261 -2.085345 
3.594575 -1.927758 
7.204083 -2.263145 
6.763935 -2.181124 
6.120208 -2.519416 
6.129444 -2.335131 
5.500135 -2.402117 
5.934194 -2.249249 
8.081009 -3.196249 
9.395825 -3.83104 
9.994631 -4.097122 
8.902738 -3.631707 
8.982309 -4.881901 
9.87454 -4.889626 
8.577532 -4.507674 
8.654629 -4.558829 
6.706908 -4.972483 
7.724999 -4.545034 
7.135503 -3.268799 
7.610411 -3.892136 
6.842387 -3.914514 
7.557978 -3.623845 
8.93288 -3.690695 
9.274154 -3.242765 
7.664677 -2.699768 
7.780186 -2.504775 
6.909418 -3.571647 
8.395276 -4.918038 
7.791542 -2.848913 
8.934253 -3.58677 
8.649957 -3.614483 
7.876258 -3.27074 
8.086514 -3.664417 
8.754482 -4.153009 
10.61288 -4.309514 
12.64965 -4.412766 
9.328371 -4.37273 
9.219455 -3.741249 
7.621184 -3.38985 
9.414317 -2.852087 
8.938438 -3.0421 
8.962225 -3.67161 
7.91882 -2.842272 
7.197367 -2.867122 
6.319928 -2.935402 
5.040704 -2.781222 
4.299977 -2.613973 
5.108425 -2.267598 
4.616367 -2.173526 
4.147496 -1.880507 
5.122383 -1.982738 
6.184513 -3.051193 
6.398218 -3.01276 
6.060321 -2.369525 
5.228903 -2.670837 
5.744827 -2.463089 
5.751385 -2.113223 
4.510974 -1.676 
4.328226 -1.47184 
4.295167 -1.773581 
4.85523 -1.618845 
3.322321 4.274068 
3.138811 -0.192696 
3.670946 -0.5337607 
4.020115 -0.942561 
4.288587 -1.202352 
4.137207 -1.449119 
5.175112 -1.183883 
4.571811 -1.23403 
4.320561 -1.124619 
4.179194 -1.804989 
4.177231 -1.923146 
4.497501 -2.522018 
4.608606 -2.841331 
4.899007 -2.329077 
4.957233 -1.768713 
4.026514 -2.469628 
3.593629 -2.268053 
2.922269 -2.298065 
2.810307 -2.324025 
3.512999 -2.41315 
3.284843 -2.36178 
3.660374 -2.118985 
4.605355 -2.320555 
5.718729 -2.73568 
5.417985 -2.756008 
5.019298 -2.86811 
5.772347 -2.558303 
6.383477 -2.611065 
7.223871 -3.485938 
7.328113 -3.130711 
8.117877 -4.004476 
8.700628 -3.165662 
6.435653 -2.936515 
8.572729 -3.228751 
8.763844 -3.985971 
9.639507 -3.41778 
11.02446 -2.694313 
10.10358 -2.77998 
10.30223 -3.547026 
9.988528 -3.485608 
9.257524 -5.280889 
10.38297 -5.133891 
7.692959 -4.751502 
8.181153 -5.112581 
7.620157 -5.496621 
8.23461 -3.395408 
9.555441 -2.35329 
9.151596 -3.357082 
9.206219 -3.517181 
10.13178 -3.651092 
8.436306 -5.224682 
9.518824 -5.049391 
10.24997 -5.894012 
10.34275 -5.643491 
10.75065 -3.839784 
8.650545 -4.093797 
7.48672 -4.624455 
8.609222 -5.046 
8.509649 -4.864421 
