"comp1" "comp2"
-0.02340952 -0.02409506
0.01036148 -0.0491769
0.01683406 -0.009184974
-0.005347939 0.03298803
-0.0117664 -0.04650737
-0.01458388 -0.1086401
0.016581 -0.07232103
-0.01297379 -0.1012032
-0.01988752 -0.03472905
-0.02238245 -0.1113581
-0.02246243 -0.06054041
-0.006523198 0.0009978799
-0.03274451 0.02341274
0.00591452 -0.02022304
-0.005837776 -0.02139165
0.02768456 -0.07477432
-0.008752213 -0.166674
-0.0167316 0.06178378
0.004297202 0.05140442
-0.02043375 0.1824939
-0.01030656 -0.01076845
-0.02362291 -0.01367029
-0.004874849 0.07562721
0.0164849 -0.06575989
-0.006461626 -0.02146651
-0.030524 -0.04320061
0.0205407 -0.001788259
-0.01566321 -0.026802
-0.006653459 -0.1486999
-0.002672487 -0.005750248
-0.009762461 0.03463483
0.002747711 -0.0002695334
0.02593379 -0.128374
-0.004013697 0.06301504
-0.0005923513 0.1259377
-0.01172647 0.05163564
0.005732135 0.05965439
0.02030697 -0.01311051
-0.005324416 -0.02411704
-0.03474267 0.02806068
0.0112984 0.1468376
-0.009761576 0.07972963
-0.01606103 0.01867103
0.003811798 -0.04797239
-0.02194882 0.02559122
-0.007297362 -0.04496126
-0.004406805 0.05103185
-0.04366549 -0.09996178
0.01329969 -0.07018623
0.01814466 -0.07225598
-0.02807398 0.008414319
-0.01329665 0.01103248
0.007421787 -0.007992317
-0.01965372 0.1698476
-0.004095072 -0.02467472
0.01272259 -0.05030063
-0.03344443 -0.03207022
-0.03683566 -0.1175937
0.006547718 0.05383978
0.03482913 -0.03423212
0.02828784 0.0009481655
-0.0186183 -0.01736179
-0.03692718 0.02921162
0.01095701 0.1142579
0.001210992 0.009732984
0.001849877 -0.06957786
0.0009424127 -0.06021591
-0.003295387 -0.006648775
-0.01403622 -0.01401765
0.003509827 -0.0412035
-0.02111368 -0.06587458
0.00592434 -0.02180491
-0.005669814 0.07779348
0.03383683 -0.00489665
0.01874405 -0.03201276
-0.004290994 -0.05337036
-0.001994767 -0.1063295
0.00096548 0.0344058
-0.03081593 -0.0408987
0.002658026 -0.06127899
-0.004292984 0.0006127108
0.03909447 -0.008647428
-0.01630967 -0.03275506
-0.001829895 0.04460807
0.01514863 -0.03154047
0.01049058 -0.03594324
-0.02312616 0.03538411
0.002132554 -0.1476625
-0.01596191 0.0119385
0.01216924 -0.05767326
0.004785913 0.008584391
-0.0003987263 -0.105404
0.004905446 -0.1270293
0.004278888 4.305708e-06
-0.01333013 -0.1406144
-0.01172863 -0.004799991
0.002619737 0.06916843
0.006599775 0.01215036
0.003416801 -0.04091333
-0.01731417 -0.003263792
0.008003723 0.1162151
-0.03539189 0.04212207
-0.01711185 -0.03680984
0.007361365 -0.04197292
-0.01211152 -0.03426767
-0.01545123 -0.0727812
0.01060623 -0.01763189
0.001910667 0.05533991
0.004170462 -0.02363136
-0.003217164 -0.0427783
0.01428924 0.04979798
0.004062924 -0.04098947
