"tau2_1" "tau2_2"
0.1383057 2.097899
0.1412399 2.822916
0.1323103 2.326456
0.1201157 2.165455
0.08487094 2.058941
0.1028878 3.678154
0.1652438 2.785933
0.1304656 2.211767
0.127343 1.210826
0.1042784 3.411274
0.08306218 1.438689
0.1319359 3.493031
0.1820753 2.758665
0.1136725 3.095658
0.1160747 2.023734
0.2353716 3.961812
0.1446144 3.009198
0.0774874 2.92386
0.1081116 1.850625
0.1349093 5.205362
0.1141565 4.104409
0.07276868 1.662327
0.1693055 3.650143
0.1938821 4.717011
0.1996567 2.20985
0.1654251 1.761073
0.1156288 3.839835
0.1128146 4.773798
0.1288569 3.473266
0.1406619 3.249225
0.1629885 1.78682
0.07289888 2.050623
0.1118476 3.006755
0.09934404 4.563772
0.1142398 3.150009
0.1169913 2.722541
0.1047154 4.05696
0.1015856 3.536554
0.1091495 3.312683
0.1833933 2.417322
0.1257995 2.250263
0.1268317 1.801521
0.1693272 1.356919
0.1308104 2.956091
0.1810716 2.829976
0.1420975 2.735262
0.1141446 3.993225
0.1335997 2.891215
0.09882737 3.766043
0.1508032 1.993868
0.07580734 2.045646
0.09379939 2.409888
0.08101827 2.24269
0.2923007 3.334464
0.1162969 2.351521
0.1413141 2.490204
0.1212908 2.214913
0.1346021 1.763112
0.148918 2.237017
0.1919688 3.106784
0.09259878 2.637784
0.08388412 3.533968
0.2183517 1.932536
0.1319701 4.087261
0.1081556 2.883086
0.07030519 2.882919
0.107113 3.348496
0.1014321 3.395303
0.09073742 2.972638
0.1136232 2.673938
0.08364958 2.753393
0.1285561 3.344946
0.149483 2.835189
0.1926121 2.23385
0.0979342 2.574225
0.1253909 1.559559
0.1713377 2.499341
0.13643 1.282543
0.1112997 1.289527
0.1203142 3.166173
0.107169 2.180378
0.08628666 1.561543
0.09591619 3.001286
0.08716276 2.265481
0.1101531 2.813108
0.1345079 2.428944
0.09319716 2.21314
0.1782506 1.425542
0.070445 2.710109
0.1462041 2.498064
0.09667893 3.184018
0.09871705 3.077466
0.05882102 2.35035
0.1015537 2.34908
0.1487679 3.014721
0.1077348 1.300866
0.08969641 3.404558
0.1533861 2.203583
0.1392469 1.625964
0.1163546 2.169381
0.1219747 2.964056
0.1088967 3.608962
0.1896706 3.719858
0.2890563 3.217034
0.2231264 2.277106
0.07616746 1.984
0.1052458 1.979608
0.1628934 2.408605
0.190576 2.245877
0.1380315 2.898897
0.1352858 3.050864
0.1087025 3.029183
0.145366 3.790556
0.1715173 2.237443
0.1166834 3.777231
0.1369972 2.342836
0.1368913 2.642431
0.2614657 2.660532
0.1437024 3.726235
0.1560296 1.736409
0.1745756 2.411312
0.1147578 2.182674
0.09953283 2.49263
0.1666327 4.834961
0.1497435 3.002752
0.118626 1.75877
0.1468199 2.667712
0.1811795 2.900656
0.1351661 3.250643
0.1483185 5.602642
0.1631852 2.369443
0.06686782 3.485856
0.10486 3.302296
0.09978562 3.139803
0.1185046 2.423309
0.09427147 4.377224
0.1330331 2.605795
0.06647835 2.37011
0.05340731 1.604242
0.1220033 1.501597
0.06218702 3.961451
0.09419483 3.613143
0.1242151 1.896533
0.1546714 1.239525
0.1379362 1.391828
0.1330197 3.900775
0.1570519 2.759745
0.1417716 3.41207
0.09491075 2.451292
0.1190812 3.30002
0.1062849 1.748928
0.1088075 2.154216
0.1121717 2.223792
0.1639116 3.234263
0.1684314 2.969746
0.09648064 2.512146
0.1410361 2.744597
0.1262462 2.407785
0.09290381 3.619769
0.1269187 3.14819
0.08087832 1.817481
0.09405056 2.762381
0.1597941 2.84998
0.1539264 4.24854
0.1286328 2.097993
0.1624137 3.726923
0.1201757 3.511349
0.1258297 3.339702
0.1250881 3.072589
0.1413198 2.575707
0.2012038 1.243409
0.08562343 4.378066
0.08976437 2.536029
0.1239451 2.992724
0.1540059 4.161449
0.1787301 2.583977
0.2333018 3.507289
0.107173 2.032327
0.1099856 2.061166
0.1861525 2.804485
0.1529871 2.541722
0.1533098 2.71485
0.1435385 2.977261
0.1081437 3.535734
0.07577655 2.073742
0.08241294 3.745084
0.1094783 3.69559
0.1385372 3.744652
0.2657531 3.632913
0.1764716 2.945709
0.1098414 2.061207
0.1522423 2.720003
0.1670363 2.13492
0.1352176 3.140605
0.1829462 3.203365
0.1844438 3.351248
0.202261 3.03921
0.07809179 2.428437
0.1142673 2.30883
0.1334905 3.747387
0.1234391 2.493274
0.1375216 3.48882
0.1102755 3.169327
0.1058067 2.162221
0.1035144 4.274743
0.1757935 4.280182
0.1131276 3.262772
0.1143939 3.759152
0.09262031 2.150289
0.1345449 3.12097
0.133023 2.794076
0.1298611 1.813472
0.1183603 1.883304
0.1405317 1.500173
0.1374333 2.431343
0.1611415 3.674484
0.08972092 3.440075
0.06974447 2.070975
0.06603793 2.199544
0.1069546 4.39126
0.1412084 4.17254
0.09934584 4.127075
0.1197797 2.394735
0.09302172 2.427545
0.1072586 2.485984
0.1269754 1.698156
0.1567378 2.869939
0.113624 3.172993
0.1277802 1.651801
0.2528943 2.160928
0.1631438 3.922691
0.2394157 1.548518
0.1658119 3.029998
0.08987018 0.9461775
0.1999139 4.058066
0.1754937 3.112493
0.1862271 2.440324
0.1426139 2.140988
0.1332467 2.915346
0.1477719 2.218626
0.149922 5.015357
0.2007265 2.221044
0.240052 2.268761
0.1932374 2.405339
0.1373971 1.878028
0.1302166 3.581029
0.1275751 1.627004
0.1101874 3.487623
0.1005231 1.942221
0.1165076 1.96674
0.190449 3.338344
0.1453477 2.218818
0.1571904 3.447301
0.2991114 2.18625
0.186495 2.165536
0.1154514 2.568449
0.1003562 3.312974
0.2229739 2.459604
0.1549009 3.944137
0.1276018 3.18247
0.08230317 2.332127
0.1462124 3.123664
0.1750755 2.588942
0.1074124 2.465695
0.1253139 3.081467
0.1096597 2.198727
0.07236588 2.41918
0.1052642 4.616202
0.1103713 1.555617
0.07493298 2.836412
0.17042 2.060377
0.06506609 2.601983
0.0954274 5.093606
0.0790547 2.316832
0.09076163 3.322473
0.1614114 2.799033
0.1074263 2.3537
0.1174985 2.698813
0.1646711 2.921495
0.1034746 2.538787
0.2249088 1.848122
0.1739908 3.063329
0.1918625 4.017077
0.1162895 1.828216
0.07748298 2.608575
0.10036 2.325346
0.1029433 2.176542
0.1280077 2.329596
0.09109207 4.028419
0.07628361 3.689908
0.1032335 3.076261
0.1164376 1.295549
0.1530746 2.649209
0.08310729 2.83619
0.1220428 2.619822
0.07259734 3.375766
0.08055002 3.111564
0.1409703 1.777709
0.1075115 3.744744
0.1249797 2.209604
0.1216738 1.668016
0.147079 3.948165
0.1408915 3.163657
0.169162 2.373887
0.1153061 1.641262
0.1907923 1.656773
0.1118138 3.398222
0.1149816 2.742089
0.08334263 4.160421
0.1887197 1.908895
0.09234069 1.837224
0.08655114 3.418102
0.1735061 1.773775
0.1748673 3.140427
0.1210518 5.057392
0.06766743 2.896933
0.08365489 1.449352
0.0899349 1.790498
0.1226182 1.770856
0.1104457 2.5105
0.1939171 3.165706
0.1522327 1.978167
0.1179823 2.077831
0.1203743 1.513371
0.1895476 1.730932
0.1128681 3.428559
0.1261993 1.787094
0.2177465 1.635991
0.2188293 1.602117
0.1337421 1.864398
0.0779476 3.508799
0.1198991 3.606964
0.1471664 3.864872
0.09363011 3.062211
0.1377705 2.561592
0.1067735 2.636672
0.1402509 3.736639
0.1313083 3.149725
0.160167 2.644664
0.1826211 3.830636
0.2004026 1.45367
0.1616729 2.95527
0.09703641 2.790083
0.1154536 2.028217
0.1450334 2.55713
0.06961169 1.5667
0.08756907 2.182572
0.08399392 4.816891
0.1449696 2.16627
0.1288965 4.205359
0.1236955 3.402841
0.1630677 1.994641
0.187993 2.552127
0.08605053 2.633176
0.1002147 2.706923
0.1651136 1.266859
0.1258 3.305235
0.1385441 3.084683
0.1472091 2.418921
0.1091111 3.751529
0.1124486 3.894427
0.1278784 2.599079
0.0663272 3.433414
0.1099985 2.152018
0.2301212 2.731195
0.1426085 2.079607
0.1123182 2.877838
0.2204291 3.144755
0.111934 2.375729
0.1280522 3.152325
0.1087453 2.786271
0.1233713 4.625767
0.1600017 3.298535
0.1125043 1.61938
0.121863 3.025542
0.08950306 2.79808
0.1106899 2.816156
0.08866622 3.726457
0.08190719 2.061882
0.1076519 2.055885
0.1022044 2.257362
0.2395122 2.783884
0.1175513 2.754397
0.1395183 2.122278
0.09849935 1.602145
0.1268546 2.486749
0.1191683 2.820032
0.2591132 2.069674
0.1407077 2.522918
0.1757897 2.260342
0.1470059 2.073266
0.09380231 2.743201
0.08718058 2.033514
0.1003908 2.670163
0.0982722 3.653167
0.1178408 1.69591
0.07162787 3.004904
0.08393944 1.719813
0.1999221 2.778082
0.1759723 2.045174
0.1195073 2.358576
0.2755533 3.615785
0.1431026 2.038321
0.09311921 3.254358
0.1068175 2.395202
0.1302288 2.177338
0.08829575 4.40501
0.162824 3.060196
0.1698739 1.917847
0.2284527 2.250362
0.1925779 1.768435
0.09876791 1.688607
0.118529 3.557786
0.1004547 5.086809
