Delta_1 Delta_2 Delta_3 
1.917637 -2.040241 -0.7060614 
0.9802621 -2.292255 1.002022 
0.7390417 -2.69652 -1.839043 
-1.590633 -2.882866 0.4188526 
-1.342259 -2.189331 -1.860607 
0.1803662 -2.176723 0.4396147 
-0.5879561 -1.995278 -0.138655 
-0.9260347 -1.970242 -5.048283 
-1.876785 -2.252188 0.8492327 
0.5993494 -2.484413 -3.015346 
1.490504 -2.717541 -0.744714 
2.117612 -2.871002 2.065755 
0.7781083 -2.687136 -1.01057 
-0.504421 -2.164129 -0.4603305 
-1.561611 -2.35827 -0.01001172 
-1.477178 -2.377461 0.441283 
-0.4393239 -2.410783 -2.797672 
0.5403447 -3.379969 -9.602896 
0.09017676 -2.928255 -8.792871 
1.196386 -2.93396 -7.586604 
-0.03535851 -3.185528 -0.264912 
2.267843 -2.910489 0.1268471 
0.06106594 -2.798713 0.02839043 
-0.06740456 -4.135958 -0.1745423 
-0.242302 -3.907554 -0.1230776 
-2.149275 -3.61097 -0.4895848 
2.164139 -3.422881 0.007133581 
2.372355 -2.716182 0.3309557 
-1.803851 -2.469052 1.835968 
-3.238172 -2.292118 -0.1683379 
-0.3159105 -1.766795 -0.4213023 
0.1264177 -2.408945 -0.570667 
1.212325 -2.819652 0.06605405 
-0.3728039 -2.727571 0.2980159 
-1.591131 -2.918929 -0.07412687 
1.826389 -3.374153 0.2903714 
-1.949452 -3.531961 1.620546 
-1.556511 -3.293361 0.2811159 
-3.282241 -2.99197 -0.4326575 
-0.3199389 -2.695908 3.161972 
-0.2099489 -2.502961 -0.3431058 
0.4906802 -3.057821 0.6316649 
-0.4570692 -2.488477 0.008437601 
0.9574549 -2.955679 -0.4135109 
-1.767494 -2.690778 -0.08580304 
-2.410621 -3.165369 0.07220257 
-0.4255776 -2.725086 -0.0477226 
-0.6908142 -2.678153 1.602624 
2.664224 -2.5898 0.2424777 
-0.438769 -1.965169 0.4260099 
-2.283869 -2.56666 0.08165457 
-0.5531257 -2.947296 0.3623754 
0.3655876 -2.839471 -1.433786 
0.9509448 -2.164725 -1.549633 
2.028437 -2.275743 0.6955533 
-0.6018835 -1.740939 -1.046312 
-0.04920232 -2.002742 1.016783 
-1.798956 -2.105051 -0.8428278 
-0.1365854 -2.08721 -0.537829 
-0.9607 -2.327886 -0.3267342 
-0.0271195 -2.445113 -0.9788608 
1.670355 -3.222905 -2.033801 
-1.186564 -3.152433 0.4311935 
-1.163694 -2.871629 0.2640061 
-0.01814184 -3.247598 0.2189211 
2.716146 -3.329742 0.07279855 
-0.7085878 -2.609349 -0.2508836 
1.223792 -2.797658 -0.4400166 
0.3781783 -2.580487 -1.918229 
-2.19946 -2.446328 0.2094767 
0.9129614 -2.30961 0.03250773 
-1.301098 -2.339912 -1.402448 
-1.142739 -2.668371 -0.5082915 
0.2698776 -2.158395 0.2373136 
-2.084666 -2.154133 -1.899746 
-0.6041793 -2.661096 -6.789936 
0.9795038 -2.795696 -0.3307342 
-0.8407798 -2.838168 -0.3432353 
-0.623965 -3.184548 0.1957494 
-3.782892 -2.682323 0.691526 
-0.003911814 -2.688226 -2.138885 
2.222692 -2.649772 0.003843619 
0.9895969 -2.381835 0.3784598 
-0.1089487 -2.40976 0.04912779 
0.348651 -2.644368 0.2496898 
0.7261294 -2.345875 -1.025325 
1.170522 -3.412947 0.1647308 
0.07036258 -2.864292 -1.404636 
0.3732961 -2.685457 1.258581 
-0.2542724 -3.202975 0.172447 
0.9143945 -3.12932 -1.411723 
-0.7286528 -2.954257 0.2961687 
-1.308549 -2.557888 -0.4967255 
-0.1831465 -2.717512 7.229111 
0.4945493 -2.425747 -2.387206 
1.422138 -3.270653 -1.251268 
0.001739613 -3.75296 0.562515 
1.893444 -3.66755 -1.363616 
-3.027537 -3.827695 -2.136252 
-0.2884415 -3.643126 -0.9522743 
2.425889 -4.0473 -3.252397 
-0.8379497 -4.143987 -0.4367626 
-1.795894 -4.056663 -0.5737984 
-2.35067 -3.43315 -0.01975651 
-1.860207 -2.90407 -0.4468653 
1.302891 -3.313305 -0.4415487 
1.786632 -3.363753 0.2287683 
-0.526958 -3.539779 0.2959521 
-3.098112 -3.963867 -10.75758 
0.7074775 -3.713781 3.318253 
-0.9194046 -3.151362 0.720766 
-0.8470974 -3.346918 0.5067112 
-0.6707428 -3.673274 0.4134798 
-2.904855 -3.190528 -0.2762248 
0.868693 -3.179079 -0.3032115 
-1.875531 -3.867005 0.4039419 
-2.114393 -3.690798 -0.406831 
-2.294413 -3.474945 0.0901665 
-1.94341 -2.853982 -0.681217 
-0.9123381 -2.752987 0.01352023 
1.31306 -2.68618 -1.519132 
1.03097 -2.621734 -0.266058 
-0.100265 -3.293784 2.218952 
2.301186 -3.074142 0.5813401 
-2.628379 -3.295948 -0.8861926 
1.482132 -3.403248 -0.6859709 
0.9772154 -3.181497 -0.8616696 
1.175753 -3.679997 0.339336 
-0.1599845 -3.930201 -0.9956796 
-1.239259 -3.976619 -1.713937 
0.2517481 -4.052956 0.8365175 
-1.470728 -3.39763 -20.09322 
0.2594204 -3.411726 -6.399201 
-0.5874707 -3.425008 -5.333542 
1.913823 -2.48402 -8.087361 
1.858257 -2.387418 -0.3076013 
0.4798628 -2.180638 -0.491089 
-1.687 -2.305202 0.4358024 
-2.143483 -2.343911 0.02950054 
-1.224391 -3.330667 0.6999291 
-0.7815329 -2.776198 -4.351373 
-0.005329183 -1.867694 -3.491925 
-1.793842 -2.164437 0.5230495 
2.474555 -2.166109 -0.3151537 
1.510245 -2.985412 -0.08824022 
-0.0511244 -3.5317 0.8536697 
-0.4906236 -2.960461 0.347597 
-3.321684 -3.410398 -0.4288707 
1.824883 -2.960619 0.02718874 
1.673296 -2.870823 -1.554478 
-2.024597 -2.757605 -2.018799 
1.084989 -2.623239 -10.13625 
1.022819 -2.28641 -3.649469 
4.232621 -2.848613 0.3706113 
1.286281 -2.958659 -0.071656 
-0.5293868 -2.923143 0.03516744 
1.890618 -3.405015 1.848609 
1.030262 -2.750255 -0.3868991 
0.1070181 -1.771644 -0.2302467 
-0.694788 -2.400676 0.5058355 
0.1131849 -2.149441 -0.1520918 
-1.929062 -1.735632 1.221216 
-0.5078012 -2.006203 1.919961 
2.8774 -2.45152 -2.411845 
1.0229 -2.225596 -0.6313941 
0.2222466 -2.350146 0.2067178 
0.4036202 -2.908589 -1.555655 
1.032655 -2.597913 -1.590178 
-2.180065 -2.888493 -0.352889 
-0.1387598 -2.91503 -1.114463 
-1.728602 -3.018812 -1.045766 
0.1332448 -3.210341 -0.05873017 
1.18763 -3.395069 5.526564 
0.5715647 -3.441476 -2.783511 
1.626884 -3.601431 -0.1989791 
-1.065741 -3.557437 0.5818376 
0.6758709 -3.138414 -0.164785 
-1.500693 -2.904326 0.7329926 
-0.9849138 -2.608118 -0.1141479 
0.2128961 -3.213634 -0.8305753 
-0.3747593 -3.030461 0.7237711 
-0.6333525 -3.03423 -0.7356596 
0.4159017 -3.340051 -1.114439 
-2.12183 -3.110074 -0.8838843 
0.1034232 -3.055532 -0.3509813 
0.6183581 -2.315796 -0.3341017 
-0.4160279 -2.220181 0.485808 
-0.1535456 -2.404943 -0.01560137 
0.6639224 -2.628408 1.754461 
2.639663 -2.351523 -0.8618098 
0.9266079 -2.721744 0.6904609 
-1.495119 -2.920348 -0.1689938 
-0.2173539 -3.329065 1.879281 
0.7622156 -3.20151 1.513367 
0.5505905 -2.963015 -0.3569946 
-0.7456599 -3.127268 0.01567851 
2.222672 -2.791029 0.5254661 
-0.09164813 -3.272164 -0.04702658 
-0.9503991 -3.592556 0.1179738 
-1.792181 -3.526932 0.2067641 
0.3972586 -3.582998 -0.4962489 
0.7810765 -3.286498 0.703952 
-0.7709697 -3.09742 -0.1590519 
-1.096114 -3.021808 3.786825 
1.594931 -2.813314 0.08150281 
-1.398089 -2.632253 -0.4729329 
0.4665769 -2.723159 0.7141748 
-2.279692 -2.506007 -7.361792 
0.9961806 -2.154637 0.3792206 
-1.775076 -2.410675 -0.8826291 
0.6399571 -2.776901 0.3927703 
-1.414612 -2.811455 1.855841 
-1.561495 -3.508341 0.7925317 
1.777263 -3.682268 -0.1999449 
0.03458847 -3.360941 -0.2186259 
-2.532062 -3.168008 -1.408022 
-2.909876 -3.012908 -0.02359258 
0.6453198 -2.812751 0.8299932 
-1.764816 -2.332438 -5.53534 
-2.366784 -2.433784 -3.972539 
0.7090745 -2.873065 -2.925288 
-1.385971 -2.298236 0.5661156 
0.3682314 -2.628543 -1.88712 
0.05930965 -2.026026 -0.03027203 
-0.1679974 -2.658998 -2.09808 
2.836703 -2.560223 -0.2019392 
-0.1865937 -1.838688 -0.2081863 
-1.055581 -1.015268 -0.3523944 
1.25851 -1.647766 -0.44859 
1.635798 -2.337432 0.4115684 
-1.058919 -2.007028 -0.2135581 
-0.1684867 -2.255083 0.5392891 
1.498482 -2.895799 -0.1790579 
1.485015 -3.077516 -1.03753 
0.363474 -2.764082 0.2909897 
0.7173764 -2.132234 -0.5268163 
-1.184311 -3.052597 0.3223654 
1.639621 -2.997531 0.456302 
-1.556322 -3.269456 -0.9826323 
0.7730512 -3.020259 0.1644269 
-2.356264 -2.807439 -0.2390662 
-4.319991 -2.616871 -0.1841672 
-3.68116 -2.477852 0.9629294 
-0.8935635 -2.531568 -2.396039 
-2.260379 -3.016264 1.480972 
-0.7796893 -3.717867 0.1796718 
1.230538 -3.327171 0.501748 
-2.642935 -2.996928 -0.009075462 
-0.05399178 -3.971921 1.181267 
-0.2155215 -3.066809 -1.608791 
0.8356363 -3.172126 -0.2956124 
0.1795887 -4.034674 -0.5519196 
-0.5968931 -3.40106 0.09116018 
1.131077 -3.589996 0.5895691 
-0.9475186 -2.90259 0.1381081 
-0.1235616 -2.506189 1.452391 
-0.09333751 -2.314366 0.7067473 
-0.3477935 -2.351049 -0.2679129 
0.4997074 -2.678796 1.178732 
-0.1821498 -2.18786 -2.746061 
1.551615 -2.835532 -4.411023 
2.740068 -2.337269 -3.882639 
0.1338589 -2.31545 -0.4489313 
1.311228 -2.5605 0.07214486 
1.738073 -3.258932 -2.349567 
-2.043719 -3.166877 -0.1674989 
0.2230195 -2.955174 -0.2223363 
0.5925201 -1.858735 -3.347283 
2.52608 -2.035365 12.37396 
-0.988015 -2.340218 0.8145908 
-0.5645754 -3.353966 0.1703576 
0.9241303 -3.526575 -1.10507 
-2.600486 -3.44412 -0.117272 
-0.4927634 -3.492061 0.574043 
0.1185019 -2.791374 -0.4053602 
-0.04254682 -2.928036 -0.4779013 
1.363954 -2.910411 -1.21788 
-0.8434876 -3.076059 0.0846569 
2.074076 -3.193832 -0.1965756 
0.3387973 -2.988784 -0.3343962 
-2.400514 -3.230438 0.2473043 
-0.184003 -3.5544 -9.926392 
-1.937874 -3.715756 0.2152485 
-0.7569039 -4.295376 0.1158746 
1.228965 -2.731139 -3.304702 
-1.875932 -2.57976 0.04408542 
0.3582937 -3.267304 -0.4471052 
-0.1032667 -3.498498 -2.157433 
-0.1077744 -3.644617 0.6548677 
