"Delta_1" "Delta_2" "Delta_3"
-2.103344 -0.9996846 1.113838
-1.918564 1.77706 1.061374
-2.311452 -3.65187 0.9862242
-2.131593 -2.8375 0.9623861
-1.980115 -0.1789755 0.9242656
-1.853171 -2.319178 0.9789617
-2.397214 0.09632301 1.03386
-2.799424 -2.949586 1.064221
-2.450473 -1.782883 1.066466
-2.273111 -1.98126 1.030086
-2.537269 -4.164714 1.033663
-2.291442 -2.310715 1.023755
-2.164609 -1.554999 1.039422
-2.42155 1.540422 1.01047
-2.520981 -3.017782 1.063308
-2.21898 -2.694759 1.041706
-2.373497 -1.087397 1.046305
-1.986058 0.7267426 1.074607
-2.240663 -3.119256 1.095281
-2.326703 -0.3694011 0.9609758
-2.137323 2.371304 0.9783777
-2.245161 1.290657 1.003677
-2.348525 -0.5536929 0.9877759
-2.6011 -0.8226312 1.018572
-2.649477 -2.999109 1.040575
-2.660762 -3.4934 1.05987
-2.443348 -1.335274 1.068903
-2.242634 -0.4210037 1.103231
-2.174358 0.4335637 1.06227
-2.281539 -0.4730719 0.9800666
-2.135529 -2.617172 0.9950262
-2.089384 -1.106774 0.9885852
-1.49934 -1.914965 0.9845307
-2.288005 -1.526496 1.036081
-1.62026 -1.537926 1.02172
-1.866668 -2.44827 0.9959491
-2.026223 -1.292568 0.9734302
-1.862574 -1.195236 1.018417
-2.121228 -1.823411 0.9727071
-2.199844 -0.306794 0.9818746
-2.346392 -0.3122783 0.9631904
-1.990846 0.5654676 0.9860776
-2.000011 -1.664893 0.987208
-1.664093 -1.018858 1.024833
-2.196433 0.5731828 0.9851579
-2.160721 -1.569758 0.9895622
-1.601341 1.094283 0.9784441
-1.994735 -2.434411 0.9882073
-2.405956 -1.9553 0.9981709
-2.402443 -2.882289 1.008076
-2.12178 -2.708891 0.9738886
-1.989137 -0.3501151 0.9966214
-1.89782 -2.105934 1.007307
-2.464269 -3.036734 1.102018
-2.212306 2.627134 1.134567
-1.738736 0.5193028 1.046189
-2.02264 -2.27135 1.057266
-2.113277 -0.9410269 1.151142
-2.209501 -3.669434 1.183395
-2.195101 2.407024 1.134283
-2.089505 -1.969028 1.124532
-2.092458 -1.479863 1.163317
-2.244568 -2.324949 1.126964
-2.248123 -0.04005688 1.134418
-2.354263 -0.6161948 1.09835
-2.129144 -0.3148076 1.137349
-2.09008 -1.252974 1.121947
-1.823086 -0.56641 1.038368
-1.716198 -2.925271 0.9823645
-2.084334 -1.970974 0.9902412
-1.987623 -0.5191729 1.000842
-2.316195 1.581973 1.056792
-2.017924 1.314053 1.05207
-2.296403 -2.305733 1.061013
-2.662194 0.3055162 1.040397
-2.309327 -0.9202718 1.094244
-2.278934 -2.280606 1.070775
-2.169159 -0.9922798 1.060132
-2.346328 0.7898853 1.056067
-1.937128 0.1123929 1.110868
-2.090354 1.585696 1.129285
-2.113797 -1.445064 1.038088
