Delta_1 Delta_2 
-5.288344 0.8389892 
-6.535066 0.8873018 
-3.312158 0.9644003 
-5.174604 0.95198 
-5.667836 0.9516777 
-2.756027 0.8962024 
-1.945312 0.8568677 
-1.783436 0.8448159 
-1.952948 0.7630348 
-1.566905 0.8774833 
-5.029204 0.9308135 
-3.586941 0.7569221 
-4.03552 0.529607 
-3.604496 0.515016 
-0.7307131 0.423808 
-2.777635 0.5327445 
-1.200606 0.5272614 
-1.924959 0.5921465 
-0.8982177 0.5642279 
-4.588907 0.6238828 
-2.858459 0.6447959 
0.3886448 0.6242294 
-3.364366 0.7546986 
-6.001852 0.8180159 
-9.248144 0.8377873 
-3.757889 0.8764769 
-2.196656 0.7875976 
0.9058794 0.5987675 
-2.679785 0.6266827 
-2.156953 0.6382953 
-1.928771 0.6086554 
-3.974186 0.7081205 
-3.39384 0.7355487 
-4.889849 0.5813821 
-3.674508 0.7443071 
-4.2157 0.8449194 
5.167082 0.7747283 
-2.52994 0.712682 
-3.756802 0.8463597 
-5.058923 0.7526529 
-3.062679 0.7759591 
-5.797953 0.7268647 
-5.669974 0.8042301 
-5.348261 0.8500564 
-4.270948 0.7871889 
-4.341337 0.9359015 
-2.525205 0.7821743 
-3.687425 0.6910283 
3.903351 0.7461206 
-3.871241 0.7679337 
-5.369797 0.5936244 
-4.195321 0.5570312 
-3.175136 0.5035814 
-3.22247 0.6097509 
-3.450375 0.4001005 
-4.764709 0.5223102 
-3.597687 0.5619983 
-3.783647 0.4956126 
-0.9118901 0.500102 
-2.513131 0.6520997 
-2.239252 0.6796481 
-4.139964 0.6352524 
-3.114195 0.6455056 
-5.159573 0.6578746 
-2.931519 0.706384 
-1.707334 0.6629276 
-2.033217 0.5758276 
-2.433814 0.5440826 
-2.451401 0.6008811 
-3.88506 0.6402858 
-4.977289 0.721908 
-3.897757 0.6734093 
-2.326316 0.5321915 
-2.358979 0.5252041 
-2.248467 0.5984759 
-2.547632 0.691228 
-4.15786 0.5318567 
-4.808516 0.5905158 
-2.761011 0.509318 
-3.849522 0.4832977 
-4.016651 0.5265908 
-4.671944 0.5526756 
-4.217225 0.6145237 
-2.160642 0.792325 
-1.960603 0.7199008 
-3.131767 0.663611 
-5.092415 0.7084082 
-9.899964 0.515575 
-4.612166 0.6990454 
-3.258813 0.6221088 
-3.486967 0.7448455 
-1.067719 0.658391 
-2.37882 0.7039574 
-2.373358 0.6850963 
-5.029484 0.770034 
-4.59934 0.6926837 
-2.518888 0.6486102 
-2.294644 0.6490557 
-2.502338 0.5433883 
-2.875451 0.6709197 
-1.9593 0.729854 
-4.594771 0.765997 
-2.32894 0.7080496 
-4.278538 1.003438 
-5.379474 0.9032369 
-3.820484 0.8618236 
-4.110093 0.769373 
-2.617935 0.7262898 
-1.176486 0.693716 
-2.726768 0.7551215 
-2.372295 0.6187649 
-2.957892 0.6009698 
-4.475958 0.4606766 
-6.032288 0.6818882 
-4.453254 0.7041323 
-5.582026 0.8654096 
-2.992322 0.9796912 
-0.5638766 0.7736 
-3.705953 0.9977255 
-5.252093 1.09068 
-3.892999 1.192307 
-2.501483 1.113812 
-2.947278 1.036745 
-3.229704 0.8367572 
-4.539586 0.8973749 
-4.733703 0.9238966 
-4.353423 0.8585391 
-3.551754 0.6803042 
-2.627459 0.834614 
-3.533044 0.7695989 
-2.152074 0.6609509 
-2.7648 0.6837992 
-2.536476 0.838315 
-4.647476 1.021924 
-9.564212 0.8121269 
-8.181918 0.6889927 
-6.666279 0.5013782 
-6.913098 0.6533892 
-5.069631 0.6195864 
-0.4088105 0.668077 
-2.035629 0.6425212 
-2.671041 0.7949953 
-1.35196 0.5408215 
-0.4299066 0.4798957 
-1.697486 0.4909652 
-2.615986 0.5788757 
-3.169914 0.5728699 
-3.09216 0.7990043 
1.394662 0.7457043 
-2.442719 0.7279478 
-2.845533 0.7819223 
-1.366146 0.9972325 
-6.144995 0.9229614 
-2.890695 0.8805604 
-5.372022 0.8636546 
-6.605688 0.7711803 
-7.857069 1.000864 
-6.676988 0.9914828 
-6.874706 1.018516 
-4.238879 1.099257 
-5.537075 0.9172069 
-5.637619 1.033278 
-4.90054 0.8037623 
-4.326977 0.4963973 
-2.700279 0.5294878 
-3.738409 0.694635 
-1.855849 0.5144336 
-1.820825 0.496333 
-2.060014 0.5409193 
-1.254463 0.6197454 
-2.76975 0.7506262 
-4.060006 0.8854337 
-4.192817 0.8520993 
-2.634122 0.8335473 
-2.129008 0.9013779 
-2.567466 0.7058626 
-4.283547 0.6855421 
-2.539663 0.6642041 
-5.501652 0.8881717 
-3.593829 0.9955443 
-2.770587 0.7353445 
-3.379091 0.7380246 
-3.693673 0.8923508 
-4.99653 0.9158422 
-3.447664 0.7688105 
-3.902383 0.7673679 
-5.702713 0.6922423 
-5.466447 0.8778065 
-5.336198 0.9349333 
-6.090194 0.8216438 
-4.955447 1.00255 
-4.95198 0.9664072 
-3.065094 0.9931218 
-6.903599 0.9541984 
-5.803875 0.9750373 
-6.671477 1.233803 
-5.550658 1.030501 
-5.743891 0.9393339 
4.183938 0.756048 
4.025159 0.7881525 
-4.618854 0.6919155 
-3.121629 0.5401383 
-2.255479 0.5153851 
-2.347706 0.4972016 
-2.285385 0.5463089 
-2.751651 0.4894518 
-2.169272 0.4816189 
-0.3876089 0.4175479 
-0.4696135 0.4746301 
-0.7112217 0.4827233 
-2.36809 0.4689347 
-0.4574449 0.4543771 
-0.7250881 0.4758147 
-1.910853 0.5082761 
-0.8931222 0.4828642 
-1.311853 0.5628536 
-3.456635 0.6664774 
-3.825648 0.6946868 
-4.200054 0.6476841 
-4.624587 0.6179967 
-2.085184 0.6280828 
-1.48295 0.630986 
-2.524692 0.5455683 
-2.806081 0.7362197 
2.263131 0.7360546 
-7.158251 0.6428831 
-7.812534 0.7741132 
-5.974989 0.7940107 
-7.663135 0.992023 
-3.388845 0.805192 
-3.424703 0.7108365 
-3.116537 0.7042368 
-3.865403 0.6731794 
1.567245 0.7891738 
3.881932 0.8804886 
-8.017828 0.9925693 
-3.091961 1.059248 
-4.614994 0.9569594 
-4.677679 0.8294331 
-5.016473 0.7161577 
-5.76858 0.6356566 
-5.826354 0.7254443 
-6.629889 0.8767034 
-5.294411 1.058644 
-6.763642 0.7698632 
-8.833217 0.8330545 
-8.295943 0.9773535 
-5.584955 0.9506591 
-6.865171 0.932747 
-7.256099 0.9766415 
-4.969276 0.9050019 
-5.443576 0.8009968 
-4.362546 0.7819806 
-6.978271 0.7448037 
-6.559364 0.8080083 
-6.417579 0.8474545 
-6.293387 0.8215576 
-6.532772 0.763726 
-4.638594 0.8454471 
-2.889842 0.7065222 
-3.566102 0.8456412 
-3.257512 0.5294557 
-4.536321 0.7224401 
-0.6888885 0.5252105 
-0.4475092 0.4458993 
-3.038645 0.7066018 
-1.608814 0.5255908 
-3.068358 0.4884903 
-2.928215 0.4179394 
-2.525707 0.4429682 
-2.364598 0.507739 
0.376781 0.4514154 
-0.9610118 0.4081641 
-1.01542 0.4848315 
-2.730411 0.5589123 
-2.038227 0.6813082 
-1.750033 0.5503542 
-3.169969 0.6556417 
-4.61675 0.6603173 
-6.053216 1.000204 
-6.009951 1.01268 
-6.045896 0.8191751 
-7.092035 0.7521714 
-3.744149 0.8047816 
-4.26388 0.8582403 
-4.959104 0.8914637 
-4.32821 0.5700407 
0.004230417 0.6143827 
-5.082471 0.9102978 
-2.446245 0.8827989 
-5.477648 0.8634184 
-5.261385 0.7133767 
-5.095571 0.6031679 
-5.54345 0.6652175 
-5.91434 0.5901915 
-5.29419 0.549807 
-5.235792 0.5561004 
-5.174742 0.4582587 
-5.023664 0.5466628 
-2.523723 0.5410046 
-2.111984 0.6956101 
-4.386954 0.7910674 
-4.975203 0.8250507 
-4.906977 0.6750694 
-4.654755 0.6219256 
-7.074672 0.8258018 
-6.007831 0.6474228 
-4.572564 0.5227221 
-5.085642 0.5236497 
-5.090111 0.699942 
-2.92387 0.6415059 
-1.179289 0.7210032 
-3.371844 0.6509983 
-5.196798 0.5777269 
-4.425961 0.6201709 
-3.22294 0.6770208 
-1.082142 0.6021605 
-8.358262 0.8001082 
-7.934118 0.8168405 
-6.88292 0.6462776 
-6.50853 0.8101715 
-4.889881 0.975728 
-4.938422 0.9402898 
-5.592146 1.073484 
-6.591788 1.043072 
-7.087885 1.02544 
-7.733119 0.9563567 
-7.43708 0.9043888 
-4.530715 0.9775516 
-7.724053 0.8450934 
-1.010069 0.699095 
-7.002783 0.4773179 
-7.267932 0.5904107 
-7.307834 0.5425923 
-6.037738 0.6674704 
-5.511157 0.5657996 
-2.532434 0.8231181 
-3.903712 0.881073 
-4.237071 0.8296553 
-3.492959 0.8196471 
-5.604585 0.7213383 
-5.559214 0.8164197 
-4.620334 0.6135388 
-4.550454 0.7314882 
-4.472675 0.5874898 
-3.35198 0.6831685 
-2.504635 0.7184281 
-0.8638516 0.9535425 
-5.502413 0.8424591 
-1.75427 0.6528324 
-4.257056 0.8410132 
-2.942658 0.8567498 
2.811446 0.8444461 
-4.605286 1.006309 
-5.262601 0.8757692 
-6.827508 0.7697411 
-6.922749 0.7846509 
-5.582467 0.6984291 
-5.147757 0.9618275 
-6.384925 0.6925907 
-5.90972 0.7133323 
-6.298782 0.67788 
-6.438155 0.6621641 
-7.117655 0.5910765 
-4.726623 0.6546454 
-1.940564 0.7181242 
-5.615858 0.5089603 
-5.647295 0.5716748 
-6.387706 0.6603211 
-5.18477 0.7215048 
-5.425175 0.6409742 
-4.835359 0.6034924 
-6.286376 0.797382 
-6.992701 0.746161 
-4.256951 0.730629 
-4.282318 0.8147426 
-2.266697 0.6243128 
-2.729471 0.7943069 
-1.77999 0.7302068 
-2.165184 0.96007 
-4.158996 0.7813116 
-2.945934 0.6812735 
3.330104 0.7676074 
-9.951082 1.00638 
-5.678703 1.100372 
10.28293 1.134395 
-12.04362 1.027987 
-5.338954 1.001183 
-7.060878 1.025115 
-6.205008 0.8961313 
-6.587613 0.6890003 
-7.748796 0.6911129 
-6.306983 0.6966459 
-7.829184 0.6197792 
-7.294319 0.6861445 
-7.209697 0.7086322 
-5.941725 0.6944405 
-7.439992 0.7140209 
-7.41983 0.8821707 
-7.229326 0.7613998 
-6.062218 0.7312805 
-5.930228 0.7237651 
-3.383069 0.7653262 
-2.899775 0.5326713 
-5.781345 0.6988055 
-5.991671 0.7065268 
-6.621231 0.8308972 
-8.463209 1.115041 
7.337692 1.016952 
9.388202 1.255691 
-5.761501 1.087342 
-1.858121 1.070945 
-7.681824 0.8791071 
-5.442914 0.7109987 
-4.614911 0.7490819 
-4.788675 0.6654435 
-6.962776 0.7433249 
-8.236937 0.6484151 
-8.040335 0.6053998 
-7.968644 0.6607673 
-7.607551 0.6845666 
-6.235691 0.6926186 
-7.283167 0.5977934 
-4.853996 0.4660665 
-4.471976 0.4758852 
-3.756822 0.5154885 
-4.622416 0.6500848 
-5.29345 0.7126702 
-4.145736 0.7092578 
-5.041675 0.4535208 
-4.485438 0.8285666 
-3.249586 0.7965926 
-1.996532 0.7697405 
-4.021366 0.6159812 
-6.410192 0.6705927 
-7.068256 0.6427394 
-6.604544 0.5650367 
-4.782497 0.6856985 
-5.264214 0.6961 
-5.847168 0.7954961 
-6.275969 0.8852377 
-5.339336 0.8618207 
-4.755616 0.9238395 
-4.815679 0.9511491 
-5.096326 0.7796349 
-4.81225 0.8708569 
-4.830199 1.19519 
-6.434819 1.198339 
-5.854843 0.8313401 
-2.233853 0.8814199 
-2.30402 0.7730583 
-3.499601 0.6851024 
-3.966487 0.6730934 
-5.83284 0.8160917 
-3.905235 0.5532127 
-3.721403 0.6304452 
-2.670359 0.7486487 
-4.560548 0.7540542 
-4.320287 0.6764698 
-3.722067 0.6338934 
-3.407434 0.6638537 
-3.479928 0.6571985 
-3.044453 0.5269558 
-2.641164 0.585043 
-3.288711 0.599474 
-4.128326 0.7404099 
-4.613428 0.7491668 
-4.762333 0.8852955 
-3.784774 0.7423966 
-4.573517 0.8780479 
-5.310414 0.8189663 
-5.135628 0.7595487 
-5.16904 0.7961572 
-3.743212 0.6547414 
-1.419399 0.5909945 
-2.096791 0.4629721 
-2.555069 0.6174355 
-2.19396 0.5523846 
-2.876155 0.5429841 
-2.123123 0.5936239 
-2.289186 0.5046417 
-2.427487 0.3708968 
-1.691834 0.3612934 
-2.365225 0.4110087 
-2.234454 0.6956836 
-3.178132 0.6027808 
-3.20346 0.7108628 
-3.077233 0.6258932 
-3.722007 0.568864 
-1.881631 0.5094544 
-1.736931 0.6160248 
-1.972146 0.6360813 
-4.167393 0.7276518 
-2.232791 0.7512829 
-3.439694 0.8532313 
-2.497771 0.7785063 
-3.590501 0.8549281 
-2.487324 0.7482392 
-4.797192 0.7291338 
-1.789346 0.5861975 
-0.895268 0.5010523 
-0.8429098 0.5749986 
-1.581623 0.5636176 
-2.182208 0.6311202 
-5.774011 0.5498952 
-4.510731 0.5329815 
-5.79922 0.6614933 
-2.921001 0.5771619 
-3.009438 0.6739518 
-3.061512 0.6393226 
-6.033224 0.6645904 
-0.8730685 0.5989647 
0.2660772 0.7165164 
-2.022619 0.6000301 
-1.352634 0.4880319 
-1.973943 0.3810772 
-4.237802 0.6586537 
-4.513105 0.6199662 
-5.198353 0.9794372 
-6.593306 1.053231 
-5.654019 0.971802 
8.60062 1.013981 
0.178084 0.8497314 
-1.389451 0.8904309 
-6.737323 0.9443164 
-6.679058 0.7857731 
-4.956572 0.6619542 
-2.82908 0.6994808 
-3.397407 0.6435121 
-4.967876 0.6557207 
-4.006404 0.7063056 
-3.540972 0.5866551 
-2.683387 0.5584329 
-2.348141 0.5195767 
-2.097 0.6292044 
-4.791383 0.8390593 
-9.07904 0.7580986 
-8.741068 0.7053582 
-7.247389 0.5946853 
-3.743989 0.6080514 
-3.443779 0.4533471 
0.3604379 0.4719653 
-1.865568 0.474887 
-2.694463 0.4952568 
-2.658163 0.4902429 
-2.835189 0.4468342 
-1.137846 0.4387205 
-3.318831 0.4059052 
-4.00776 0.5717113 
-4.297083 0.6069033 
-4.820804 0.4533897 
-3.047688 0.5923358 
-1.582531 0.4553327 
-1.678785 0.4985217 
-3.12363 0.441961 
-3.23066 0.3669522 
-2.898329 0.6455298 
-1.176052 0.4329895 
-1.801166 0.4458175 
-2.135633 0.4978944 
-1.150898 0.5521867 
-3.250176 0.5330741 
-1.530621 0.4650315 
-2.765208 0.4988606 
-2.636926 0.5375378 
-1.208757 0.5859138 
-1.772801 0.5465048 
-3.582511 0.6501246 
-2.089674 0.6696703 
-2.183133 0.7627894 
-2.294923 0.7749954 
-4.264267 0.9532077 
-2.425495 0.9509235 
-2.697744 0.8466167 
-4.685925 0.8698126 
-4.916237 0.887188 
-5.649963 0.8493023 
-6.179739 0.8143138 
-7.113319 1.022625 
-8.860601 1.036414 
-5.595113 1.03297 
-5.234273 0.9720015 
-5.378037 0.9465512 
-3.003267 0.8446794 
-7.171416 0.8906258 
-1.194321 0.8429013 
-5.204025 0.8828062 
-3.961622 0.7289377 
-3.316809 0.6653717 
-2.369265 0.5631025 
-2.517667 0.7345089 
-3.539755 0.7313327 
-3.592239 0.823006 
-1.525468 0.9311151 
-3.784315 0.7371244 
-3.861173 0.8497863 
-2.870657 0.7918231 
-2.855228 0.955031 
-2.281752 0.8701115 
-1.995898 0.7973782 
-3.155899 0.623598 
-2.77188 0.5441865 
-3.256391 0.5731699 
-3.708494 0.6019073 
-4.050992 0.7015241 
-4.051996 0.8130598 
-6.289815 1.191808 
-4.558558 1.019422 
-4.390294 0.9223557 
-6.045868 0.8536338 
-3.058874 0.6791294 
-0.4688364 0.6573099 
-3.224262 0.5209958 
-6.020855 0.6417499 
-3.878339 0.5657887 
-5.142868 0.7267131 
-3.993987 0.6504117 
-4.438581 0.5463222 
-5.107268 0.6229065 
-5.159386 0.681224 
-5.293444 0.7244446 
-6.914463 0.6171245 
-9.150898 0.7552906 
-8.295776 0.9721795 
-5.246627 0.7808238 
-5.548861 0.8724211 
-1.408087 0.8139724 
0.3341864 0.9083255 
-4.758896 0.8466273 
-5.192893 1.001358 
-6.716722 0.8646891 
-6.563029 0.832059 
-6.506784 0.8941899 
-7.11502 0.7866603 
-6.373212 0.7889175 
-6.690593 1.007167 
-5.889517 0.9262531 
-3.696926 0.9789411 
-6.652729 1.022008 
-4.609959 1.024837 
-5.791011 0.9573126 
3.54165 1.139221 
1.103065 0.9698192 
-5.996947 0.9498259 
-1.320925 0.9007392 
-4.135505 0.7684582 
-4.040238 0.8480285 
-1.416642 0.9003328 
8.407938 0.8784764 
5.340536 1.051888 
11.28066 0.9895361 
-3.99591 0.7790477 
-3.180562 0.6174994 
-2.603511 0.6938472 
-3.546145 0.9426405 
-5.810128 0.8127706 
-6.052978 0.7093748 
-5.755644 0.8162267 
-6.546474 0.8251873 
-5.853163 0.9468398 
-5.965081 0.829348 
-3.608772 1.159358 
-5.115492 0.9730755 
-8.744508 0.9282484 
-3.421451 1.10344 
-2.206188 0.952221 
-2.707007 0.9094691 
-6.364498 0.7779834 
-2.930855 0.6665137 
-3.661138 0.5632173 
-2.338402 0.5808553 
-3.40128 0.5569959 
-3.19649 0.5317852 
-2.930781 0.4768514 
-2.052256 0.6732759 
-2.103479 0.6662041 
-2.092345 0.7375426 
-3.946617 0.8409104 
-4.425429 0.93518 
-3.595472 1.012136 
-2.168492 0.7498771 
-2.074992 0.6506731 
-2.455026 0.6343226 
-2.540829 0.6102625 
-2.087108 0.5915823 
-0.8495457 0.5504111 
-1.612823 0.4522144 
-1.353246 0.3708855 
-1.489226 0.4004405 
-0.4465173 0.3856253 
-1.476888 0.4846342 
-2.28364 0.4940918 
-3.807997 0.682674 
-3.12205 0.6971582 
-2.880788 0.4883605 
-3.604259 0.508944 
-5.330839 0.5982167 
-4.897842 0.8467396 
-6.663925 0.9926358 
-9.455387 1.11393 
-8.762566 0.890437 
-8.431029 0.965374 
-6.076768 0.7956541 
-6.165953 0.6634243 
-8.427964 0.5722399 
-7.586264 0.5408868 
-6.390292 0.5530645 
-5.260602 0.623881 
-5.243392 0.5907748 
-4.923873 0.4257126 
-4.999661 0.443734 
-4.948352 0.6180208 
-4.882826 0.5137269 
-2.258971 0.561237 
-1.780899 0.4299749 
-3.799091 0.511376 
-3.797545 0.4244528 
-3.20949 0.5123341 
-3.934564 0.4006263 
-3.727347 0.3110559 
-2.014847 0.3183571 
-0.7804809 0.3079493 
-0.6052961 0.2942018 
-0.7232372 0.4178143 
-1.761952 0.5226086 
-3.271727 0.5313628 
-4.206461 0.5617884 
-1.424869 0.6108292 
-3.837754 0.707356 
-3.952018 0.7496256 
-5.233715 0.5590867 
-5.172802 0.6413648 
-9.929524 0.8953294 
-4.558977 0.7101792 
2.615498 0.7659338 
-1.885422 0.8068171 
-2.648682 0.7263912 
-6.439985 0.8022881 
-7.384026 0.6987076 
2.90715 0.7798399 
-3.529122 0.8095645 
-0.9084851 0.7776469 
-4.577906 0.8705449 
-2.520398 0.7634735 
-2.723671 0.6635091 
-6.594835 0.7119259 
-1.03906 0.6560519 
-1.48292 0.6351585 
-3.043769 0.5538265 
-3.918211 0.6325996 
-3.773102 0.6184056 
-1.143936 0.5176511 
-1.105729 0.6196871 
-1.636799 0.5370282 
-1.750732 0.5738976 
-2.959028 0.5108428 
-3.790972 0.6451652 
-4.750759 0.6496268 
-5.176602 0.7513722 
-3.593883 0.6184364 
-3.408331 0.7047089 
-2.729994 0.5614615 
-3.86337 0.4352622 
-2.849646 0.6356683 
-3.278284 0.5059343 
-1.038143 0.6356255 
-0.8285177 0.5576891 
-2.848705 0.6007381 
1.979301 0.7364095 
-1.3538 0.8410364 
-2.290553 0.7494692 
-2.133263 0.7260735 
-0.9987311 0.6854423 
-2.27554 0.5975484 
-5.617997 0.7935764 
-4.823443 0.8130084 
-5.969173 0.9030814 
7.248497 1.124642 
-6.136343 1.108965 
1.257986 1.169583 
2.007979 1.171283 
4.813283 1.087192 
9.510516 0.966981 
-10.79926 0.9407832 
-0.124874 0.7824265 
-4.454599 0.7832715 
-5.508003 0.9494128 
-6.543682 0.7690077 
-5.813893 0.9833113 
-3.887802 0.9168543 
-2.813823 1.106215 
3.69421 0.9930203 
-5.422731 1.275813 
1.932555 1.359606 
-7.286262 1.111621 
-2.429104 1.244624 
-6.869164 1.141432 
-6.770387 1.124537 
-8.126601 0.9538725 
-9.122841 0.8064861 
-9.31848 0.6970051 
-10.51742 0.9092085 
-10.55047 0.8419295 
-11.79573 0.8885356 
-13.02614 0.8934661 
-6.845524 0.8571873 
-6.134425 0.7643208 
-5.018348 0.6374873 
-4.315774 0.7323576 
-4.125899 0.80491 
-4.310778 0.7474211 
-6.100136 0.9330182 
-4.46733 0.7473469 
-3.231005 0.887597 
-1.744236 0.8290904 
-3.90078 0.6618896 
-2.849192 0.9767943 
-9.05987 0.924453 
-5.340494 1.132884 
-5.051801 0.9004443 
-4.331637 0.806439 
-5.282516 0.753923 
-4.793604 0.8391751 
-4.146712 0.756457 
-1.91299 0.6139177 
-2.921051 0.5283383 
-2.468529 0.4697283 
-2.54566 0.4871856 
-1.360185 0.4164896 
-1.431936 0.4515782 
-1.282888 0.6108844 
0.5591785 0.8122884 
2.356773 1.028048 
11.80724 1.110339 
-4.201177 0.9698175 
-3.617337 0.8147029 
-4.690819 0.8707045 
-3.825102 0.9014652 
-4.636747 0.6522288 
-4.250291 0.6134727 
-3.065806 0.7927905 
