p_1 p_2 p_3 p_4 
0.02217232 0.003897234 0.4038871 0.5700434 
0.0002621348 0.0001809668 0.3380506 0.6615063 
0.0054303 0.003798603 0.2116055 0.7791656 
0.000650941 0.01758982 0.2283841 0.7533752 
0.004549223 0.009401727 0.2256718 0.7603772 
0.006716967 0.004516295 0.3624367 0.62633 
0.005383886 0.006134462 0.3208504 0.6676313 
0.006230707 0.006342772 0.2559512 0.7314754 
0.003112171 0.01359763 0.3072039 0.6760863 
0.003993448 0.004953472 0.3272739 0.6637791 
0.0271858 0.0008394564 0.2520587 0.719916 
0.0007883027 0.005878435 0.2385969 0.7547364 
0.007219451 0.002547312 0.3274481 0.6627852 
0.01078375 0.01346192 0.2800648 0.6956895 
0.0008970643 0.007331467 0.3084028 0.6833686 
0.001113567 0.01964876 0.2705078 0.7087299 
0.005740463 0.0007685015 0.2952467 0.6982444 
0.01457984 0.0007348416 0.2949968 0.6896885 
0.01431532 0.0006893949 0.4135896 0.5714057 
0.0003549656 0.004328075 0.3177398 0.6775772 
0.00381269 0.004743835 0.2565084 0.7349351 
0.01862348 0.003522111 0.2712494 0.706605 
0.002521973 0.01057871 0.2091787 0.7777207 
0.006687454 0.0003327733 0.3757464 0.6172333 
0.000646578 0.01536344 0.3160298 0.6679601 
0.0002500479 0.003245224 0.2704358 0.726069 
0.01740025 0.001484716 0.2321054 0.7490097 
0.01291057 0.005251231 0.2747276 0.7071106 
0.01779304 0.006417508 0.4405257 0.5352637 
0.0006827004 0.003607169 0.3923087 0.6034014 
0.002802412 0.006502293 0.2698699 0.7208253 
0.0006047575 0.004283167 0.4026716 0.5924404 
0.000557262 0.001229465 0.3455254 0.6526879 
0.003760902 0.003632383 0.3034435 0.6891632 
0.002685391 0.01130336 0.2640706 0.7219407 
0.001729767 0.01009269 0.2867721 0.7014054 
0.01129517 0.0239123 0.2322785 0.732514 
0.004459795 0.00121898 0.2436448 0.7506764 
0.005656179 0.0008549392 0.3903861 0.6031028 
0.0221785 0.003983936 0.3298623 0.6439753 
0.005278217 0.006380415 0.3516221 0.6367192 
0.005296709 0.001449847 0.2972793 0.6959741 
0.002172996 0.0287727 0.3306717 0.6383826 
0.01857911 0.006801702 0.2663433 0.7082759 
0.007593886 0.01339678 0.2825896 0.6964198 
0.01054861 0.01323933 0.3895776 0.5866344 
0.003753835 0.0006163667 0.2994675 0.6961623 
0.006277345 0.008179279 0.2787151 0.7068283 
0.003695137 0.008124432 0.2456037 0.7425767 
0.0004797024 0.002677952 0.3095677 0.6872746 
0.01402237 0.0007763493 0.2727192 0.7124821 
0.02138451 0.00693218 0.3112629 0.6604204 
0.01175535 0.002692683 0.2921413 0.6934106 
0.0008349096 0.01252629 0.2946973 0.6919415 
0.004447254 0.007859287 0.3409329 0.6467605 
0.008276189 0.004196565 0.2504248 0.7371024 
0.03120781 0.002033023 0.2405169 0.7262422 
0.001117694 0.009119759 0.3355853 0.6541772 
0.006574197 0.01014578 0.2756669 0.7076131 
0.005154514 0.01053858 0.326856 0.6574509 
0.008971515 0.01720837 0.3982607 0.5755594 
0.03232195 0.006934941 0.2700897 0.6906535 
0.007018725 0.001710128 0.3852347 0.6060365 
0.009325447 0.001885601 0.3117063 0.6770827 
0.001795329 0.005181037 0.3239751 0.6690485 
0.005442055 0.006744673 0.2925602 0.6952531 
0.003019436 0.008407709 0.3415337 0.6470391 
0.01072189 0.009548452 0.2932249 0.6865048 
0.009644387 0.02107632 0.2325472 0.7367321 
