p_1 p_2 p_3 p_4 
0.0218041 0.7038608 0.1293916 0.1449435 
0.05212184 0.7619523 0.03116213 0.1547638 
0.00832642 0.8092601 0.05605282 0.1263606 
0.02655863 0.7413421 0.07342329 0.1586759 
0.07431078 0.7811249 0.02837158 0.1161927 
0.03635876 0.7674539 0.04675285 0.1494345 
0.0001606551 0.83551 0.04245261 0.1218767 
0.0434391 0.7608495 0.06310086 0.1326105 
0.003860311 0.7607821 0.05325848 0.1820991 
0.03723162 0.7805749 0.0301802 0.1520133 
0.01625432 0.7656044 0.09080096 0.1273403 
0.02050384 0.8004128 0.0528592 0.1262242 
0.04530288 0.7033394 0.09443215 0.1569255 
0.03463208 0.7476333 0.09933645 0.1183981 
0.0008901248 0.840944 0.05518067 0.1029852 
0.03394181 0.7287584 0.07025749 0.1670423 
0.001318021 0.7997809 0.09878729 0.1001137 
0.01122048 0.7416144 0.1080793 0.1390858 
0.01011574 0.7506085 0.04877757 0.1904982 
0.02324206 0.733469 0.05558771 0.1877012 
0.01186246 0.7956742 0.06808984 0.1243735 
0.02554247 0.8007574 0.07985671 0.09384345 
0.04183068 0.7218807 0.04387211 0.1924165 
0.04307987 0.7681255 0.02424698 0.1645476 
0.04249817 0.7856103 0.0541252 0.1177663 
0.0005939602 0.8361862 0.03473964 0.1284802 
0.01416064 0.7722827 0.09853998 0.1150167 
0.0122605 0.7724026 0.0581694 0.1571675 
0.002136321 0.7131953 0.1219728 0.1626956 
0.0630207 0.7733796 0.08100163 0.08259803 
0.04379617 0.7468541 0.07652027 0.1328295 
0.07966236 0.8274223 0.02478967 0.06812568 
0.05067158 0.8038635 0.01030391 0.135161 
0.06553075 0.7682594 0.009572301 0.1566376 
0.08153276 0.7570649 0.008730842 0.1526715 
0.1184697 0.7818582 0.006497073 0.09317504 
0.03439992 0.757531 0.06724234 0.1408267 
0.07637072 0.7902719 0.1331502 0.0002072521 
0.08233745 0.7296711 0.1677325 0.02025891 
0.08939745 0.7914387 0.07862995 0.04053394 
0.04765868 0.7677773 0.1672222 0.01734177 
0.02773751 0.7953162 0.1526447 0.02430166 
0.05698592 0.7323841 0.19204 0.01858995 
0.07959812 0.7899773 0.1278442 0.002580386 
0.05013846 0.776068 0.1669715 0.006822046 
0.02576882 0.8028658 0.100948 0.07041739 
0.0007331791 0.7152621 0.1276403 0.1563645 
0.02458799 0.7170701 0.210309 0.04803288 
0.005067671 0.8122941 0.09172177 0.09091648 
0.01892849 0.7951644 0.1085365 0.07737062 
0.01510096 0.7982075 0.1411618 0.04552967 
0.01854209 0.8119523 0.1017019 0.06780368 
0.009758058 0.7594256 0.1413104 0.08950596 
0.01171684 0.746472 0.2137204 0.02809074 
0.02343722 0.7379495 0.07181416 0.1667991 
0.04389336 0.7377865 0.1912373 0.02708284 
0.02626675 0.769365 0.130567 0.07380129 
0.004609964 0.7374221 0.1579228 0.1000451 
0.05309443 0.7120051 0.1934853 0.04141526 
0.008890635 0.8437679 0.1184855 0.02885591 
0.003361948 0.8300741 0.06509983 0.1014641 
0.003698027 0.7753159 0.1571292 0.06385684 
0.05718546 0.7430606 0.1545759 0.04517805 
0.02056238 0.7836093 0.07735516 0.1184732 
0.1038655 0.8072776 0.08648567 0.002371165 
0.1006144 0.8070989 0.08817136 0.004115292 
0.07817667 0.8369135 0.07354978 0.01136002 
0.1084102 0.7547543 0.1245269 0.01230868 
0.07319016 0.7772413 0.09717752 0.052391 
0.04243571 0.7671556 0.1714511 0.01895757 
0.0308686 0.7978972 0.1279907 0.04324351 
0.03101289 0.7214394 0.2239172 0.02363057 
0.08188291 0.7683761 0.1033615 0.04637941 
0.004987101 0.7956927 0.1107513 0.08856894 
0.05070679 0.7317709 0.1541518 0.06337056 
0.02559018 0.7566722 0.1644138 0.05332374 
0.02883215 0.7942987 0.1474126 0.02945662 
0.02228675 0.8437952 0.05805992 0.07585812 
0.04886762 0.7611302 0.04224174 0.1477604 
0.01628322 0.747423 0.008983356 0.2273104 
0.004507852 0.8283435 0.007505423 0.1596433 
0.009271784 0.7721755 0.05395061 0.1646021 
0.009773583 0.8247112 0.004518866 0.1609964 
0.01377162 0.7233664 0.068522 0.19434 
0.04480073 0.8202668 0.0002282092 0.1347043 
0.1059558 0.8079662 0.009883175 0.07619479 
0.01924227 0.7800039 0.01856479 0.182189 
0.04242129 0.7236141 0.04455027 0.1894143 
0.02010096 0.6719653 0.04714367 0.2607901 
0.01879357 0.7512573 0.03293647 0.1970126 
0.05794287 0.7735834 0.1143445 0.05412921 
0.0584784 0.738356 0.1531289 0.05003677 
0.07251786 0.7339501 0.1054929 0.08803912 
0.06517401 0.7911729 0.1264242 0.01722887 
0.09266032 0.7524075 0.1435689 0.01136328 
0.001639321 0.8017181 0.1029495 0.09369304 
0.000496534 0.8503894 0.09297862 0.05613541 
0.006105141 0.7470042 0.1896012 0.05728945 
0.02574868 0.7659974 0.1519665 0.05628744 
0.03539428 0.7754863 0.1860216 0.003097846 
0.08655266 0.7477235 0.1350414 0.03068243 
0.03732727 0.7529112 0.1772695 0.0324921 
0.04889445 0.7868346 0.1544568 0.009814151 
0.09490695 0.789255 0.08668354 0.02915446 
0.06137153 0.8297304 0.06434028 0.04455778 
0.05725606 0.8563996 0.08507412 0.001270175 
0.06261903 0.7975903 0.1206751 0.0191156 
0.1394522 0.7312987 0.1198426 0.00940652 
0.04517772 0.7584158 0.1766496 0.01975684 
0.06201932 0.7918494 0.1410036 0.005127723 
0.08914715 0.7284937 0.1365353 0.04582384 
0.0612094 0.7498848 0.1622636 0.02664217 
0.07574929 0.8302043 0.07833641 0.01570997 
0.03330204 0.7938965 0.1514341 0.02136741 
0.0414667 0.8166088 0.1291721 0.01275243 
0.08160084 0.7774934 0.04403857 0.09686717 
0.04034298 0.787983 0.009472883 0.1622011 
0.06256567 0.8469654 0.01744014 0.07302879 
0.06246283 0.7994908 0.01526199 0.1227843 
0.08538411 0.7612349 0.0002819943 0.153099 
0.0480183 0.698109 0.02870888 0.2251638 
0.05910343 0.7521186 0.005783811 0.1829941 
0.05050367 0.799996 0.00572362 0.1437768 
0.07803078 0.7455523 0.01542547 0.1609914 
0.08930572 0.7437752 0.05826648 0.1086526 
0.1320893 0.712782 0.0101467 0.144982 
0.051991 0.7499766 5.239052e-05 0.19798 
0.05587535 0.7470137 0.005019525 0.1920914 
0.09990364 0.7904222 0.004454617 0.1052196 
0.07840869 0.7544771 0.02399867 0.1431155 
0.03905486 0.7695034 0.01897734 0.1724644 
0.04896874 0.8358363 0.1140034 0.00119154 
0.0694276 0.7947278 0.08576884 0.05007579 
0.04445937 0.8160614 0.001926521 0.1375527 
0.0676737 0.8145598 0.1055751 0.01219139 
0.01661113 0.7759528 0.1941811 0.01325489 
0.02701054 0.7640898 0.1945922 0.01430742 
0.06591873 0.8628388 0.06996647 0.001276023 
0.04361235 0.7123551 0.1826419 0.06139071 
0.05762369 0.7988021 0.1250851 0.01848911 
0.08177848 0.7924106 0.09533498 0.03047593 
0.1153391 0.7555192 0.1289845 0.0001572764 
0.02192115 0.8114438 0.1063732 0.06026189 
0.1313863 0.7430291 0.1053727 0.02021186 
0.0124999 0.8069136 0.1211377 0.05944884 
0.04219313 0.6769811 0.2136589 0.06716687 
0.007750384 0.840961 0.08323658 0.06805205 
0.05528716 0.741939 0.1899694 0.01280445 
0.1133916 0.7310249 0.09646879 0.05911468 
0.04433028 0.801149 0.1410261 0.01349461 
0.07040378 0.7531913 0.1405896 0.03581533 
0.03865614 0.8348288 0.1026527 0.02386239 
0.002482605 0.7545508 0.1466797 0.09628697 
0.02199737 0.7555948 0.08213896 0.1402689 
0.0849898 0.785545 0.1103753 0.01908997 
0.02986539 0.7988497 0.1574606 0.01382424 
0.1350301 0.7213618 0.07924204 0.06436606 
0.05861291 0.8249733 0.08978189 0.02663186 
0.0348927 0.7132043 0.1506004 0.1013025 
0.04866132 0.7881324 0.1550064 0.008199884 
0.03914049 0.7640663 0.1699938 0.02679937 
0.04840056 0.7870882 0.1140336 0.05047767 
0.1204956 0.7485369 0.1110402 0.01992735 
0.07171652 0.7627011 0.1496474 0.0159349 
0.06040225 0.7927017 0.1347646 0.01213141 
0.04708753 0.7754155 0.1622683 0.01522869 
0.03745391 0.790943 0.1681552 0.003447852 
0.09029725 0.8476423 0.05069838 0.01136208 
0.05320064 0.7022653 0.1944651 0.05006896 
0.001578719 0.6837329 0.2378709 0.07681751 
0.07007574 0.7324792 0.1093118 0.08813333 
0.008381768 0.789606 0.1455065 0.05650574 
