"Delta_1" "Delta_2" "Delta_3" "Delta_4"
-3.160896 1.263479 10.54479 -2.308059
-3.147909 0.9533807 11.47649 -2.203799
-3.035976 0.9676106 -0.3989251 -2.190631
-3.11014 1.131799 21.04667 -2.165596
-3.112875 1.139371 -11.19375 -2.195557
-3.264377 1.055713 23.31607 -2.192217
-3.237187 1.183137 3.663281 -2.473232
-3.136839 1.095685 -11.88456 -2.132169
-3.093164 0.6430072 -8.541024 -2.097039
-3.028586 1.119604 10.31568 -2.112772
-2.982624 0.9772066 -3.644817 -2.349554
-3.14266 0.6898396 2.199552 -2.574218
-3.253937 1.232215 -19.10153 -2.391438
-3.255636 1.104136 -16.25176 -2.43096
-3.260694 1.189204 -11.87479 -2.433885
-3.24887 1.057082 12.73162 -2.493504
-3.309015 0.8687887 5.252999 -2.451988
-3.235088 0.5239211 -1.043751 -2.584964
-3.247208 1.116277 8.020493 -2.418717
-3.203729 0.7641465 -3.899286 -2.264105
-3.225655 0.8846751 -1.197218 -2.172065
-3.264304 1.022828 -8.610069 -2.158276
-3.166539 1.04429 7.658155 -2.151872
-3.146079 1.048392 -9.991793 -1.966603
-3.118114 1.15468 6.080927 -2.112372
-3.008539 1.128634 -10.47286 -2.209665
-2.908171 0.893882 -2.074091 -2.418829
-3.123639 0.9135817 0.9061577 -2.342084
-3.251423 0.982297 2.577344 -2.371601
-3.081251 0.9677441 -8.627615 -2.160704
-3.176451 1.036681 3.293065 -2.592977
-3.161837 1.175586 -14.64175 -2.371669
-2.97069 1.148939 -15.89947 -2.462167
-3.268037 1.069525 6.002243 -2.624928
-3.187996 1.066357 5.542851 -2.566907
-3.117212 1.16242 -6.830797 -2.326501
-3.096136 0.9340422 0.3161706 -2.587195
-2.959955 1.212851 -1.703139 -2.56586
-2.91637 1.372717 13.74349 -2.511745
-2.880866 1.165834 -3.395307 -2.495876
-2.793775 0.8963706 -8.15116 -2.395089
-2.822317 1.186832 -3.261849 -2.370164
-2.771857 1.052852 -4.414906 -2.435542
-3.026735 1.000956 -7.833883 -2.46164
-3.070511 0.9163917 -1.626914 -2.625987
-3.025496 0.9558513 3.450862 -2.49332
-3.042364 1.235785 -6.627675 -2.429275
