"beta1_1" "beta2_1" "beta1_2" "beta2_2" "beta1_3" "beta2_3" "beta1_4" "beta2_4"
-30.17837 -3.986666 30.07276 4.048922 8.50518 -0.5114085 14.70241 3.901746
-30.21736 -3.891003 30.07548 4.124933 -8.858481 -5.204505 14.78888 4.046719
-29.99965 -3.858163 30.07909 3.984449 18.68667 8.423728 14.81369 4.021346
-30.1392 -3.921695 30.25329 3.761359 9.715957 3.569115 14.85138 4.138071
-30.11023 -3.861651 30.21267 3.804393 -0.1250849 -11.82877 14.8002 3.929387
-29.90314 -3.946572 29.99285 4.022329 1.317778 -3.113584 14.59153 3.941893
-30.14296 -3.882619 29.85248 4.110278 -17.70829 -6.085532 14.43311 4.121332
-30.03241 -3.926108 29.90795 3.997794 -8.796218 14.16652 14.77402 4.002526
-29.99042 -3.863527 30.23693 4.142147 -0.0543886 -19.04147 14.62795 4.022187
-30.24388 -3.928876 30.18861 4.048676 13.60608 4.741322 14.7607 3.922009
-30.26237 -3.822718 30.13618 3.914585 9.447919 11.62396 14.64171 4.010895
-30.12402 -3.896759 30.28591 3.800343 11.25226 3.866935 14.79217 4.033124
-29.97057 -3.918498 29.96874 4.112191 9.296033 -0.6291596 14.62568 3.95605
-29.99174 -3.95001 30.06017 3.972686 10.94803 7.587672 14.45869 4.103275
-29.94178 -3.9713 30.66544 3.888254 -2.569437 -1.717472 14.68244 4.105589
-30.11825 -3.984806 30.30964 3.9849 23.51402 2.13252 14.64789 3.98196
-30.11489 -4.002753 29.91569 4.011604 -7.761782 4.449671 14.34759 3.928663
-29.92275 -3.924366 29.94102 4.119328 5.844304 7.425719 14.58156 4.044252
-29.92515 -3.909895 30.10653 4.031385 -2.642077 -14.1897 14.89811 3.996889
-29.95019 -3.964357 30.10789 4.049756 2.566153 -18.02069 14.85775 4.014801
-30.34556 -3.849301 30.19938 4.062892 10.19961 14.5362 14.50035 4.066347
-30.05296 -3.872986 30.24554 3.784044 -1.958645 -9.547961 14.68146 4.214056
-30.2908 -3.965369 29.97955 3.899579 -16.61421 -0.9821964 14.27376 4.123878
-30.15196 -3.926939 29.96047 3.959844 0.503034 7.761021 14.54667 4.046686
-29.95096 -3.903475 30.22697 4.046588 11.92197 16.45379 14.37981 3.996645
