"tau2_1" "tau2_2" "tau2_3" "tau2_4"
0.7589015 0.02578712 0.06856629 0.06092554
9436252 0.0555973 0.1171302 0.08870156
0.8322061 0.03069503 0.05932868 0.09718037
4.760291 0.06989365 0.01509544 0.09121491
1429.217 0.05621786 0.086159 0.07196988
0.6752773 0.08111057 0.03047941 0.1600115
10.95549 0.2994822 0.02155714 0.2170842
1059.042 0.1353615 0.3395459 0.2017158
4.436263 0.07431304 0.1015413 0.1732694
106.9901 0.1179323 0.1763943 0.1134586
486.7976 0.0206647 0.07638203 0.06401273
0.4721551 0.06292568 0.09267189 0.08816013
0.2470916 0.1181698 0.1176892 0.05401517
8813.276 0.08157756 0.08027195 0.05532474
4.468022 0.07487555 0.1076294 0.105014
0.08222362 0.1251171 0.09679127 0.06137155
18769.38 0.04230886 0.09147276 0.09993653
10543.3 0.0150072 0.02546935 0.210992
33209.42 0.08130832 0.04598622 0.07760593
0.1776982 0.06177059 0.161773 0.1557824
22.66137 0.02682356 0.0539392 0.1384147
48.64758 0.02986211 0.05712187 0.1855167
1.031819e+16 0.06059258 0.04437647 0.1353267
40.89519 0.05847751 0.1621914 0.1691132
0.1824816 0.1052779 0.04439287 0.1691647
125981.5 0.1356726 0.02970216 0.1014301
409.5513 0.08922749 0.06949238 0.1093773
407.0671 0.04810202 0.1385252 0.2105386
7.422258 0.07074225 0.03738653 0.120921
0.898247 0.02163323 0.06287012 0.09596944
1.12959 0.09936397 0.03763984 0.0892413
0.5908661 0.01886241 0.02826266 0.1586743
983.711 0.06296698 0.04667801 0.1139701
0.2475479 0.07370891 0.2615726 0.1845654
1.694767 0.06970766 0.04531127 0.135809
2.191539 0.07741637 0.05747914 0.2053498
0.3029473 0.06836571 0.06143944 0.155461
98.69099 0.03578458 0.0709052 0.0922122
0.09676624 0.0961933 0.08875942 0.1258316
0.6251459 0.04417344 0.1431402 0.08862531
0.1466834 0.06385994 0.114766 0.1135606
7.947375 0.03738294 0.2046333 0.1523184
0.3051428 0.05187917 0.1256366 0.08348157
353685.2 0.1805337 0.05247901 0.1491931
0.143338 0.06784958 0.07096569 0.1273957
3747.105 0.1335727 0.06350902 0.1082874
