beta1_1 beta2_1 beta1_2 beta2_2 beta1_3 beta2_3 beta1_4 beta2_4 
15.51919 3.753981 29.90147 4.0141 5.546762 -5.005063 -29.26817 -4.153241 
15.15995 4.449081 29.83488 4.001802 -8.195631 13.54533 -29.8587 -3.930848 
15.7387 4.362055 29.78084 4.049598 -4.330312 -8.885406 -29.5324 -3.860505 
14.96764 4.279062 30.03453 3.828711 8.259222 -0.1646211 -30.99874 -3.921379 
15.94929 3.974386 29.79862 3.906687 12.71778 9.857975 -30.65209 -3.663994 
15.42838 4.13831 29.54501 3.927195 -5.528232 4.82602 -30.07566 -4.037464 
14.86772 4.17456 29.84358 3.95521 -5.622702 20.07461 -31.18131 -3.939141 
15.70327 4.205891 29.76078 3.772107 -4.936538 0.3901358 -30.87357 -3.911596 
15.41506 4.697705 29.52914 4.107355 -30.85546 15.35366 -29.61466 -4.193617 
15.98468 4.163037 29.84183 3.919868 -21.32242 14.16116 -30.27988 -3.862951 
15.42311 4.35835 29.65859 4.140388 10.42982 18.19438 -29.44098 -4.074617 
15.44276 4.333282 29.73587 3.742227 21.82646 11.54708 -30.62911 -4.030118 
15.30313 4.334319 29.91593 3.930804 -3.025942 -3.128732 -29.6528 -3.928623 
15.54169 4.387216 29.68245 4.207332 -3.980267 -4.315102 -30.64854 -4.360477 
15.53982 4.196423 29.74385 4.375556 -18.99666 2.039511 -30.44094 -4.376959 
15.83078 4.058772 29.88153 4.076546 -8.064972 -8.777542 -30.05616 -4.002745 
15.73339 4.398893 29.4979 3.879021 -0.04366511 13.38654 -30.21064 -3.843729 
15.4453 3.926419 29.7575 3.917454 2.630523 11.03558 -30.59408 -4.035337 
15.44481 4.267536 29.55848 4.213871 -2.233407 -1.662181 -30.17114 -3.83306 
15.82516 4.067243 29.78754 4.048111 1.065297 12.13691 -29.57257 -4.004284 
15.51644 4.171966 29.61011 3.951914 3.86208 -9.045959 -30.78431 -4.092747 
15.94097 4.597596 29.87659 4.023617 -21.93045 -11.75148 -29.25248 -4.134386 
15.35305 4.239025 29.6204 4.131939 -11.99932 12.06429 -29.72925 -4.247562 
15.12224 4.147684 29.77012 4.190921 6.125337 -0.2711258 -30.43235 -4.005132 
15.59171 4.120748 29.73771 3.930334 -10.85543 -15.94032 -30.54778 -3.89256 
15.14564 4.322198 29.51161 4.198551 5.431357 -1.161546 -29.42063 -4.032269 
15.30831 4.068085 29.52812 3.765653 0.9006861 13.51581 -30.18238 -4.123916 
15.44881 4.427752 29.6154 3.797242 8.058375 -10.2524 -30.4211 -4.09128 
15.6934 4.188053 29.89466 3.903735 -25.0285 -6.660716 -31.44387 -4.24944 
15.54975 4.260653 29.5695 3.919377 -9.292938 11.31581 -31.25332 -4.005956 
15.51866 4.203515 29.9541 3.945006 6.990949 -1.708215 -30.87274 -4.101983 
15.41754 4.336628 29.92636 4.154188 -7.99506 2.379251 -32.1139 -4.05099 
14.93014 4.675766 29.75852 4.15102 4.81764 17.72762 -32.49172 -4.180484 
15.25621 4.211253 29.67375 3.979899 18.9218 -0.5694017 -30.7995 -3.77233 
15.64132 4.30354 30.14536 3.9922 0.09331863 4.478606 -31.31399 -3.969063 
15.28061 4.140139 29.68223 3.91905 -6.991608 -9.721521 -31.22322 -3.78202 
15.25495 4.38318 29.85919 3.888352 0.3125346 12.93421 -29.89716 -3.592995 
15.79278 4.112147 29.81836 3.983052 4.229319 -4.303882 -31.06898 -4.036438 
14.96068 4.45381 29.75603 4.300089 -4.921509 18.50728 -30.85016 -3.611486 
15.90351 3.954021 30.18649 3.813197 10.43947 -13.97623 -31.86928 -4.126538 
15.14771 4.491393 29.85929 3.963147 5.248517 -5.855267 -30.91836 -4.089872 
15.77581 4.200695 29.70912 4.364122 -2.526204 -0.8629341 -30.49656 -4.163138 
15.62038 4.654379 29.86553 3.862897 -9.363498 -9.308951 -31.12544 -3.855909 
