"res" "LCI" "UCI"
-1.12349889088542 -1.21282632871865 -1.03347214984336
-1.11895862164587 -1.20765836316099 -1.02963151479031
-1.11398031644648 -1.2024271204374 -1.02455054726176
-1.10948616849578 -1.197948184068 -1.01969032690252
-1.10336351908775 -1.1915412200524 -1.01359429791267
-1.09827151675031 -1.18567825529614 -1.00759872388121
-1.09368757215777 -1.1804231537438 -1.0042044171719
-1.08868425200622 -1.1742738875921 -0.997722196056681
-1.08456324519762 -1.17107648303924 -0.993540173997761
-1.07961671434978 -1.16640176171986 -0.990671781807
-1.07504203277342 -1.16158813347997 -0.985264014997783
-1.07015599077343 -1.15580561263129 -0.981987135024569
-1.06463596959332 -1.14980879391918 -0.978228627574811
-1.05865639999229 -1.143669774497 -0.972126033680352
-1.05269420427565 -1.13757586384594 -0.966622400586333
-1.04710233677207 -1.13090037142416 -0.961697060724308
-1.03979958515298 -1.12364320275712 -0.954280064971824
-1.03405023148977 -1.11741553860889 -0.94820523231867
-1.02809708663402 -1.11181433064082 -0.942206405909965
-1.02050555794653 -1.10491690759436 -0.935956492610369
-1.0150960278093 -1.099243858975 -0.930795024761583
-1.00790363504607 -1.09231572642244 -0.922570794278141
-0.999797453150712 -1.08336074328509 -0.916527526740493
-0.993098402926705 -1.07623871634064 -0.910753728760339
-0.984926750919516 -1.06764781513091 -0.89959260686278
-0.975792238226057 -1.05847383942076 -0.890970495202298
-0.9660623630146 -1.04829200949371 -0.882250070027323
-0.95728679116438 -1.04080768876719 -0.872810777783591
-0.951898894390404 -1.03565033417247 -0.866269897151092
-0.947092382039828 -1.0314833562327 -0.8610087812562
-0.942452740525481 -1.02759423103108 -0.856308820853603
-0.9376360173457 -1.02252088093047 -0.85093118514942
-0.933049784741842 -1.01799056859439 -0.846589912831683
-0.928446686887393 -1.01360590075301 -0.842218685450278
-0.925363401119962 -1.01032425495813 -0.839363761979083
-0.922278143654782 -1.00773539213336 -0.835133594582885
-0.918777500866296 -1.00396700552489 -0.832463075247614
-0.914910476494689 -0.999580025482878 -0.829057518698011
-0.910361666333002 -0.994795456100046 -0.824898718696265
-0.905869320879992 -0.990035835471167 -0.821707366573357
-0.902411380975027 -0.987788935275502 -0.818011617247131
-0.899343189065292 -0.985006546466412 -0.814552881515249
-0.896795408732776 -0.982323648510485 -0.812247052931804
-0.894382929707208 -0.980319257316844 -0.809284934606504
-0.891937677391497 -0.978757022936554 -0.805873409201498
-0.889532589259928 -0.975822069538979 -0.803930800511994
-0.887126630037478 -0.97388369843724 -0.801004749579937
-0.884811185556746 -0.970989600041914 -0.798836959152746
-0.882042292540073 -0.967963579557116 -0.796649844096626
-0.879337422986248 -0.964955455186421 -0.794308407480776
-0.876713774585505 -0.962068481319466 -0.792464155097213
-0.874360758045277 -0.95984505167779 -0.78992905744193
-0.871661380310014 -0.95623024529549 -0.787680820624943
-0.86807075498158 -0.951266228184827 -0.78445678180748
-0.863558954867734 -0.947639101646102 -0.780890155432946
-0.859854378390074 -0.944920391044987 -0.777549124922498
-0.856493431750487 -0.941551966769347 -0.774865629790251
-0.853394590253736 -0.938505530543293 -0.771728545254767
-0.850346950143359 -0.935781036589832 -0.769233211739811
