"Delta_1" "Delta_2" "Delta_3" "Delta_4"
0.9170432 -3.047796 -19.66535 -2.397821
0.9620011 -2.857048 12.29837 -2.06973
0.8399541 -2.891783 -16.51248 -2.219566
0.9615633 -3.050444 -6.750489 -2.233017
0.1467812 -2.842972 -4.778147 -2.268566
0.6857034 -3.024401 -8.054359 -2.35529
0.7250968 -3.120509 2.703529 -2.347342
1.173071 -3.166855 1.898969 -2.410196
1.037189 -3.237392 -19.85836 -2.420338
1.263181 -3.330092 -1.490478 -2.282381
1.042881 -3.261952 -3.80535 -2.649524
1.107927 -3.298985 -0.4402866 -2.400056
0.8161672 -3.324652 -8.252578 -2.74938
0.7522074 -3.339138 10.86952 -2.474913
1.009845 -3.095944 -14.48687 -2.218233
1.2915 -2.818678 6.013068 -2.224896
1.002289 -2.75279 9.095805 -2.298024
1.050137 -2.833953 -0.2720472 -2.256853
1.092211 -2.742368 0.5541322 -2.479466
0.8319419 -2.857987 12.11363 -2.251426
0.7066679 -2.805861 13.17639 -2.133372
0.9869356 -3.010027 -5.980493 -2.026976
0.9783947 -3.047626 0.6908779 -2.027948
1.132468 -3.008282 11.07814 -2.031712
1.363416 -3.224712 -15.07238 -2.634275
1.172252 -3.065487 -16.05254 -2.410093
0.8123127 -3.266118 2.56799 -2.206128
0.5452062 -3.345317 9.498572 -1.96047
1.081381 -3.230126 6.043396 -1.973898
1.041165 -3.160323 6.943334 -2.177043
0.9906412 -2.997295 -2.060981 -2.298167
1.022197 -3.221291 7.663806 -2.283575
1.100193 -3.312479 -21.45158 -2.344434
1.080527 -3.303527 -6.582167 -2.373276
1.084125 -3.244817 -20.46402 -2.316921
1.485022 -3.11839 -19.04488 -2.378246
1.234151 -3.02629 -6.020315 -2.397386
1.124786 -3.064506 3.845327 -2.205914
1.307988 -3.109665 -2.572402 -2.172894
1.118268 -2.998174 8.885261 -2.000559
0.5102042 -2.929065 -1.29267 -2.450597
0.8602013 -2.947409 19.06256 -2.30252
0.9127976 -2.924353 7.513311 -2.247055
0.7697281 -2.951515 -4.092728 -2.122636
0.9868613 -3.117406 -12.10425 -1.839896
0.7935381 -3.138961 -0.293224 -2.148236
1.01668 -3.066311 0.07856398 -2.086884
1.146159 -3.10676 26.26059 -1.851486
1.14898 -3.169523 -6.317945 -2.21047
1.247626 -3.061764 -12.92648 -2.068208
