u.bar t.bar 
1.042512 1.456347 
1.123701 1.316337 
0.8984213 1.525043 
1.011712 1.498119 
1.061331 1.476872 
1.03386 1.304874 
0.9967909 1.267385 
1.137974 1.150398 
0.9843929 1.182503 
0.9208608 1.448975 
1.061982 1.339718 
1.172177 1.24185 
1.01457 1.290817 
0.9826218 1.277962 
1.001044 1.575673 
1.191737 1.314367 
0.9695558 1.241216 
1.157542 1.215053 
1.013374 1.133692 
1.064581 1.484871 
1.046432 1.653296 
1.115803 1.141158 
0.8760816 1.507378 
0.9939922 1.369522 
1.002342 1.339633 
1.040987 1.368959 
1.022233 1.845916 
0.9942589 1.605666 
0.8903597 1.606561 
1.005071 1.498711 
1.031177 1.625402 
1.035628 1.701514 
0.9282638 1.735876 
1.170374 1.652801 
1.031443 1.451551 
1.059706 1.344368 
1.014203 1.5362 
0.9873617 1.62661 
0.9766316 1.792273 
0.9311348 1.638729 
0.8382093 1.507172 
1.03484 1.456154 
0.903849 1.376473 
0.9981347 1.634949 
0.9075228 1.544066 
0.9880381 1.374707 
1.102112 1.724335 
1.195765 1.663177 
0.8361221 2.406548 
1.092002 1.487031 
1.00724 1.302858 
0.9859961 1.566608 
1.038117 2.039408 
1.025501 1.564193 
1.11604 1.841793 
1.121217 1.574054 
0.7899392 1.753245 
1.032052 1.384968 
0.9426091 1.331571 
0.8689641 1.450133 
0.9614683 1.494684 
1.167701 1.420085 
0.8837485 1.317698 
1.063353 1.468684 
1.074677 1.166924 
1.045054 0.9908335 
1.133781 1.146213 
1.170977 1.230252 
0.9630198 1.293038 
1.180524 1.286591 
1.134507 1.118646 
1.13905 1.686595 
0.9303058 1.386031 
1.003069 1.323238 
0.8989542 1.24527 
1.051604 1.380924 
0.9760441 1.027067 
0.9176213 1.139264 
1.072326 1.142345 
1.077341 1.249175 
1.048652 1.251184 
0.8880284 1.176723 
1.042669 1.324151 
1.106182 1.203665 
0.9516255 0.9918389 
0.9941948 0.9774676 
1.005712 0.8084731 
0.9963634 1.120223 
0.9545617 1.141911 
0.9505437 1.210756 
0.9692915 1.055691 
0.9535916 1.027104 
1.149343 1.230879 
1.114354 1.207765 
0.9751814 1.357915 
1.121275 1.20842 
0.9451928 1.190507 
1.052306 1.236371 
1.028532 1.256683 
1.022462 1.308991 
1.038234 1.342172 
0.9792257 1.293359 
0.958065 1.294422 
0.9484356 1.423144 
0.8634149 1.501518 
0.9527607 1.582428 
0.9833614 1.411002 
1.047046 1.15178 
0.9142417 1.365097 
0.922487 1.418597 
1.125097 1.443634 
0.9831287 1.415335 
1.056623 1.275301 
1.190152 1.000232 
1.074954 0.9082588 
1.01034 0.8831391 
1.037194 1.16783 
1.100755 1.034933 
0.9454466 1.269243 
0.946779 1.221107 
0.9742334 1.18261 
1.14762 1.342769 
1.047994 1.298195 
1.067063 1.224465 
1.035411 1.305678 
0.9850486 1.56302 
1.070606 1.210141 
1.099016 1.678752 
1.010865 1.508698 
0.9342519 1.377126 
0.8674404 1.552647 
0.8572107 1.319296 
0.9246376 2.134282 
0.8897333 1.786919 
0.9997287 2.262411 
1.0283 1.967263 
0.845686 2.022358 
0.994221 1.832372 
0.8968881 1.696377 
0.779625 1.845506 
0.9800569 2.311268 
1.127839 1.745218 
0.9275399 1.524555 
0.9799522 1.277032 
0.9406203 1.612787 
0.9764056 1.463071 
0.9863634 1.658701 
0.8535673 1.434817 
1.017169 1.428969 
0.932086 1.336414 
0.865907 1.277161 
0.9832075 1.217958 
0.9424302 1.145121 
1.023267 1.177775 
0.9615471 1.325851 
1.034701 1.707264 
1.056178 1.349072 
1.069583 1.279384 
0.9998 1.000217 
0.9447787 1.168697 
1.080331 1.030044 
1.035244 1.014114 
1.041349 1.277036 
0.9136593 1.295649 
1.081204 1.195424 
0.9884909 1.276834 
1.017252 1.276812 
1.007193 1.093551 
1.08441 1.14757 
1.104259 0.9408675 
0.9084349 1.402358 
0.9162439 1.127707 
0.8740034 1.243952 
1.048959 1.069694 
1.160604 1.640025 
1.143112 1.301626 
1.085909 1.424597 
1.097225 1.578362 
0.9692403 1.310573 
0.9839197 1.636444 
0.8759878 1.855632 
0.8776888 1.569519 
1.217353 1.695011 
0.8324676 1.903037 
0.9796433 1.66954 
0.9713634 1.317643 
0.9215065 1.242041 
0.9763309 1.162715 
0.9403621 1.113215 
1.089882 1.074029 
0.9670224 1.086012 
0.9898532 1.139683 
1.036887 1.108296 
1.073826 1.203127 
0.9288603 1.126996 
0.9872747 1.067713 
1.135951 0.9635982 
1.063864 1.018441 
0.8831057 1.257335 
