beta1_1 beta2_1 beta1_2 beta2_2 
-23.69317 3.136111 0.1525796 -3.832584 
17.63833 4.054911 -29.19544 -3.864882 
23.13651 3.994853 -34.09835 -3.920592 
38.19709 4.947282 -44.77284 -3.986873 
18.948 3.687429 -33.22412 -3.727744 
18.05296 3.945964 -30.20345 -3.986474 
18.05112 3.427237 -29.98293 -4.001258 
14.57058 6.652002 -30.43254 -3.851825 
17.51492 6.122986 -29.81002 -4.036353 
19.37514 2.795695 -32.56933 -3.735996 
15.69597 8.457516 -29.6156 -3.939262 
17.1075 7.095134 -30.099 -4.096237 
18.89206 5.425782 -31.11087 -3.863291 
16.96987 7.787956 -30.66609 -3.716629 
19.27246 6.159771 -30.44285 -4.04753 
17.78565 6.469196 -29.96913 -4.002252 
19.91278 2.059465 -30.42571 -3.616329 
18.54611 4.942769 -30.41742 -3.960627 
19.13095 4.119383 -29.71453 -3.974392 
18.67764 4.859601 -29.5275 -4.019945 
19.39935 2.006604 -29.57091 -4.000537 
19.82016 6.852469 -30.03172 -3.923279 
18.26303 9.50293 -29.80854 -4.217685 
18.68 6.932952 -29.82047 -4.007688 
15.98812 7.186569 -29.83933 -3.812621 
18.74667 6.377941 -31.54885 -3.527401 
17.81078 4.346058 -29.64521 -3.748899 
18.30217 2.989618 -29.63792 -4.166489 
18.84734 4.969892 -30.51305 -3.900679 
18.66945 3.019744 -29.92893 -3.900351 
19.53413 4.113006 -30.44204 -3.5063 
19.43138 4.078014 -29.67395 -3.980942 
18.92115 8.034536 -29.9975 -3.781607 
19.85708 8.995329 -29.51516 -3.775521 
18.08539 4.493079 -29.75779 -3.618974 
19.72426 3.172695 -31.0098 -3.750601 
19.61297 3.466211 -31.37523 -4.029054 
17.43083 4.410827 -30.28576 -4.086608 
20.02201 3.882231 -32.34156 -3.799079 
18.49474 1.358879 -31.0381 -3.83108 
24.55632 4.34223 -30.72982 -3.821176 
18.27111 5.627351 -29.56244 -3.845635 
23.11823 3.565142 -30.41735 -3.871512 
21.42708 6.027794 -31.96009 -3.699498 
17.05818 6.521315 -30.19221 -4.024284 
20.75898 4.789369 -31.61315 -3.825074 
18.49629 4.531803 -29.97237 -3.820061 
23.1233 2.996365 -32.62769 -4.150733 
19.69714 5.462044 -31.51265 -3.685287 
16.78311 5.303946 -30.07851 -3.658883 
16.38899 5.288187 -30.1925 -3.852676 
16.61242 5.774102 -30.12159 -3.927719 
16.55619 7.201412 -30.30477 -3.770073 
18.68961 1.390571 -29.92741 -3.676964 
18.88841 5.301946 -30.76013 -3.717644 
20.30381 5.144522 -30.67093 -3.828983 
17.54277 3.747264 -29.92901 -3.970996 
16.69524 5.610095 -29.90637 -3.999537 
20.30671 4.498567 -30.14224 -3.974693 
20.05985 6.524047 -30.60742 -3.998496 
20.4134 6.515684 -30.89169 -3.935396 
18.5215 6.508221 -29.96401 -4.018381 
20.90555 4.289415 -30.17741 -4.042358 
19.9786 3.962637 -31.88152 -3.804621 
19.81945 2.233456 -31.59129 -3.861569 
18.74453 4.193283 -30.20968 -4.111389 
19.68866 3.57949 -30.35259 -3.815824 
17.19519 2.722821 -29.63773 -3.839636 
17.2612 5.740141 -29.59531 -3.789392 
28.35108 6.8841 -32.18665 -3.706728 
19.86864 6.136534 -30.10631 -3.823422 
18.27536 6.335499 -30.39535 -3.887024 
20.16143 6.009748 -30.20778 -4.038831 
17.65703 5.498818 -29.98939 -3.92054 
18.24092 4.969523 -30.15207 -3.57146 
16.58771 7.515484 -29.85445 -4.030464 
17.71532 7.677021 -30.07131 -3.790788 
18.33944 6.056115 -30.0345 -3.984015 
19.73704 5.050794 -30.21999 -3.923024 
18.89601 4.984718 -29.77127 -3.847544 
20.07275 6.246055 -29.77094 -4.145214 
22.49298 3.922759 -30.67508 -3.95403 
21.86304 4.712412 -29.81959 -3.795385 
22.23524 2.258332 -29.92531 -4.004719 
20.74879 3.830845 -30.17288 -4.03766 
18.6084 1.57724 -29.58142 -3.988766 
17.6282 1.856253 -30.15057 -3.836461 
18.37462 3.008105 -31.19533 -4.059382 
18.67963 5.596995 -29.7543 -3.919054 
26.47571 5.808945 -32.47772 -3.931995 
18.42076 3.345529 -29.67894 -3.656567 
19.92259 6.678139 -30.11133 -3.759376 
19.59943 4.915874 -29.65209 -3.992737 
22.93999 5.702474 -30.92439 -3.976383 
17.62976 6.892649 -29.18497 -4.099127 
17.91998 7.630809 -29.44753 -3.81745 
20.35063 4.61079 -30.69799 -3.848418 
17.96481 4.100995 -30.07384 -3.850586 
22.64948 5.988814 -31.89392 -3.929058 
19.33735 4.464914 -29.84097 -3.93545 
23.99315 4.365162 -31.88901 -3.913737 
22.27947 2.423024 -30.16142 -3.706043 
19.14774 2.959142 -30.59092 -4.059663 
17.12686 5.68606 -30.01713 -3.793615 
19.38178 5.514048 -30.26376 -3.818992 
22.38246 5.922693 -29.98572 -4.050819 
19.79265 3.808391 -30.0348 -3.989283 
18.88842 4.374966 -29.79919 -3.835787 
32.40019 3.877017 -35.24902 -3.954451 
21.54211 4.804817 -31.62287 -3.908325 
25.46626 5.134674 -33.10405 -4.071936 
17.49132 5.751735 -29.32103 -3.853782 
20.78378 5.792543 -32.68664 -3.80484 
18.1131 6.527995 -29.90359 -3.679506 
17.00545 6.160115 -29.90948 -3.798582 
17.6832 6.707774 -30.23546 -4.084723 
15.83753 8.200149 -29.76728 -4.015136 
19.37623 3.616932 -29.61451 -3.796449 
21.47366 3.479761 -30.38132 -3.693732 
19.55911 4.236677 -30.04033 -4.044186 
18.46006 4.880721 -30.07499 -3.86828 
17.68159 4.495962 -29.59168 -4.033423 
18.39696 3.832243 -29.87133 -3.933468 
18.88448 6.993527 -29.72188 -3.990058 
21.87203 7.525877 -30.65379 -3.772049 
19.12347 4.028098 -29.99709 -3.913015 
17.88299 4.838525 -29.57426 -3.894601 
18.01307 3.526804 -30.35535 -3.750879 
22.76927 3.490871 -33.99324 -3.865963 
18.51264 3.653816 -30.28527 -4.110127 
18.0177 4.286431 -30.41633 -3.796706 
17.97852 5.301077 -31.13116 -3.970384 
17.74189 5.1669 -30.5664 -3.810152 
17.26951 6.496715 -29.64496 -3.944074 
16.54136 7.845245 -29.79689 -3.829633 
18.03167 5.597568 -30.44854 -4.111723 
18.7657 4.199579 -30.517 -4.170229 
16.61895 3.681272 -30.03723 -3.925416 
17.22874 3.932755 -29.63384 -3.947962 
17.63287 4.750463 -30.01265 -3.94826 
18.38225 2.297197 -30.45527 -3.86794 
17.44597 6.526695 -29.51059 -3.942252 
18.94552 4.197041 -31.35569 -3.787783 
