"beta1_1" "beta2_1" "beta1_2" "beta2_2"
18.23821 3.976479 -30.30815 -3.905035
19.32832 4.388616 -30.42274 -3.97531
17.95278 4.06727 -30.67156 -3.923612
17.78717 3.942151 -30.59862 -3.868905
18.23607 3.837936 -30.31136 -3.958872
18.86737 3.340862 -30.5171 -3.962395
19.39166 3.379285 -30.32924 -3.905604
18.85539 4.169125 -29.97305 -3.99811
18.84624 4.173765 -30.24789 -3.92844
18.52526 4.014228 -30.22843 -3.903035
19.09795 3.844787 -30.15607 -3.976888
18.10039 3.72422 -30.24385 -3.941425
18.09347 3.614436 -30.39993 -3.781138
17.80367 3.779768 -30.47038 -3.967258
18.37583 3.500822 -30.22159 -3.962597
18.71414 3.615366 -30.50354 -3.904567
18.3947 4.025295 -30.56357 -3.920747
18.89949 4.100682 -30.36206 -3.857961
19.03379 3.943919 -30.2728 -3.939126
18.83814 3.534129 -30.38321 -3.968738
19.23726 3.591105 -30.27128 -3.964305
18.22918 4.058962 -30.01021 -3.878603
18.70017 3.843167 -30.41308 -3.871624
17.44286 3.996203 -30.06572 -3.92447
17.8143 3.825958 -30.38028 -3.850225
17.88676 4.044045 -30.22244 -3.882937
18.33061 3.363033 -30.1091 -3.88129
18.64308 3.477227 -30.28277 -3.957055
17.21727 3.743284 -30.08639 -3.857025
17.61418 3.658693 -30.29637 -3.985004
17.98314 3.959627 -30.49255 -3.880016
18.02074 4.208402 -30.55901 -3.890289
18.86607 3.377654 -30.49416 -3.801094
18.57966 3.916344 -30.23944 -3.874172
18.15447 4.030778 -30.30474 -3.990722
18.10674 4.278997 -30.12554 -3.950041
17.85938 3.985927 -30.18964 -4.021737
18.85364 3.74404 -30.40835 -3.912445
18.04944 3.258181 -30.00054 -3.910511
17.89733 4.09527 -30.08887 -3.919092
18.36256 3.969198 -30.13556 -3.933445
18.68461 3.964191 -30.25155 -3.998022
18.31489 4.202168 -30.32827 -3.837459
18.68051 4.13163 -30.3983 -3.977129
18.83633 4.469327 -30.12283 -3.956123
