Delta_1 Delta_2 Delta_3 
-0.1096177 0.01437529 -4.411348 
0.08846951 0.009079949 3.642462 
0.06896637 -0.01230886 -8.050271 
0.1039748 0.007464579 -6.961832 
0.01813437 -0.002976785 -13.06022 
-0.16098 0.01776904 3.242017 
-0.0139281 -0.004917217 -11.09482 
0.07252997 -0.006911013 -20.77207 
-0.003382886 -9.722269e-05 13.36997 
-0.03182588 -0.006861951 -23.68507 
0.01278899 -0.01765499 11.76156 
0.01538273 -0.01044023 -2.524375 
-0.09400756 0.02260462 0.4614583 
-0.06884796 0.01482277 9.437059 
-0.006688876 -0.0007700003 -8.350567 
-0.02335624 0.007141197 -16.02723 
-0.03647579 0.004137768 -4.302744 
0.1558907 -0.003205128 4.586612 
-0.02761964 -0.008652166 -11.2248 
-0.1376857 -0.02395088 3.242707 
0.03493278 0.003328499 -3.655904 
0.04656327 -0.004029886 5.093604 
0.01924523 -0.01753033 3.344549 
0.006841597 -0.004122633 -0.8157923 
0.1009698 0.0023432 9.21981 
-0.009575759 0.01415416 0.430348 
-0.03697996 0.007399994 17.20738 
0.04826882 -0.01416392 -7.464939 
0.008673665 0.009355785 25.68993 
-0.02525318 -0.006082859 -14.93279 
-0.0347177 0.008078847 -22.19004 
0.01927571 0.03804446 10.48085 
-0.08095406 -0.009182211 0.9358248 
-0.149096 0.02227647 3.623945 
-0.01283964 -0.02238341 4.852078 
-0.01060539 -0.00396123 -7.851457 
-0.0517178 -0.0009097178 5.445605 
0.0007440963 0.003651639 19.85376 
-0.07036881 -0.001960272 21.78969 
-0.1015117 -0.01481061 -8.140862 
-0.01976557 -0.01126772 -23.22632 
0.01615865 -0.01200772 18.23493 
-0.08229414 0.004686349 -1.96899 
-0.1123168 0.005963388 6.040776 
-0.02443835 0.00452746 12.73944 
-0.06999517 -0.003248332 -1.144349 
0.04393687 -0.0009741989 1.753772 
-0.01437073 -0.01949762 -13.55423 
-0.06929679 -0.007179645 -2.246394 
-0.009028019 -0.008820647 0.879483 
-0.02982945 -0.01337395 -5.213682 
0.02347498 -0.01666079 -4.385873 
-0.1143664 -0.01113434 -8.827641 
-0.06277688 -0.02625774 0.2160889 
-0.06409675 0.006545825 1.637494 
-0.1229092 -0.004310976 2.762723 
0.006167781 -0.02879591 11.8441 
-0.1102029 -0.004082187 15.3626 
0.005540874 -0.007719235 4.43522 
-0.003809479 -0.01007807 6.745198 
-0.002010868 0.009942806 -0.9082934 
-0.03962889 0.001518231 -2.125492 
-0.09800521 0.004270137 -0.05446752 
-0.04671875 -0.007919935 -9.015792 
-0.0780844 0.02189899 -15.83816 
-0.006889289 0.005966183 -11.73497 
-0.03997792 -0.01675478 10.99034 
-0.00821422 0.01431333 -2.413044 
-0.07460707 0.003137359 -5.059519 
0.01135431 -0.009581157 6.812315 
-0.0291869 -0.006468847 16.60061 
-0.01107342 -0.0008770455 5.185678 
-0.01480314 -0.001201662 4.648192 
-0.09872639 0.004824472 -9.537724 
-0.1011964 0.004357658 18.02603 
-0.1060404 0.01618187 9.229267 
-0.06945693 -0.007223245 -9.654565 
0.0006806238 -0.008188402 -8.620131 
0.1132997 -0.01501318 -3.347412 
-0.07340515 -0.01290074 -4.941675 
0.01316113 -0.0253628 4.212359 
-0.003397417 0.0079871 6.749892 
-0.01128432 0.01347415 -0.3537521 
-0.0820011 -0.003511722 -14.46739 
0.09340961 0.005222068 14.84037 
-0.03450685 -0.000391355 -10.33278 
-0.02696083 0.04946149 -5.112821 
-0.06681419 -2.057644e-05 -5.473058 
-0.06848059 -0.0181861 6.050597 
-0.04848719 -0.0008115684 -1.24666 
0.006994471 -0.01209296 -14.99183 
-0.1402402 -0.02398178 -9.30039 
-0.05192879 0.004922115 -6.468512 
-0.01905243 -0.01888833 10.21199 
-0.04730717 -0.0005650715 -7.862945 
-0.06306175 -0.01394557 -0.3652336 
-0.1171344 0.0252596 4.884928 
-0.003531392 -0.02920869 21.77835 
-0.06751449 -0.002780643 13.10899 
-0.03473983 0.004668427 -2.855407 
-0.05281645 -0.01992771 -7.137737 
-0.03321318 -0.005346168 -13.4329 
-0.05010337 -0.00667382 0.6220845 
-0.002793961 -0.01207169 14.30782 
0.01576435 -0.01344601 -3.69337 
0.03285387 0.0003982931 -3.295659 
-0.06596229 0.009918842 -11.62798 
0.02598108 0.008457485 12.69795 
-0.02710846 -0.02309574 -9.103657 
-0.004323469 0.03830628 15.86239 
0.05513479 -0.01579876 0.9661147 
-0.05036275 -0.009487615 3.83723 
-0.0960689 -0.001026114 -3.983224 
-0.01459686 0.01901302 8.21784 
-0.1114221 0.01528044 -5.814364 
-0.06532228 -0.008901562 13.24756 
-0.1385201 0.01777603 30.62892 
-0.05724915 0.01307005 -2.01942 
-0.04678459 -0.03578077 5.16598 
0.05965855 -0.005519166 -26.65049 
-0.1062837 0.01953622 2.902213 
0.04642406 -0.007350602 -7.193618 
-0.01285198 -0.001403911 0.9891734 
-0.01199249 -0.009939372 1.193662 
-0.05088368 -0.009384093 1.391532 
-0.08854378 -0.012526 10.6629 
-0.1294415 -0.000247427 -8.951661 
-0.04735279 -0.01240562 -7.069283 
0.008329739 -0.04654034 -3.384887 
-0.08414803 -0.008519045 6.230731 
-0.03186261 0.006951024 13.89113 
0.1020559 -0.009589649 12.15977 
0.008525446 -0.001715176 -4.405265 
0.01798504 -0.01571076 -7.629131 
-0.07394879 0.0122009 -7.047983 
0.06477106 0.006417567 15.76149 
0.05010468 -0.02750103 -2.69699 
-0.01650162 -0.03335961 6.930487 
0.00229004 -0.01647248 5.396447 
-0.08530467 0.01084923 -6.053395 
-0.03654502 -0.0145147 2.395461 
-0.04840936 0.001589531 -0.1748759 
-0.02303328 -0.02090349 -11.25416 
-0.01374321 -0.02944454 23.48446 
0.05472208 -0.02636217 -8.018709 
-0.05258616 0.01483789 -10.70116 
0.0726673 -0.008037552 16.97365 
-0.01567645 -0.008793693 -5.95264 
-0.03105901 0.01046038 -2.426404 
0.04980068 -0.00936692 -5.753405 
-0.04644062 0.007622151 -8.96666 
-0.02268281 0.03399443 -13.62102 
0.1001719 0.00533341 -4.246178 
-0.2155934 -0.0001808559 -10.78995 
-0.07400525 -0.04074314 -2.514407 
-0.06125328 0.00358931 15.13664 
-0.002843885 -0.01205688 -14.00493 
-0.04244336 -0.002993393 -13.93837 
-0.01039171 0.01274163 -10.76196 
-0.1183807 0.005888932 0.3079969 
-0.01847422 0.01297966 15.01667 
0.001703178 0.02089101 4.223273 
0.02216705 -0.01588912 -16.74379 
-0.02311827 0.001713067 14.90702 
0.04222876 0.00343291 -5.304002 
-0.03970182 0.005437265 10.2176 
-0.1025742 -0.02824292 -1.492757 
0.003636597 -0.02301636 7.563574 
-0.1425966 0.004583883 -8.740876 
-0.01214417 -0.03189533 3.601581 
-0.05109299 -0.01231117 -1.569642 
0.05709067 0.009956631 4.184679 
-0.02449873 -0.006293209 8.598273 
0.005108547 0.03289565 -12.12807 
-0.03609946 -0.003972081 -1.94892 
-0.06463605 -0.03159531 -8.535903 
-0.0007784361 -0.0200561 -0.8985858 
0.005944866 -0.0225005 5.530997 
0.01748677 0.0173324 9.70825 
-0.07124571 -0.01695121 -10.59246 
-0.08273545 -0.01164792 3.234474 
-0.109435 0.005766816 -16.88192 
-0.08906452 0.009442316 -8.696375 
-0.006693058 -0.02954745 -5.23986 
0.1292974 0.01059149 -5.077435 
0.09457428 -0.01212841 -2.313662 
0.0147357 0.02246587 3.647562 
-0.06157689 -0.01612977 6.634877 
0.0003195447 0.02758897 -7.925815 
0.04074274 -0.01118461 -14.68992 
0.1896442 -0.01978681 0.7259873 
0.02957519 0.00273239 2.354186 
-0.04220307 0.02525968 3.306181 
0.006151128 -0.001974439 -10.0754 
-0.0181123 0.0015998 -2.975945 
-0.1293216 -0.02526009 -7.421116 
0.1216276 0.02056181 -9.130667 
-0.08958932 0.03663814 -2.654853 
0.09192523 0.02098414 4.232169 
0.2031658 -0.0002838188 -5.430455 
-0.0001871844 -0.02555639 -10.87012 
0.01592322 -0.001757626 -9.911165 
-0.1207633 0.004237934 18.52154 
