beta1_1 beta2_1 beta1_2 beta2_2 beta1_3 beta2_3 
-23.3533 -4.03401 -0.01530104 3.971718 -9.057115 -5.192209 
-21.62336 -4.456174 -0.1734071 3.943845 -8.155966 -6.235621 
-23.60352 -4.240576 0.2772573 3.963958 -8.629029 -5.70172 
-23.14393 -4.376466 -0.0911784 3.955628 -9.545685 -5.013933 
-22.32397 -4.302834 0.1995626 3.920728 -9.291234 -6.01574 
-19.36609 -7.816618 -0.03786045 3.918609 -9.217523 -5.176468 
-6.927336 -6.108779 0.4526754 3.965635 -8.889991 -5.352623 
-20.51581 -4.701512 0.09430366 3.979244 -11.23774 -5.141832 
-20.58117 -5.043726 0.7755948 3.990983 -8.074623 -5.839388 
-22.63864 -6.013638 0.3225363 3.943698 -9.367415 -5.731618 
-16.40027 -7.285226 -0.1030637 3.948127 -9.827362 -5.551491 
-9.996081 -7.513928 -0.1774859 3.922752 -9.858671 -2.775255 
-4.752071 -14.43664 -0.1085519 3.97521 -8.371861 -4.91229 
-16.15744 -7.064674 -0.02617817 3.984431 -9.546305 -4.061879 
-23.30944 -4.714448 0.06985812 4.033506 -9.537671 -5.502774 
-20.2988 -6.563601 0.2614924 3.903053 -9.819723 -4.154103 
-22.40922 -6.268652 0.2140273 4.057558 -9.390528 -5.120267 
-22.85629 -5.766703 0.009661834 3.994232 -7.696216 -5.665413 
-18.9604 -4.255445 -0.05525594 3.986025 -9.105239 -5.594002 
-23.05941 -4.282224 -0.1790515 3.982988 -9.193254 -5.177657 
-23.04841 -4.253496 -0.03986479 3.9598 -7.804193 -5.330746 
-22.44305 -5.324811 -0.04290759 4.020274 -9.718058 -4.54943 
-21.25012 -3.630918 -0.2118866 3.935086 -10.65691 -3.239588 
2.700944 -4.855028 0.0343553 3.953777 -12.77422 -6.302302 
11.91292 4.905032 -0.1819789 3.991327 -13.02087 -5.604362 
9.393733 -13.24891 0.1817296 4.023856 -13.12897 -5.066602 
-18.14935 -4.89269 -0.2200071 4.003161 -10.58239 -5.491141 
-16.30279 -5.751856 -0.1173797 3.930646 -9.625034 -4.504752 
-8.341469 -10.32086 -0.04986952 3.945622 -9.463341 -3.211026 
-22.44072 -2.977736 -0.1909962 4.05934 -9.609265 -4.29639 
-23.40684 -4.403805 -0.1073089 4.062086 -8.994508 -6.116129 
-24.35469 -3.458758 0.4943802 3.907389 -7.392001 -6.265734 
-23.78793 -4.381262 -0.08442024 4.013746 -8.962652 -5.299685 
-18.89142 -5.595131 0.3070782 3.92746 -9.581413 -6.128322 
-23.05015 -4.473155 -0.06356214 3.999457 -9.135177 -4.350789 
-23.93417 -3.447089 -0.1342495 3.980056 -9.67276 -4.841831 
-19.17942 -9.760632 -0.03003796 3.938322 -9.231146 -5.879374 
-15.58374 -13.76376 -0.2057513 3.907594 -9.726089 -4.103955 
-21.0142 -5.660087 0.06484988 3.979054 -10.4395 -4.799683 
-24.09411 -4.885977 0.3267057 3.985924 -11.51208 -2.769498 
-21.67146 -3.022487 0.2138869 3.992346 -9.407944 -4.40786 
-28.03539 7.455263 0.219217 3.988097 -9.86902 -4.773895 
-22.04671 -5.760521 0.02521672 4.02847 -9.200006 -5.086992 
-16.24718 -7.854676 0.005926212 4.012043 -10.86155 -4.855372 
-16.98186 -4.259536 -0.02742281 4.067975 -10.39846 -5.016369 
-21.57821 -4.566167 -0.1574508 3.9925 -9.134762 -5.892009 
-20.50159 -5.36136 0.05175812 4.032958 -8.323381 -4.53986 
