Delta_1 Delta_2 Delta_3 Delta_4 
0.8052795 -1.228424 0.6658387 -4.913172 
17.66698 -1.325153 0.7898294 -5.28534 
13.83693 -0.8413494 0.7889748 -5.23112 
-18.63071 -2.106017 0.2318384 -5.064632 
-11.66813 -1.401782 0.8771165 -4.603079 
13.13355 -2.197079 0.6448852 -5.038545 
-3.322449 -1.703185 0.6670689 -4.289108 
-3.341015 -1.303533 0.6411532 -3.837779 
-3.971626 -1.309471 0.5878674 -4.045669 
12.67952 -1.257988 0.3835736 -4.244688 
-4.698879 -1.518459 0.327497 -4.191065 
-15.39252 -1.903575 0.8724964 -4.16555 
5.415868 -1.39232 0.868864 -3.826392 
-1.864634 0.6332119 0.3640584 -3.003185 
9.152348 -1.474617 0.3404557 -2.581246 
-3.134401 -1.378573 0.7277373 -2.971109 
1.446133 -1.094077 0.004925055 -2.792888 
10.7573 -1.445235 1.020906 -2.636196 
-9.575487 -1.48615 0.774105 -3.003808 
-1.779636 -1.581171 0.9238571 -3.334462 
-9.459964 -1.73123 0.02764546 -4.043405 
0.7277507 -1.455141 0.7244501 -3.309127 
-11.50304 -2.199061 0.1413642 -4.091972 
-28.81968 -2.125376 0.9208142 -4.28889 
4.22773 -2.481909 0.6150191 -4.170205 
-0.8701247 -2.100082 0.6826233 -4.610312 
-23.05883 -1.567841 0.9005274 -4.586046 
6.794129 -1.62939 -0.05232078 -3.751482 
-17.31023 -0.87237 0.4899129 -4.079599 
-14.58155 -2.366043 0.7259812 -3.730975 
5.035099 -1.037994 0.4593951 -3.70513 
-0.5490939 -1.016923 0.7061286 -2.791375 
8.212839 -1.676652 0.6165212 -2.552209 
-6.848561 -2.00688 0.4794883 -2.816556 
-5.285987 -1.394779 0.2209456 -3.219645 
-5.963092 -1.787622 0.2152818 -3.771135 
-1.266642 -2.138385 0.7869843 -3.713973 
12.34298 -1.634699 0.7799581 -4.365367 
9.448828 -1.655243 0.6121497 -3.890046 
3.664641 -1.659504 0.7167675 -4.03103 
-16.92721 -1.523206 0.699431 -4.608754 
-1.170451 -1.884222 0.8968843 -5.513223 
-12.9456 -1.615084 0.7829534 -5.99898 
-6.591699 -1.783946 0.9184707 -4.942816 
1.711354 -2.074913 0.9710529 -4.361164 
8.477949 -1.84092 0.6566346 -4.351848 
-14.91773 -1.457399 0.6710652 -4.476541 
9.551703 -1.757254 0.8766691 -4.556909 
17.66668 -1.701647 0.7735519 -4.988958 
-11.84199 -2.043059 0.5695116 -4.192966 
-6.97461 -2.667887 1.039042 -5.116951 
5.470468 -2.448149 0.6052488 -5.648935 
0.4848698 -1.548523 0.6585112 -4.820067 
-12.41078 -2.045898 0.7974984 -3.798829 
0.5608889 -2.089074 0.8200704 -5.103648 
-3.725439 -1.918544 0.6680677 -4.670336 
6.48707 -1.545993 0.9906667 -4.422893 
4.726839 -2.063794 0.6350408 -4.70208 
15.99355 -2.120287 1.564152 -6.919615 
-2.661514 -1.888079 0.5696226 -3.885017 
4.348448 -1.608776 0.6156404 -5.046104 
-6.240977 -2.038392 0.4899922 -4.346636 
2.690048 -1.024294 0.4631505 -4.627156 
-1.046012 -2.333885 1.085996 -4.247318 
4.854315 -0.9737309 0.9192179 -3.340318 
-4.943013 -2.105007 0.1818798 -3.955297 
-18.408 -1.150629 0.1109644 -3.741652 
9.974164 -0.9600856 0.6106673 -3.813126 
8.791052 -1.012551 0.9988803 -2.99637 
6.242713 -1.606566 0.5365673 -2.926138 
0.4191185 -1.128382 0.5036072 -2.637005 
-7.878144 -0.8197248 0.5769367 -2.50632 
8.396125 -0.9383166 0.2982546 -2.981382 
0.5502274 -1.905112 0.6748651 -3.45128 
2.230704 -1.549553 0.8212843 -2.958575 
-11.65636 -1.453873 0.4905945 -2.875727 
-2.304392 -1.223707 0.5641362 -3.382639 
-7.927033 -2.227242 0.6158894 -3.352563 
8.228243 -1.507916 0.5022435 -2.609535 
-0.7407751 -1.652747 0.826299 -2.685686 
12.73216 -1.653953 0.6870379 -3.194645 
3.225538 -2.022267 0.8684937 -2.863319 
0.7721199 -1.963559 0.5026429 -3.007171 
-4.770873 -1.940382 0.8826447 -2.727725 
-11.90248 -1.758589 0.3198913 -2.230667 
14.88496 -1.673739 0.4918382 -2.593349 
18.45538 -1.452683 0.6575687 -3.050141 
-3.388441 -0.9956816 0.5419112 -4.711845 
-16.85574 -1.553101 0.3197422 -4.439621 
-7.447671 -2.198142 1.062704 -4.267159 
-10.43343 -2.099033 0.3057031 -3.784572 
-5.580926 -1.671923 0.973511 -5.888353 
-3.170016 -1.823913 0.8536164 -5.021669 
-9.653437 -2.228681 0.6917443 -3.559345 
-13.27345 -1.251076 0.8902505 -4.091763 
-4.297057 -1.396094 0.7769161 -2.286576 
5.602328 -1.735372 0.848143 -3.150807 
-8.3449 -1.838541 0.7317943 -3.202008 
-9.74327 -1.662874 0.4029279 -3.341562 
7.893667 -1.639688 0.6024804 -2.652013 
1.237786 -1.583354 0.7066303 -4.107602 
1.485259 -2.010011 1.089953 -3.436758 
5.158211 -2.652644 0.579221 -3.03267 
16.67034 -2.222211 0.7579461 -2.630742 
21.22656 -1.599538 1.061486 -2.624691 
11.66199 -0.9102414 0.6367301 -2.970775 
-7.727055 -1.01224 0.4697788 -3.085642 
0.3296607 -1.726406 0.1382503 -3.893002 
-7.69138 -1.985176 0.423503 -3.791632 
-0.4850413 -1.096468 0.4322037 -3.439255 
12.44781 -1.61751 0.4904476 -4.52359 
6.185999 -0.9327604 0.3747223 -4.357477 
15.73624 -2.141777 0.7817062 -4.250249 
-28.63918 -1.758725 0.2249224 -4.05103 
-5.147847 -1.673994 0.7532446 -5.019063 
-2.438455 -1.68539 0.7225292 -3.623353 
-1.993252 -1.853157 0.8824165 -3.792532 
0.7609384 -0.4871013 0.4393072 -3.458569 
-20.92824 -0.5970304 -0.1773855 -2.972332 
-7.420907 -1.221198 0.9689751 -4.240382 
-4.650749 -1.598002 0.8211428 -4.359907 
-9.045239 -2.041521 0.6539558 -5.079626 
14.93486 -2.193289 0.8238688 -4.884889 
6.429991 -1.577046 0.8681795 -5.020595 
-16.34464 -1.653611 0.420986 -4.60124 
4.523297 -1.42878 0.5927764 -4.177336 
14.10643 -1.604688 0.1198065 -4.16221 
-6.230946 -1.945342 0.7913385 -4.26178 
8.622425 -2.089132 0.403071 -3.7365 
-9.799518 -1.509971 0.5689416 -2.721625 
3.698716 -1.395407 0.7827872 -3.16744 
-6.894887 -1.187437 0.6227825 -3.448711 
-1.020397 -1.351584 0.3671558 -3.394168 
3.649346 -1.285354 0.6911161 -3.3299 
