beta1_1 beta2_1 beta1_2 beta2_2 beta1_3 beta2_3 beta1_4 beta2_4 
15.01795 -6.862711 15.9071 4.254901 29.78238 3.816065 -30.72066 -4.025086 
4.991176 -12.17167 15.74901 4.335105 29.78206 4.018605 -30.82528 -4.208896 
0.9940315 -4.051341 15.78875 4.203592 29.97368 3.906735 -31.83922 -4.033513 
0.3943326 -12.32898 15.22229 4.339682 29.69354 3.873568 -31.18709 -4.165278 
6.642112 12.90532 15.72601 4.373223 29.80456 3.930528 -30.55243 -3.91582 
1.357866 13.43381 15.60548 4.544083 29.62545 4.089023 -30.83249 -4.109003 
8.145733 0.2010128 15.63558 4.268245 29.83686 3.858081 -30.84027 -3.955229 
9.994887 6.587691 15.23649 4.157817 30.06559 3.887617 -31.19705 -4.084687 
7.876454 -1.900726 15.97645 4.246829 29.68997 4.09691 -30.67987 -3.958744 
7.03636 2.688099 15.64516 4.069967 29.78047 4.038073 -31.60884 -4.132552 
1.052464 1.597606 15.28031 4.502178 29.62021 3.938429 -31.77959 -4.062039 
9.580698 11.63895 15.57655 4.341758 29.99995 3.913732 -29.42962 -3.959952 
8.529087 -7.363188 15.39303 3.993768 30.0077 4.044177 -30.65744 -3.780331 
-1.739157 5.215307 16.17593 4.363498 29.61143 4.043917 -29.86992 -3.876179 
-6.140459 -1.814592 14.29447 4.179617 29.76869 3.793967 -31.81982 -4.039656 
-8.077716 -0.7661966 15.34195 4.108357 29.99973 3.877559 -29.90063 -3.988872 
-4.197269 6.099815 15.61603 4.392385 29.53165 3.820316 -29.00343 -4.08211 
-3.362969 5.394816 15.39938 4.187227 30.17186 3.840891 -29.2552 -4.119119 
-4.039266 2.8362 15.74608 4.475948 29.8954 3.992406 -29.59832 -4.594831 
-35.54654 -2.678036 15.89561 4.256018 29.5437 4.119985 -28.81334 -4.119168 
0.8453464 8.091872 14.91969 4.329146 29.58503 4.115683 -30.94401 -4.256287 
-11.52102 1.675977 15.36346 3.950469 29.81575 3.880554 -30.18161 -4.001228 
-11.03012 0.676034 15.17506 4.595674 29.68723 4.035114 -30.53978 -4.098891 
-1.847229 1.117973 15.37329 4.078567 29.92691 3.708113 -30.28641 -4.124806 
-1.584126 -1.823526 15.07692 4.053793 29.78575 3.996558 -30.36169 -3.980609 
0.2371063 -4.851042 14.76974 4.317484 29.81195 3.848844 -31.72668 -3.977236 
-10.07347 5.384608 15.48339 4.273019 30.00664 3.932331 -30.47216 -4.025094 
-19.34549 14.94361 15.51025 4.163836 29.54213 4.110637 -30.9687 -4.005256 
-0.9714031 -5.594259 15.34338 4.029018 29.92145 3.931341 -30.99852 -3.856 
4.095119 19.88339 15.17005 4.405325 29.80275 3.95639 -29.42787 -3.657676 
-0.5400598 8.766123 15.34774 4.215404 30.12474 3.881973 -32.66481 -4.280387 
-9.806486 16.12974 15.60504 4.273999 29.9445 3.869841 -29.69784 -4.13847 
4.347823 11.82235 14.84935 4.083467 30.0356 3.805984 -30.42276 -4.125427 
-7.560448 3.62242 14.68771 4.268875 29.93306 3.951108 -29.4647 -4.106951 
-2.707288 0.7734998 15.29874 3.866012 29.57445 3.82061 -29.60669 -4.089918 
12.19858 -12.27319 15.51198 3.829968 29.77793 4.218031 -30.77996 -4.190119 
2.091883 8.199705 15.21522 4.201689 29.83359 3.994331 -29.9381 -4.03122 
-0.79348 2.41431 15.62869 4.126945 29.86348 4.043586 -30.40958 -4.063772 
-15.99974 -11.90481 15.17305 4.204777 29.90896 3.852059 -31.40929 -4.174272 
10.39217 -0.9233106 16.17845 3.852044 29.64205 4.029146 -30.33464 -4.016592 
-10.70785 -1.873831 15.41882 4.282253 29.87501 4.029525 -31.75706 -3.938738 
-3.448974 9.003836 15.55195 4.146874 29.79045 3.954718 -30.71824 -4.063243 
10.56603 2.1737 16.03351 4.242083 29.68521 3.950606 -30.76243 -3.984266 
15.44158 -3.214312 15.47141 4.468192 29.85213 3.681608 -31.48706 -3.887667 
9.415928 2.716103 15.56361 4.486452 29.95272 3.93339 -30.67121 -3.944688 
-5.799912 0.4592602 15.75938 4.057761 29.68662 3.904906 -30.5021 -3.838368 
5.539928 0.6732673 15.19303 4.502284 30.15985 3.853336 -32.3886 -3.999306 
-4.853548 -2.136871 15.30874 4.179626 29.77585 4.158824 -31.12825 -3.95648 
-7.573364 -17.36978 15.75692 4.261762 29.60404 3.928176 -31.54343 -3.803001 
14.35545 -0.1418071 15.31085 4.312012 29.70298 3.888366 -30.86803 -4.101755 
2.021604 0.4259915 14.98399 4.05373 29.77027 4.235494 -31.20175 -4.009815 
-15.27474 6.893244 14.64183 4.382239 29.81318 4.076382 -31.72378 -4.266966 
24.49954 11.6311 15.23441 4.465349 29.89863 3.8883 -32.07246 -4.20278 
5.276447 7.74923 15.41736 4.31878 29.75025 3.966842 -29.45557 -4.227168 
11.45625 4.456745 15.34306 3.95748 29.67114 4.034318 -30.60678 -4.277309 
7.939104 -8.012755 15.21737 4.121003 29.80804 3.989325 -30.81928 -3.669582 
-1.775099 -7.339421 15.66874 4.212685 30.19086 3.822605 -31.3011 -4.04383 
-15.21727 2.524591 15.68131 4.539086 29.80254 3.971928 -30.68966 -3.847254 
-0.09599685 3.641257 15.76999 3.977268 30.39813 4.203696 -32.44715 -3.998448 
-10.26632 -20.57671 15.41502 4.130802 29.71998 3.768207 -30.48681 -4.264454 
18.0361 -7.09543 15.95058 4.242284 29.90483 3.882429 -30.92453 -4.287974 
1.983732 4.32348 15.41312 3.982424 29.77435 4.170823 -30.75713 -4.213467 
-4.830455 11.77215 15.90115 4.082518 29.7398 3.860677 -31.04935 -3.591241 
-8.991225 -0.2331063 15.42137 4.006237 29.90212 3.840228 -29.19864 -3.781678 
-6.732966 7.258711 15.58568 4.236494 29.62259 4.146177 -29.66659 -3.915835 
5.419762 -14.62442 15.27069 4.0662 29.57377 4.143463 -29.61141 -3.984089 
-9.208964 9.455968 15.38615 4.015873 29.98534 3.902852 -30.37639 -4.217176 
-9.313869 4.142695 16.0522 4.147638 29.7656 4.070883 -29.6387 -4.096806 
11.65329 8.086339 15.53363 4.093136 30.1805 3.946686 -30.1857 -4.072867 
-9.381016 23.66959 15.45958 4.087229 29.42749 4.126097 -29.65753 -4.044948 
4.002827 -6.892603 15.43581 4.053049 29.59736 4.072512 -29.62612 -4.064917 
-6.871932 -10.46223 14.54039 4.360317 30.63555 3.936758 -32.6658 -4.0408 
-12.32265 6.673013 14.53184 4.706029 30.16091 4.049527 -33.54598 -4.070991 
-3.241855 11.53267 15.16189 4.051284 29.64345 4.051471 -29.91808 -4.101865 
-16.0715 -11.12752 15.16483 3.974292 30.09688 3.914547 -30.64331 -4.267237 
-2.309515 -0.3741431 15.37256 4.218441 29.88961 3.891912 -29.79497 -4.057511 
11.89531 1.640871 15.42799 4.217816 29.90713 3.781501 -30.76881 -3.38296 
-10.00947 -7.344462 14.92897 4.232575 29.69036 3.940296 -29.8597 -3.964524 
7.417504 -11.702 15.41942 4.436751 29.52979 3.86148 -29.9541 -3.992102 
7.007852 -13.69304 15.38498 4.54482 30.03144 3.795986 -29.90159 -3.985792 
14.84843 9.188912 15.42622 4.056045 29.74289 4.244793 -30.07219 -3.938756 
2.504409 7.132242 15.54124 4.513678 29.71039 4.156983 -29.66339 -4.070311 
-6.98402 3.34709 14.93586 4.180713 29.63382 4.236048 -29.86927 -3.842667 
-0.9401763 14.02025 15.16879 4.735707 29.92359 3.845777 -29.89019 -3.750749 
-3.233051 11.14424 15.53174 4.107976 29.80663 4.01564 -29.55333 -4.305701 
3.989456 16.36842 13.70481 4.458352 30.17008 3.963614 -31.88961 -3.692489 
15.83082 6.511185 15.56997 3.977424 29.90206 3.842898 -28.75426 -3.462629 
8.699489 1.783685 15.97234 3.966565 29.78897 3.968765 -30.89601 -3.924127 
10.31439 -8.658132 15.06049 4.330206 29.78965 3.821285 -32.66527 -4.234037 
1.244025 -13.10659 15.2845 4.317919 29.98983 3.979989 -30.57767 -4.17922 
-15.5981 8.046379 15.51322 4.137454 29.53227 3.896429 -30.02248 -4.107751 
3.527199 4.172264 15.11124 4.257237 29.72863 4.228009 -30.97834 -3.709041 
8.334498 5.465271 15.69447 4.434535 29.83014 3.960923 -30.7366 -3.954657 
-6.92227 0.2002387 15.30339 3.932083 29.64752 3.795786 -30.15582 -4.028087 
2.042652 0.8860279 15.81913 4.240801 29.87423 3.717686 -30.5303 -4.241224 
10.38972 -0.2411069 15.20211 4.214813 29.95772 4.113167 -30.54241 -4.005739 
-16.10254 18.92092 14.73707 4.25343 30.43936 3.835862 -31.46082 -4.148702 
-8.089942 5.791834 15.76286 4.25751 29.81239 4.026578 -29.65736 -3.960735 
-5.792748 -7.181582 15.81579 4.457498 29.46799 3.919891 -29.26469 -4.21768 
-12.15599 7.838105 15.55581 4.436233 29.75101 3.761798 -29.42189 -4.19966 
-7.062135 -4.499891 15.84531 4.535214 29.85607 3.830688 -30.23467 -3.954769 
10.87224 5.626328 15.53572 4.353111 29.99842 3.98801 -29.98545 -4.118301 
-7.356125 9.399612 14.92086 4.588715 29.67621 3.757458 -29.39201 -3.959786 
0.9289711 -9.069932 15.11022 4.183953 29.96255 3.829568 -29.6173 -3.941516 
9.248669 0.2117388 15.35253 4.42275 30.33785 4.015217 -29.56414 -4.022383 
3.436095 6.006842 15.32444 4.155801 30.25164 3.673839 -32.16606 -3.861581 
5.724109 -12.10684 15.78532 4.228712 29.83583 3.944214 -30.04493 -4.04823 
13.52852 -6.04603 15.40507 4.102963 29.45672 4.164545 -31.02092 -4.126978 
0.7927902 10.05138 15.57801 4.347706 29.69634 3.8667 -29.97343 -3.921716 
8.756596 3.122222 15.40113 4.236178 29.58687 3.946707 -31.19203 -4.10498 
-8.492947 -4.759331 15.67649 4.119592 29.7588 3.830425 -30.05701 -4.269179 
8.259079 -1.121893 15.62688 4.642181 29.90952 3.93657 -31.82659 -3.975912 
-11.97767 -6.16122 15.2924 4.409017 29.69324 3.660613 -30.59608 -4.123221 
-11.76041 16.10793 15.20043 4.140937 29.59969 4.04203 -30.85041 -4.112458 
-15.22872 13.04787 15.91102 4.397574 29.69004 3.949909 -30.31913 -4.298447 
2.538067 -1.675013 15.56567 4.246886 29.8161 3.993608 -30.46007 -4.017736 
0.4868261 9.351781 15.81423 4.090359 29.95931 3.897429 -30.06986 -3.981613 
-5.506976 17.36912 15.9946 4.256714 29.72007 3.877368 -30.75171 -4.091252 
-14.09899 -17.88214 16.01961 4.246661 29.48808 4.330888 -29.91392 -3.854798 
0.7307516 11.90779 15.72729 4.296199 29.81203 3.792291 -30.18714 -3.91919 
-8.306079 -20.43873 15.17324 4.447988 29.86889 4.120888 -31.445 -3.886345 
0.2514329 8.447129 15.5274 4.259049 29.71904 4.175824 -30.13934 -4.102458 
-3.06704 2.636627 15.16557 4.367372 29.72426 3.955626 -31.01241 -4.088731 
-26.24902 5.875354 15.56442 4.30133 29.86519 4.106973 -31.91085 -3.955218 
-6.94525 -1.02553 15.60754 4.600749 29.77121 3.981945 -31.56106 -3.903838 
4.137737 -14.32469 15.52107 4.252233 29.63815 3.927788 -30.64127 -4.130545 
1.173215 11.25286 15.20028 4.180354 29.52276 3.767918 -31.20767 -3.96568 
-0.7056591 0.8953217 15.34686 4.193624 29.76035 4.126465 -30.64468 -4.178352 
-5.924284 2.389783 15.37161 4.413333 29.6583 4.186365 -30.00357 -3.892163 
2.062373 -13.78883 15.43708 4.32062 29.8713 3.80698 -29.62399 -3.898606 
-8.281203 13.05412 15.75384 4.212652 29.6275 3.866571 -29.73407 -3.920295 
3.872987 -1.309155 15.43866 3.892991 29.95839 3.762424 -30.52299 -3.943245 
15.64624 -11.989 14.74329 4.22334 29.74293 4.08617 -31.90805 -3.997293 
3.66653 3.700146 15.38641 4.200705 29.97453 4.079352 -30.0166 -4.010984 
-14.16924 -1.73022 15.4403 4.054022 29.81695 4.157667 -29.41379 -4.059397 
-7.404665 -8.898663 14.82514 4.432162 29.86407 4.055003 -30.79733 -4.323547 
-14.60352 10.50248 15.77719 4.179074 29.76148 4.08379 -30.54562 -4.243968 
2.58299 -1.780972 14.93847 4.083077 30.00511 3.85919 -30.45277 -4.04482 
10.55069 -2.141994 15.76436 4.378332 29.84067 3.676672 -29.28833 -4.28603 
1.532722 -9.428678 15.4101 4.12474 29.67759 4.183824 -30.78773 -3.758866 
13.66987 11.58633 15.33861 4.220066 29.54621 4.101752 -30.6987 -3.545927 
4.024231 5.326681 15.0487 3.656062 29.77567 3.82212 -30.06234 -4.158165 
-10.29426 -0.3287081 15.30277 4.234918 29.8617 3.796988 -29.59326 -4.083633 
8.171759 -14.98408 14.77204 4.393937 29.57794 4.016461 -31.34323 -4.789243 
25.40342 -5.965061 15.82129 4.458148 29.73854 3.766796 -30.07637 -3.957755 
-7.127944 8.575029 15.28715 4.396657 30.00921 3.864114 -29.77654 -3.74954 
-8.909583 -7.946152 15.90247 4.560198 30.03051 3.833387 -29.28803 -3.679553 
9.579786 -0.705785 15.64631 4.350941 30.09503 4.036153 -31.27275 -4.028437 
10.58716 7.828246 14.79084 3.971644 29.92918 4.123083 -31.50849 -4.25633 
23.8277 -12.33126 15.39439 4.276911 29.56406 3.942644 -31.80235 -3.787262 
-2.005111 -7.204311 15.52169 4.098156 29.97811 3.885456 -34.66449 -4.062832 
7.970078 0.7158149 15.99539 4.037084 29.71475 3.762197 -32.1183 -4.247849 
1.920156 8.737719 15.77372 4.267565 29.82076 3.736663 -31.35827 -4.039106 
11.04727 9.269559 15.52844 4.134845 29.92525 3.92151 -32.46825 -3.877552 
27.50271 -4.438689 15.50553 4.054705 29.76128 3.995555 -33.14023 -4.171424 
16.48728 1.694851 15.80913 4.377785 29.5268 3.793566 -31.85479 -3.933226 
-3.942914 -8.09999 15.75038 4.27588 30.1262 3.951625 -31.29951 -3.923576 
9.420781 5.317049 15.88437 4.63301 30.40507 3.838028 -29.37785 -3.669596 
-7.044214 -6.836795 15.73934 4.20399 29.72401 3.949439 -29.88353 -3.811956 
2.012409 -19.49094 15.41694 4.094231 29.65177 4.008238 -29.66053 -4.043069 
5.84524 1.701361 15.65028 4.253436 29.80892 3.75906 -30.62709 -4.030157 
5.065415 -5.945016 15.48506 4.13781 29.54568 4.240845 -29.48083 -3.621332 
-16.84091 2.284326 15.46314 3.982229 30.05219 4.116201 -29.97424 -4.235966 
11.20085 -1.297755 15.6519 4.234106 30.07739 4.130794 -30.38029 -3.965118 
7.08792 -4.672233 15.47497 4.051851 30.58142 3.704036 -30.3395 -3.937267 
3.416102 16.28317 15.93506 4.033188 29.95953 3.582147 -29.49588 -4.14588 
6.343855 3.429828 15.20652 4.132647 29.68267 4.043175 -30.72278 -3.64804 
-10.23883 21.39419 15.36443 4.418463 29.68182 4.046087 -31.1367 -4.159525 
-0.2474512 18.89666 15.32438 4.316874 29.74514 3.977839 -30.11089 -3.9678 
-14.14757 -12.62225 15.22271 3.968825 29.90328 4.074445 -29.47046 -3.898878 
8.051593 -4.428416 15.49792 4.216599 30.04064 3.895252 -30.64051 -4.128721 
11.1377 1.478157 15.57965 4.012665 29.79939 3.843584 -29.57332 -3.673949 
4.58298 -20.65346 15.57156 3.813509 29.95368 4.023641 -29.19523 -3.731453 
3.092785 6.687763 15.31004 3.712797 29.84111 4.279425 -29.90103 -4.205353 
0.4853345 -14.85837 15.28043 4.589308 30.0139 4.032365 -29.06392 -4.141541 
-8.908509 -7.760068 14.61948 4.271803 29.97461 3.945272 -29.77076 -3.672447 
-8.191343 -7.625443 14.82507 4.627873 29.66721 3.870538 -29.8722 -3.563975 
-15.2265 7.708459 15.23798 4.318542 30.02432 3.974481 -29.20906 -3.823065 
-5.958354 -2.073454 15.41529 4.427568 29.81141 3.853155 -30.56817 -4.110149 
19.37307 8.190863 15.77981 4.481632 29.61562 4.055482 -31.25268 -3.999754 
-6.202413 11.86513 15.76326 4.287903 29.5561 3.921119 -29.98868 -4.188703 
5.973972 8.262252 15.7882 4.396781 29.82214 4.079253 -29.14745 -3.894502 
-0.4131656 -7.564188 14.65725 4.319073 29.99887 3.805136 -30.6149 -3.942734 
6.049256 -12.1654 15.51704 3.994308 29.95026 3.935274 -31.15326 -3.20131 
14.56362 8.778273 15.50227 4.18157 29.97279 4.028368 -30.43705 -3.891266 
-15.78864 -13.37099 15.87827 4.348769 29.68796 4.111779 -30.55878 -4.087649 
3.033315 -5.141328 14.83679 4.53687 29.94499 4.00809 -29.96438 -3.627299 
3.458077 -0.1662577 15.30459 4.245279 29.74335 3.918636 -29.84597 -4.176097 
7.69456 -8.087232 15.56496 4.292516 29.71163 3.95612 -30.33393 -4.141589 
-6.185071 3.438254 15.44241 4.138735 30.11769 4.130954 -30.35146 -3.762054 
2.687954 4.579512 15.06147 4.391367 29.65484 3.892025 -31.21872 -4.105914 
-6.87233 0.4579402 15.38041 4.559107 29.70511 3.83813 -31.36809 -3.833992 
2.615655 -0.7493434 15.75938 3.979005 30.0707 3.888655 -30.33117 -3.64304 
8.021212 -8.744639 15.51967 3.810305 29.84768 3.971929 -31.23284 -3.886525 
2.730307 -9.223706 15.63591 3.93783 29.79759 3.602514 -30.88821 -4.033728 
16.35237 8.971307 15.87707 4.270133 29.58906 4.125856 -29.99213 -3.984503 
14.81543 -7.598318 15.51847 3.916805 29.78921 3.891869 -31.1705 -3.971889 
