"beta1_1" "beta2_1" "beta1_2" "beta2_2"
0.004872897 3.998271 -12.67403 -4.992966
0.1255086 3.964157 -13.09667 -5.217521
0.08447937 3.991137 -13.10108 -5.137528
0.1507331 3.971938 -13.77561 -4.901
0.09435287 3.972126 -12.82352 -5.130243
0.2128372 3.982439 -12.64129 -4.871902
0.2204122 3.956489 -12.78838 -5.329866
0.1350178 3.993284 -12.73791 -4.990553
0.122296 3.984976 -13.30383 -5.029975
0.2284928 3.995406 -13.31973 -5.201472
0.1155407 3.967247 -13.6969 -5.144855
0.1917182 3.971894 -13.03288 -5.039874
0.1803099 3.968508 -13.21598 -5.167339
0.1181008 3.974769 -13.34047 -5.038375
0.1226108 3.970277 -12.99363 -5.172612
0.06722524 3.976295 -13.44848 -5.031887
0.09432784 3.990828 -13.22984 -4.938025
0.04426101 4.001799 -13.24856 -5.01477
0.1928805 3.954924 -13.35408 -5.11953
0.1129714 3.960971 -13.20919 -4.823868
0.03749704 3.970997 -13.1666 -5.290517
0.1217343 3.973878 -13.68956 -4.927811
0.09964107 3.981448 -13.19736 -5.185921
0.03547127 3.964822 -13.40873 -5.015181
0.08081352 3.971832 -13.49126 -5.242442
0.1655666 3.973826 -13.61484 -5.188579
0.1395861 3.974293 -13.11899 -5.161156
0.07425057 3.97223 -12.80534 -5.101902
0.04359014 3.98312 -12.68047 -5.193871
0.05012211 3.974165 -13.0521 -5.356113
0.152487 4.019079 -14.18044 -4.858558
0.07176707 3.98627 -13.01535 -4.880083
0.1462455 3.960358 -13.53337 -5.547022
0.1541699 3.997383 -13.48654 -5.081072
0.0411901 4.003416 -12.73279 -5.062737
0.2043078 3.992346 -13.06469 -5.005218
0.07741664 3.991881 -13.28012 -5.294071
0.1539437 3.968292 -14.39607 -4.992594
0.02084952 3.975355 -13.17564 -5.171243
0.03022902 3.974277 -13.10812 -4.905135
0.1108271 3.974432 -13.65072 -5.229264
0.1439398 3.965391 -13.85196 -5.003887
0.05360464 3.983122 -13.36124 -5.488566
0.02382104 3.974678 -13.14381 -5.138426
0.1188578 3.979665 -13.33727 -5.039952
0.200707 3.964833 -13.47499 -5.054024
0.1877331 3.965899 -13.02177 -4.953012
0.1957103 4.022831 -13.38706 -4.922621
0.02724098 3.993246 -13.25719 -5.159216
-0.03737192 3.974002 -13.18072 -5.112585
0.05414519 3.9882 -13.0377 -5.111015
0.03578557 3.987534 -13.28164 -5.058165
0.1217586 3.97905 -13.59529 -5.276713
-0.002923358 3.941375 -13.15482 -5.270156
0.01255849 3.998127 -13.38918 -4.986234
0.02187133 3.983942 -13.29898 -5.328733
0.156735 3.966848 -13.22292 -5.030954
0.3385372 3.935992 -13.62729 -4.997745
0.1024438 3.995982 -13.29456 -4.95417
0.103861 3.989157 -12.98337 -5.252901
0.09869879 4.003269 -13.09146 -5.020701
0.2425311 3.971217 -13.26378 -4.969928
0.05787158 3.97506 -12.62787 -4.903513
0.1015589 3.981679 -12.90572 -4.926807
0.1033441 3.970102 -13.01726 -5.176906
0.05979732 3.985263 -13.53849 -4.818852
-0.03166446 3.987186 -13.64904 -5.21646
0.08695625 3.97629 -13.93355 -5.001326
0.1861342 3.986435 -13.39025 -4.811294
0.2330471 3.983706 -13.92418 -5.066695
0.1021431 3.972927 -12.949 -4.996028
0.0325601 3.983121 -12.67768 -5.20562
0.04014153 3.981798 -12.29782 -5.061419
0.06568157 4.00494 -12.3016 -4.957846
0.2413218 3.989831 -13.00584 -5.531859
0.1459307 3.985854 -13.42366 -5.064701
0.07582137 3.963188 -12.744 -5.10621
0.07152231 3.999485 -13.27566 -5.177201
0.02823596 3.964797 -13.05591 -5.119044
0.1121426 3.972139 -12.95417 -4.871142
0.08864912 3.986116 -13.02821 -5.155568
0.1078244 3.998211 -12.48556 -4.933516
0.1344972 3.986771 -13.11911 -4.812933
0.2131873 3.99252 -13.21781 -5.098683
0.03749955 3.991208 -12.4964 -4.877531
0.02425782 4.026139 -12.29719 -5.139445
0.03250932 3.979377 -13.05435 -4.820998
0.1169412 3.979017 -13.31149 -5.137442
-0.0003767969 3.987542 -13.24144 -5.236273
0.0460293 3.964915 -13.76256 -5.036772
0.02512142 3.971671 -13.2005 -5.256445
0.1464443 3.97564 -12.94779 -5.623397
0.06570294 3.960508 -13.22144 -5.012369
0.1972317 3.983497 -14.03784 -4.970429
0.07165891 3.990165 -13.48813 -4.955508
0.03093093 3.955533 -13.19633 -5.156558
0.08224266 3.977982 -13.24434 -4.999018
0.1132502 3.969904 -13.31289 -4.970688
0.2417814 3.986928 -13.53408 -5.033664
0.2861158 3.991752 -13.51644 -5.081876
0.03269382 3.986803 -13.09089 -4.944659
0.1575858 3.992635 -13.06181 -5.164167
0.1618652 3.980693 -12.96082 -5.190135
0.1252873 3.975654 -12.79077 -5.003225
0.08761815 3.967863 -12.9429 -4.982216
0.02222612 3.955564 -12.9436 -5.109703
0.1082732 3.966913 -13.30214 -5.217561
0.1559609 3.976293 -13.87937 -4.987568
0.0765058 3.990826 -13.43607 -5.150921
0.02490983 3.978652 -13.36442 -4.849632
0.1796706 3.972332 -13.97999 -5.423187
0.1508964 3.982584 -13.93643 -5.239181
0.1725654 3.962885 -13.53187 -4.99427
0.1479614 3.981393 -13.44475 -5.059433
0.08740321 3.986403 -12.93453 -5.425246
0.1201704 3.964774 -13.87072 -5.242501
0.08559943 3.960019 -13.1804 -5.030762
0.07745305 3.991788 -13.1164 -5.038176
0.1664098 3.985014 -13.40228 -4.965877
0.2072927 3.952654 -12.70596 -4.796435
0.1581102 3.974717 -12.82171 -5.200056
0.09193106 3.971065 -12.67687 -5.267902
0.06824709 3.992165 -12.50409 -5.188101
0.05904427 3.966881 -12.89545 -5.206427
0.0947654 3.959454 -13.59694 -4.868652
0.108822 3.982117 -13.58405 -4.891716
0.1646805 3.981218 -13.56444 -5.03859
-0.01077156 3.979023 -12.52052 -5.290179
0.1250178 3.990245 -13.43169 -4.836867
0.01116434 3.964495 -12.60336 -5.036182
0.1037359 3.958755 -13.2826 -5.388828
0.04545994 3.966076 -13.1778 -4.899795
0.1395297 3.96417 -13.40142 -4.768656
-0.001430489 3.996671 -12.86262 -4.801973
0.1008069 3.983914 -13.28101 -5.050852
0.1652935 3.990043 -12.63254 -4.975605
0.204343 3.976556 -13.43797 -4.862843
0.1164526 3.96942 -13.18263 -4.900731
0.1515748 3.992375 -13.8157 -4.837762
0.1181021 3.982851 -13.90164 -5.232254
0.1155028 3.968067 -13.37953 -5.159518
0.06127154 3.98439 -13.1565 -5.077037
0.03049351 3.983127 -13.56825 -4.974179
0.1209852 3.989981 -13.84246 -5.265959
0.02345663 3.943641 -13.38682 -5.070039
0.02500898 3.964278 -13.38919 -4.694924
0.08469468 3.958705 -14.04217 -5.040263
0.1133275 3.957991 -14.20335 -5.066137
0.08624813 3.994715 -14.33189 -5.040132
0.04672052 3.983114 -14.34803 -5.146068
0.03955695 3.976938 -14.53034 -5.158261
0.03384644 3.967399 -14.72679 -5.390223
0.008221849 3.967229 -13.91153 -4.896067
0.07810904 3.974982 -13.81319 -5.002813
0.0708206 3.974372 -13.98216 -5.01243
-0.03646864 3.958785 -13.30414 -5.077369
0.0524628 3.954894 -14.33063 -5.021641
0.0107786 3.989654 -13.80991 -4.997356
0.05134498 3.961558 -14.09252 -5.143897
0.08064428 3.985659 -13.19274 -5.213855
0.1803189 3.973226 -14.2637 -5.112444
0.05638736 3.957388 -13.36303 -4.941703
0.06263787 3.985601 -13.5084 -5.015322
0.07848685 3.958503 -13.46427 -5.090911
