"Delta_1" "Delta_2"
4.806576 -2.847729
4.642733 -2.909667
4.839616 -2.801957
5.613514 -2.904844
5.231451 -2.796074
4.530708 -2.805923
4.392077 -2.853444
4.788773 -2.831791
4.35917 -2.680812
4.969171 -2.72323
6.096648 -2.903341
4.381899 -2.979673
4.742554 -3.089889
5.123591 -2.788596
5.171821 -2.744401
5.061029 -2.808208
5.267572 -2.797434
6.127473 -2.970096
5.532566 -2.843033
5.105193 -2.869738
5.833504 -2.836103
5.798117 -2.822386
5.588667 -2.8695
5.677246 -2.839777
4.96737 -2.931765
4.145073 -2.839005
4.120757 -2.921071
5.579554 -2.958091
4.313478 -3.031631
5.601197 -2.994704
4.338033 -3.118139
4.402236 -3.051523
4.147903 -2.887521
3.45539 -2.852711
3.816487 -2.754923
3.812669 -2.997337
4.768064 -2.93335
5.459118 -2.886041
5.569159 -2.901183
5.488328 -2.88296
5.547798 -3.034913
5.156198 -3.097169
5.265282 -3.078579
5.351551 -3.215147
4.605633 -3.020212
4.930896 -3.041704
5.141954 -3.16775
4.124607 -3.186899
4.445001 -3.168366
4.456742 -2.992782
5.88414 -2.995534
4.437502 -3.079614
5.124517 -3.169757
6.3889 -3.122658
6.437383 -3.149192
5.654311 -3.034095
6.651069 -2.938946
5.55242 -2.872942
6.111885 -2.906661
5.165231 -3.078256
5.400334 -2.883536
5.163771 -2.807788
5.421008 -2.986527
5.330576 -2.94766
4.232921 -3.025456
4.311619 -2.952075
3.501397 -2.863987
4.272633 -2.844216
4.233182 -2.90371
4.883857 -2.891658
5.034434 -2.775343
4.841887 -3.012739
4.425542 -2.952279
3.966021 -2.839837
5.14465 -2.932988
4.20632 -3.001411
4.179191 -2.770625
5.279945 -2.693159
6.3748 -2.851394
5.849152 -3.056441
4.793394 -2.867413
4.561932 -2.879503
4.208636 -2.927879
5.247555 -2.867322
5.397677 -2.828698
4.230764 -2.880508
4.809989 -2.92295
5.986965 -2.747462
5.638811 -2.6708
5.313235 -2.816531
4.910537 -2.782518
4.804392 -2.738805
4.524654 -2.651584
3.149101 -2.572539
4.327589 -2.706649
3.153452 -2.801602
4.901773 -2.932614
5.151413 -2.84539
3.723507 -2.802569
4.37195 -2.821256
4.29693 -2.708224
4.884462 -2.907107
5.910358 -3.011361
6.283899 -2.945833
4.925697 -2.979815
4.296696 -2.895094
4.297071 -2.829561
4.044404 -2.954295
4.752767 -3.104222
5.248067 -3.076118
3.976609 -3.138472
4.435205 -3.091813
4.693393 -2.971122
4.958114 -2.961775
4.750829 -2.853209
4.501909 -2.904626
5.394669 -2.846829
5.284148 -2.926782
5.735994 -2.871488
4.555147 -3.054112
5.731734 -2.855425
4.440112 -2.779428
3.850807 -2.833058
4.993425 -2.841682
5.097792 -2.891839
6.373291 -2.924833
5.278915 -3.241829
5.292292 -3.268019
4.501465 -3.033155
4.856045 -2.802782
4.760016 -2.747512
4.45646 -2.928822
4.74495 -2.917465
5.006143 -2.711224
4.587698 -2.789489
4.572591 -2.966482
5.061722 -3.062519
4.420339 -3.030601
5.057555 -2.895507
5.805535 -2.789121
4.681169 -2.789674
5.733595 -2.770683
5.057279 -2.850804
3.882704 -2.879595
5.112508 -2.994857
6.383953 -3.111613
5.154502 -3.074133
5.663245 -2.940126
4.065356 -2.987674
5.09963 -3.027499
5.570767 -2.993209
4.749745 -2.970961
5.868518 -3.136174
4.940565 -3.122134
6.225673 -3.264101
5.324872 -3.477716
5.025847 -3.093177
3.643962 -2.985986
5.778175 -2.780817
3.710003 -2.676489
4.740403 -2.610504
3.440121 -2.65024
4.428231 -2.698126
4.754151 -2.831778
4.456987 -2.846338
6.168383 -2.629926
5.032466 -2.756185
4.815543 -2.739052
5.488466 -2.731778
4.782239 -2.858331
4.717057 -2.811866
4.293111 -2.735747
4.608022 -2.802198
5.435102 -2.720943
4.362162 -2.773589
5.259141 -2.769935
4.743963 -2.758911
3.592672 -2.719322
4.662733 -2.832149
5.002841 -2.71643
3.789703 -2.789843
4.807665 -2.774948
