Delta_1 Delta_2 Delta_3 Delta_4 
0.9472958 0.8834874 -1.483104 -10.70031 
-0.6541367 1.011044 -0.7956546 5.993893 
2.745274 1.049905 -2.418119 -0.8126653 
1.927662 1.267335 -1.124523 -1.258962 
1.672267 1.238572 -2.04086 0.911628 
0.1222992 1.453816 2.500497 -1.678607 
-0.8561379 1.102961 -7.266508 0.2726642 
-1.261623 1.170679 10.4676 -1.836135 
1.808507 0.989052 3.509368 1.133581 
0.3653093 0.7543079 4.477122 0.7063265 
0.6583816 0.8858877 -7.504249 -1.014829 
11.53842 0.8835512 -3.570413 0.8370687 
-0.2064142 0.8220853 6.257431 1.166816 
0.3457755 0.9541251 -3.229876 1.980928 
7.717771 0.8447543 3.340975 -0.3853203 
-10.05511 0.7762093 -3.069572 1.439719 
0.169435 0.6192733 2.662186 0.4222074 
0.9574391 0.689728 0.3282512 2.051693 
-0.8968809 0.603207 -0.5740755 -1.832764 
-2.24698 0.4303634 -0.7668042 -1.390322 
-3.611237 0.5420857 1.54953 -3.639414 
9.601017 0.4946321 -0.6478113 -1.222805 
-9.136069 0.4931781 0.4693302 2.92432 
4.129244 0.6214971 -0.04316632 -4.409475 
-3.285723 0.6040137 1.813202 1.185077 
-8.32135 0.6336647 1.082996 1.788536 
0.4220265 0.8907071 0.2931653 2.377605 
-11.9173 0.9060815 0.553913 1.194013 
2.147325 0.6175825 -1.828823 4.693415 
1.764976 0.5982509 -0.3239582 0.2406445 
4.222067 0.7035564 0.4204337 0.9373028 
-10.14504 0.831115 1.074597 -1.296154 
11.23193 0.8964769 1.117966 -1.384676 
-10.84821 0.8074896 3.471582 0.3548838 
-1.016356 0.9407576 3.112673 0.02087806 
-6.567261 0.7608715 3.242618 1.310248 
1.44266 0.8741746 0.7883105 -0.6045628 
-5.442258 0.6764614 1.484257 1.215397 
3.001923 0.8573875 -3.609691 7.478642 
-11.71273 0.7298654 -1.740878 7.081611 
-1.133764 0.8895815 0.6213928 2.270625 
1.689841 0.8725426 0.2633923 4.883956 
16.6649 1.215277 -0.9843945 19.16074 
1.699161 1.210728 -1.055352 -9.741613 
5.225575 1.358445 -1.588566 -4.317935 
2.634415 1.195377 -3.265448 -5.803463 
1.056204 0.9433446 1.538263 14.20261 
-1.113388 0.9994215 1.072598 20.87828 
-1.25517 0.9570367 -0.9212962 0.5282127 
8.908137 0.9973949 -0.2708992 -14.87453 
0.4271141 0.9599723 0.8987375 10.56753 
1.394664 0.9569478 -0.1783662 -2.063287 
2.953417 0.8400371 2.365862 15.75578 
11.90379 0.9812631 1.798623 7.035006 
-0.6362625 1.269753 -0.5850064 6.53068 
4.945909 1.183912 0.8665569 -8.965069 
5.309103 1.295923 1.177842 -4.876732 
