"beta1_1" "beta2_1" "beta1_2" "beta2_2" "beta1_3" "beta2_3" "beta1_4" "beta2_4"
2.171361 2.983502 30.0981 3.983379 14.90801 4.033081 -29.80601 -3.829872
10.97564 -7.530404 30.14068 3.972428 15.06018 4.083646 -29.76208 -3.69257
16.15674 1.682211 30.21174 4.028285 14.85499 4.001613 -30.16345 -3.867642
9.403312 -7.459858 30.23725 4.014294 15.01638 4.022139 -30.23601 -3.745683
12.71751 4.279849 30.30698 3.972405 15.05557 4.045094 -29.94836 -3.820488
0.2131622 2.176277 30.27527 3.976156 15.16724 4.04403 -29.99458 -3.876896
3.975509 -2.194953 30.1929 4.006745 14.97817 3.982033 -30.13512 -3.846676
-12.1217 -13.50429 30.1826 4.02544 15.02306 4.002618 -29.90604 -3.996413
0.6033063 2.236309 30.07802 4.060701 15.13742 3.935301 -30.05942 -3.850746
7.180531 1.981549 30.11808 3.996464 15.01405 4.142911 -29.79842 -3.677333
-23.99405 0.1145427 30.15007 4.019322 14.78364 4.029419 -30.16796 -3.692723
11.27029 -9.634823 30.08806 4.087216 14.82336 3.99042 -30.11014 -3.619804
11.27996 -8.75801 30.08312 4.006028 15.01785 4.023271 -29.72008 -3.893039
-1.681782 15.73812 30.08667 4.014189 14.75343 4.074047 -29.98825 -3.849192
4.365889 9.007323 30.0657 4.00981 14.93025 4.010592 -30.00431 -3.685014
6.433284 4.609128 30.09508 3.98885 15.07872 3.919483 -29.59311 -3.915975
7.31959 -11.65364 30.24643 3.9693 14.75178 4.024262 -29.81931 -3.790379
-6.287199 -16.46302 30.23225 3.978994 14.86613 3.975508 -29.6993 -3.935919
8.397584 -4.810983 30.29602 4.029012 14.74567 4.005343 -29.72163 -3.712246
3.184633 -2.792743 30.22193 4.028374 15.09113 4.058853 -29.82439 -3.85063
2.493215 4.362046 30.18734 4.000568 15.01345 4.006252 -29.72284 -3.815357
6.681437 -19.78749 30.16307 3.980418 14.85813 4.008311 -29.9034 -3.87476
10.30763 -11.43724 30.09207 3.977575 15.16883 4.079069 -29.7608 -3.827621
4.897108 4.947897 30.14522 4.067841 15.10461 3.965788 -29.91349 -3.751373
21.35228 2.901808 30.10218 4.003209 15.09046 3.967624 -29.82195 -3.913798
-8.363004 12.109 30.14244 3.93983 14.98418 4.006978 -29.92196 -3.794445
-10.05628 -2.907231 30.09465 4.020738 15.09041 4.065702 -29.66459 -3.828891
-0.04921066 -3.636749 30.13607 4.021242 14.99907 4.044653 -29.49909 -3.968056
7.66606 8.843946 30.27926 4.054001 14.95271 4.059442 -29.8532 -3.795538
11.67774 8.652297 30.13522 4.002247 15.05887 4.112354 -29.87739 -3.797325
-16.69223 16.11123 30.10147 3.980294 15.13368 4.079592 -29.89674 -3.766171
22.89881 8.449905 30.12215 3.990094 14.94203 4.066198 -30.28116 -3.865226
-15.11657 -25.22802 30.07592 3.980427 14.74124 4.058308 -29.87211 -3.709474
2.407221 -2.990638 30.06002 4.008733 14.88624 4.03474 -29.80003 -3.887357
-17.84193 -2.651626 30.04874 3.996916 14.85767 3.995777 -29.84923 -3.858763
-8.490189 10.39657 30.18828 3.996904 14.81561 4.103809 -30.02135 -3.895022
-12.05251 -3.402547 30.23106 4.041491 14.85676 4.051064 -29.73749 -3.839804
13.45295 -3.375773 30.25892 4.013025 14.75363 3.993584 -29.78868 -3.870108
-3.401998 15.99616 30.18872 4.015467 15.05662 4.020896 -29.91313 -3.850658
3.209402 5.819269 30.30641 4.025511 15.02863 4.074814 -30.26455 -3.819907
-1.968209 7.684451 30.37 3.990063 14.86623 3.960608 -30.19394 -3.79785
10.05357 1.056131 30.1192 4.002568 15.27482 4.005464 -29.7647 -3.726402
-8.187808 -20.91564 30.18106 4.013674 15.16293 4.000955 -29.75668 -3.765268
-12.17392 11.2455 30.2978 4.01611 14.86036 3.994749 -29.95034 -3.838494
8.193932 -18.84843 30.11144 3.959282 14.9717 3.971346 -29.60045 -3.85851
