"p_1" "p_2" "p_3"
0.3942762 0.3048232 0.3009006
0.3760559 0.3066028 0.3173414
0.4053168 0.2946412 0.300042
0.3724287 0.3275074 0.3000639
0.3747883 0.335732 0.2894797
0.3754283 0.2965579 0.3280138
0.3787989 0.3167409 0.3044603
0.3748091 0.3106291 0.3145618
0.3942604 0.3053585 0.3003812
0.3805078 0.3093235 0.3101688
0.4033043 0.3226647 0.274031
0.378163 0.3256556 0.2961814
0.3710609 0.3356245 0.2933146
0.3400799 0.3384954 0.3214247
0.4182589 0.2949631 0.2867779
0.4082096 0.2849386 0.3068518
0.4126229 0.2918805 0.2954967
0.3772173 0.303348 0.3194346
0.3820377 0.3171599 0.3008023
0.3515813 0.3283555 0.3200632
0.3863444 0.3156203 0.2980353
0.3924386 0.30494 0.3026214
0.3896284 0.3207867 0.2895849
0.377986 0.3037193 0.3182948
0.3978927 0.3057298 0.2963775
0.4105918 0.2975569 0.2918513
0.4006531 0.3010451 0.2983018
0.3890467 0.324977 0.2859763
0.3804595 0.3045409 0.3149996
0.3844757 0.3111308 0.3043935
0.3875489 0.3042728 0.3081783
0.3707263 0.334835 0.2944388
0.3985054 0.2863386 0.3151559
0.3861382 0.3153708 0.298491
0.4078347 0.3165076 0.2756577
0.3854395 0.3115925 0.302968
0.3927924 0.3323357 0.2748719
0.368755 0.3119717 0.3192732
0.3831391 0.3068265 0.3100344
0.3889687 0.3176642 0.2933671
0.3886215 0.3299698 0.2814087
0.418952 0.3121165 0.2689315
0.3555628 0.3209904 0.3234468
0.3893395 0.3126732 0.2979873
0.3680309 0.339742 0.2922271
0.3662014 0.3459884 0.2878102
0.3786164 0.3043323 0.3170513
0.4053126 0.2992675 0.2954199
0.3619001 0.3121388 0.3259611
0.3831835 0.330448 0.2863686
0.3727443 0.3160604 0.3111954
0.3969449 0.312164 0.2908911
0.4081354 0.2924501 0.2994145
0.3880142 0.3138311 0.2981547
0.4043392 0.3068166 0.2888442
0.3780388 0.3123838 0.3095775
0.3969306 0.322238 0.2808314
0.3901825 0.3366533 0.2731642
0.4128887 0.302862 0.2842493
0.3754766 0.3297103 0.2948131
0.3638514 0.3320239 0.3041247
0.4132557 0.2907032 0.2960411
0.3786797 0.3088945 0.3124258
0.3922303 0.3330676 0.2747021
0.3999994 0.3024804 0.2975201
0.4020174 0.3191721 0.2788105
0.3933115 0.3157726 0.2909159
0.3692875 0.3150327 0.3156798
0.3859976 0.3135266 0.3004758
0.3918821 0.3090535 0.2990644
0.3963202 0.3076235 0.2960563
0.3601745 0.3392516 0.3005739
0.3989216 0.293361 0.3077175
0.3914272 0.3242334 0.2843394
0.4271638 0.30523 0.2676062
0.4010769 0.3281206 0.2708025
0.3915462 0.3260921 0.2823618
0.3941033 0.3262516 0.2796451
0.3907473 0.3167119 0.2925408
0.3944217 0.3087521 0.2968262
0.3625081 0.3341894 0.3033025
0.391847 0.2870426 0.3211104
0.4104887 0.2909174 0.2985938
0.3710936 0.3288584 0.300048
0.3961193 0.2962735 0.3076072
0.3941661 0.3115635 0.2942704
0.3981856 0.3270779 0.2747366
0.3836684 0.3245762 0.2917553
0.3914539 0.3076196 0.3009265
0.413581 0.3008814 0.2855377
0.3912643 0.3180237 0.2907121
0.4065077 0.2982549 0.2952374
0.4014731 0.303945 0.294582
0.380938 0.3033264 0.3157356
0.3970724 0.3367454 0.2661822
0.3915452 0.301044 0.3074108
0.4084443 0.3190638 0.2724919
0.3898946 0.3024985 0.3076069
0.3698588 0.337141 0.2930002
0.3490692 0.3282017 0.3227291
0.3815462 0.3381113 0.2803424
0.3950116 0.3052282 0.2997602
0.3738895 0.3280484 0.298062
0.3809825 0.3309092 0.2881083
0.4124061 0.2876795 0.2999144
0.3849766 0.3108811 0.3041423
0.3990903 0.2848341 0.3160756
0.3895039 0.2983164 0.3121797
0.3754682 0.3353904 0.2891414
0.4011475 0.3037299 0.2951226
0.4023312 0.3001208 0.297548
0.3718374 0.3275375 0.300625
0.3880573 0.315756 0.2961867
0.3923552 0.320862 0.2867828
0.389456 0.3556396 0.2549044
0.3822266 0.3234527 0.2943208
0.3774686 0.3273484 0.2951831
0.3775163 0.3055466 0.3169372
0.371208 0.3067484 0.3220436
0.3844413 0.3136564 0.3019023
0.4071791 0.3045439 0.288277
0.3966873 0.3076847 0.295628
0.4129141 0.3012281 0.2858579
0.4023594 0.3016944 0.2959462
0.3873247 0.3015489 0.3111264
0.3876616 0.3332468 0.2790915
0.3805448 0.3189367 0.3005184
0.3935967 0.3004153 0.305988
0.3806505 0.3141725 0.3051771
0.3953019 0.302135 0.3025631
0.4190508 0.3070999 0.2738493
0.3747312 0.3158542 0.3094146
0.4139245 0.3049687 0.2811069
0.4026936 0.3023853 0.2949211
0.3549122 0.3278743 0.3172135
0.403699 0.3128871 0.2834139
0.3745606 0.3376541 0.2877853
0.4053166 0.3140865 0.2805969
0.3945325 0.2849221 0.3205454
0.3682087 0.3307389 0.3010524
0.3878189 0.3106257 0.3015555
0.369321 0.3325679 0.2981111
0.4215366 0.2723328 0.3061306
0.391065 0.3347302 0.2742048
0.3802587 0.3414508 0.2782904
0.4127242 0.3032239 0.2840519
0.3734906 0.3410878 0.2854216
0.3913373 0.3260457 0.282617
0.4102197 0.270671 0.3191093
0.3567414 0.3115032 0.3317553
0.3808982 0.3144648 0.304637
0.4058019 0.3029088 0.2912893
0.3740186 0.3332496 0.2927318
0.4165335 0.3040091 0.2794574
