"nu" "alpha"
3.066815 0.04403704
2.669478 0.03890632
2.954966 0.3835676
3.113476 0.2942031
3.582046 0.08132986
3.160451 0.1408847
2.825742 0.331444
3.036304 0.4026404
3.502674 0.1980616
3.261815 0.2282607
2.974075 0.2795198
2.965172 0.2443512
3.403347 0.3965798
2.738469 0.3762568
3.371747 0.2227169
3.167325 0.3502139
3.581239 0.385755
2.90238 0.4716863
2.940395 0.4877129
3.469688 0.2229846
2.873117 0.2910879
3.078276 0.4386438
3.329514 0.19924
2.914081 0.4562411
2.727143 0.2561705
3.224044 0.4469251
2.958112 0.4721946
2.868698 0.3139514
2.744604 0.4473677
2.828774 0.3403274
2.568397 0.222073
3.03586 0.1909422
2.854344 0.1075722
3.199541 0.178791
3.174683 0.4014363
3.801228 0.4188282
2.662357 0.3430852
3.168619 0.431582
2.861694 0.4457144
2.57854 0.253276
3.526783 0.3615674
3.395149 0.4624449
2.945931 0.3939453
3.221624 0.1982403
2.998538 0.3984674
3.572722 0.3740049
3.77275 0.4374604
3.586199 0.06514973
3.315657 0.4386444
3.283147 0.2276264
3.571353 0.3502004
3.306441 0.2213581
3.444465 0.3719607
3.465736 0.4188168
3.08947 0.2829234
3.132224 0.4597359
3.092858 0.4823513
3.229101 0.07569144
3.002293 0.1405914
2.951471 0.1281394
2.736352 0.1958719
2.784204 0.1559359
2.862899 0.4385739
3.256978 0.3908674
3.270098 0.2062782
2.895459 0.1466936
2.756002 0.02642725
3.017549 0.270072
2.98887 0.2940041
2.817036 0.1346567
2.622027 0.2009888
3.511118 0.4811918
3.48073 0.2817809
3.761135 0.2797193
3.370944 0.3380011
3.319915 0.4370905
3.183866 0.4404506
3.818331 0.3288851
2.982208 0.1327702
3.235496 0.263942
3.360931 0.123296
3.037834 0.453778
3.227028 0.1211585
3.072596 0.3808185
2.942638 0.3532416
3.607619 0.4601202
3.723731 0.2005272
3.707887 0.3791233
3.906828 0.3087805
3.481559 0.4377619
3.011478 0.3603808
3.220638 0.3686284
2.989786 0.3519861
3.681677 0.1977916
3.299515 0.1029691
2.833026 0.2494008
2.868164 0.09325878
3.029579 0.1855956
2.597526 0.2559317
2.909817 0.2522459
3.18326 0.4904131
3.306502 0.2416119
2.858468 0.06670199
3.177409 0.4222208
3.047642 0.4805685
2.687167 0.3534556
3.360445 0.1875676
3.41589 0.1576039
3.07182 0.2533012
2.970832 0.3196325
2.876153 0.4158287
3.53882 0.1553195
3.059999 0.3927501
2.55927 0.3593818
2.978782 0.05750136
2.795402 0.2078989
2.321294 0.1737053
2.576415 0.2828399
3.132369 0.415808
2.900967 0.2286231
3.222316 0.3131498
2.949765 0.2486262
3.016805 0.3027197
2.640777 0.4759852
2.584592 0.2837239
2.926508 0.09731655
3.773987 0.1808149
3.269422 0.2890184
2.699028 0.4031149
2.772606 0.4865811
2.68905 0.1792012
3.189441 0.3706322
2.758783 0.4979208
3.074226 0.4293901
2.982991 0.1537199
3.22355 0.4734854
3.485802 0.185205
3.444438 0.302083
3.198084 0.4686472
3.262589 0.1055384
2.783484 0.2521905
3.331165 0.3323734
3.176721 0.475049
3.348031 0.3828768
3.333239 0.02159743
3.180971 0.3109622
2.981451 0.2493614
3.339095 0.08961105
3.826742 0.1173987
3.488191 0.328563
