"beta1_1" "beta2_1" "beta1_2" "beta2_2" "beta1_3" "beta2_3"
-24.42224 -4.389382 0.03368662 3.976634 -10.56082 -4.805948
-25.28291 -4.449072 -0.06460328 3.95596 -10.04543 -4.992103
-25.61628 -4.886081 0.05789679 3.949338 -10.13498 -5.075291
-23.36404 -5.081604 -0.05862046 3.961984 -10.14581 -4.999818
-25.06888 -3.560431 -0.0675059 3.974052 -10.33695 -5.115313
-24.44156 -4.614369 -0.0198943 3.953386 -10.30216 -5.171986
-24.32282 -4.945307 0.01271947 3.960896 -10.28574 -5.164411
-23.73935 -4.391237 -0.01510468 3.991911 -10.07755 -4.986124
-24.31282 -4.584297 0.1031222 3.982553 -9.885011 -5.114387
-24.38491 -5.166295 0.01604923 3.968874 -10.24288 -5.149264
-25.05181 -4.880243 -0.007983451 3.990271 -9.764072 -5.02295
-24.01117 -4.904173 -0.01944973 3.970651 -10.2182 -5.058001
-24.09956 -4.007626 0.08369626 3.983846 -10.1396 -5.068512
-24.69783 -5.671616 -0.01196758 3.989927 -10.22939 -5.019744
-25.79385 -4.263615 0.03110937 3.959062 -10.0991 -5.184491
-25.1175 -4.767439 -0.04105247 3.937332 -10.22272 -4.94875
-24.31799 -4.780255 0.00978765 3.978316 -10.8154 -5.027057
-24.47812 -5.071733 -0.0506988 4.011616 -10.20016 -5.08048
-25.11745 -4.872022 0.012873 3.987832 -10.08808 -4.932641
-23.83159 -4.484417 0.03363958 3.980479 -10.47965 -5.083056
-24.15403 -4.775911 0.01565486 3.996081 -10.53286 -4.98136
-23.84361 -4.810075 0.001407714 3.981291 -10.27764 -5.051391
-23.66143 -4.728215 -0.01740974 3.978803 -10.32591 -5.006481
-24.94318 -4.746737 -0.007918896 3.987189 -10.27104 -5.1217
-24.01572 -3.561488 -0.009781906 3.982975 -10.52304 -5.066976
-25.34605 -3.372156 0.08019617 3.963992 -9.961463 -4.987447
-23.97594 -4.858969 0.04334963 3.953599 -10.19372 -5.003922
-25.07096 -4.389676 0.06785529 3.963849 -10.14521 -5.021696
-24.95825 -3.823961 0.008404393 3.97281 -10.34931 -4.947413
-24.77695 -3.532762 0.0001210599 3.971634 -10.10354 -5.153657
-24.00266 -5.156342 0.08014223 3.986951 -10.37255 -5.160023
-24.82852 -4.472813 0.1183279 3.962875 -10.3792 -5.039595
-23.8154 -4.671905 0.07133585 3.952502 -10.7164 -4.955175
-23.78773 -4.236694 0.1195973 3.97138 -11.01727 -5.03481
-23.99762 -4.09636 0.07915447 3.987178 -10.4989 -5.106342
-25.65255 -4.226246 0.02983838 3.97316 -10.36748 -5.026265
-24.72046 -3.861361 0.08627355 3.967244 -10.42082 -5.009078
-25.23007 -4.692716 0.07386697 3.975777 -10.86905 -4.992737
-24.74219 -5.229819 0.07502866 4.006706 -10.99134 -5.014589
-24.46397 -4.578412 0.04080415 3.969329 -10.87108 -4.902244
-24.07258 -5.457837 0.1103386 3.978118 -10.99587 -4.950572
-24.36735 -4.69965 0.05750168 3.975232 -10.97294 -4.839809
-25.41492 -4.355261 -0.02757347 3.929342 -10.41149 -4.951308
-24.40408 -5.015727 -0.04539362 3.93459 -9.939598 -5.14433
-24.90461 -5.183137 0.1070727 3.97874 -10.09011 -5.015163
-24.34114 -5.047846 -0.01619898 3.98038 -10.30339 -5.169507
-25.26937 -4.006035 0.08331028 3.981269 -10.23878 -4.998847
-24.79228 -4.88521 0.06065505 3.945506 -10.12156 -4.911814
-24.2076 -4.831801 0.01270923 3.972128 -10.24217 -5.088253
-24.34434 -4.766279 0.02515321 3.973163 -9.826324 -5.027397
-25.18308 -3.868172 -0.01913635 3.997197 -10.28335 -5.003687
-24.4501 -4.455465 0.006697907 3.996664 -10.13517 -4.990092
-24.94384 -4.012639 0.009319893 4.001572 -10.34901 -5.138682
-24.88611 -5.540119 0.09535669 3.961615 -10.31602 -4.956371
-25.56596 -4.871979 -0.006821276 3.978764 -9.949613 -5.085561
-25.50827 -3.263227 0.04345961 3.967098 -10.51936 -5.021868
-24.34707 -3.503686 0.05000423 3.993199 -10.86404 -5.14364
-24.78025 -4.73533 0.1974377 3.968232 -11.25355 -4.974528
-25.03541 -4.260877 -0.01287117 4.001592 -10.42608 -5.012204
-24.7786 -4.860226 0.04988617 4.007758 -10.04686 -5.069348
-25.09522 -4.598359 0.03474306 3.978444 -10.10545 -5.042184
-25.14068 -4.912542 -0.02736195 3.96416 -10.14787 -4.954695
-24.53673 -5.058051 0.1017984 3.967724 -10.18092 -4.904965
-25.33653 -3.609083 -0.01523517 3.960344 -9.903692 -5.167752
-24.3885 -4.553926 -0.03492817 3.97475 -10.04366 -4.948708
-24.60785 -4.396083 -0.03287138 3.969314 -10.47036 -5.064248
-25.36155 -4.452117 -0.0359996 3.982526 -10.00228 -5.056136
-24.34352 -3.578447 0.01666298 3.989453 -10.44902 -4.9521
-25.11164 -4.657574 -0.009205382 3.970019 -10.24128 -4.949467
-23.80086 -5.097647 -0.000691289 3.947324 -10.65581 -5.015686
-25.43477 -4.635767 0.08376598 3.98348 -10.87166 -4.916796
-25.48201 -3.869065 0.02876833 3.991524 -10.01259 -5.053996
-25.21673 -5.113142 -0.08643462 3.99613 -10.19989 -4.909344
-25.79026 -4.875041 0.03233961 3.998676 -10.16058 -4.94398
-25.50654 -4.034576 0.0502313 3.989355 -10.19797 -5.030178
-24.89744 -4.73487 -0.03467706 3.961127 -10.06214 -4.932113
-24.06066 -4.725644 0.05847848 3.957203 -10.35254 -5.037831
-24.90591 -4.698378 0.05834199 3.971705 -10.10915 -5.088358
-24.71608 -5.035023 0.01091098 3.96795 -10.25099 -5.097863
-24.28829 -5.090504 -0.00948231 3.997158 -10.18238 -5.007677
-25.16143 -4.347294 -0.03654714 3.967511 -9.804555 -5.072298
-24.35993 -4.59785 0.02466105 3.984993 -10.41959 -5.00414
-24.62744 -4.591669 0.03033469 3.967677 -10.10774 -5.022558
-23.62683 -4.748752 0.03580735 3.952881 -10.22394 -5.120126
-24.88421 -5.374226 0.1241244 3.993222 -10.41193 -4.926743
-24.98768 -4.622701 0.03334062 3.992381 -10.29808 -5.038097
-24.1563 -4.52437 -0.05131327 3.948714 -9.779112 -5.185354
-25.14143 -4.403204 0.0189101 3.957478 -10.24778 -5.024392
-22.93387 -3.292102 0.02068 3.947922 -9.921053 -5.150765
-24.20434 -4.106779 0.01203718 3.976913 -10.00804 -5.038162
-25.14203 -4.108391 -0.01793374 3.999296 -9.96603 -5.085252
-24.50816 -5.033311 -0.06720573 3.969278 -10.31962 -4.897959
-24.9401 -4.258472 -0.04041521 3.966148 -10.06 -4.963804
-24.72716 -4.608732 0.02534094 3.972158 -10.20634 -5.150027
-24.46325 -4.614469 0.01491602 3.984764 -10.378 -4.958277
-25.24399 -4.465495 0.05914549 4.006114 -10.38021 -4.927197
-24.54444 -3.961822 0.02799842 4.014299 -10.184 -5.042441
-24.8811 -4.543908 0.1261829 3.953001 -10.18384 -4.924033
-24.72681 -4.262642 0.06168194 3.97559 -10.46915 -5.045338
-24.46377 -4.995318 0.06786955 3.979923 -10.16879 -4.996443
-25.12075 -4.78864 0.06584317 3.943565 -10.2649 -4.989716
-24.88745 -3.787948 -0.03359279 3.954166 -10.24059 -4.743396
-25.01384 -4.777552 0.05634591 3.973219 -10.16366 -5.07716
-25.37459 -5.935269 -0.001097188 3.978822 -10.14098 -4.998975
-24.39918 -5.098189 0.006730299 3.961682 -10.08447 -5.003769
-25.08665 -4.846571 -0.03435577 3.943453 -10.11187 -4.968504
-24.79913 -4.456322 -0.02228843 3.956156 -9.989823 -5.000203
-24.9495 -4.975858 -0.0209258 3.988515 -10.04501 -5.165655
-23.78803 -4.820615 0.0315764 3.989748 -10.19391 -4.915197
-24.2568 -4.631435 0.0735974 3.976845 -10.19687 -5.05697
-24.63533 -4.695084 0.009938495 3.971371 -10.29823 -5.098215
-25.10427 -4.405259 0.005572027 3.996725 -10.03015 -5.087454
-23.59937 -4.024556 0.00163267 3.991181 -10.0065 -5.267623
-24.40259 -4.173805 -0.008160492 3.977255 -10.2108 -4.94685
-25.13835 -4.60824 0.06453954 3.981966 -10.20374 -5.006442
-25.08527 -4.942295 -0.05648279 3.988993 -10.01901 -5.044259
-24.21133 -4.266415 -0.04698081 3.969211 -10.10817 -5.02686
-24.5354 -4.982408 -0.02381346 3.982191 -10.17376 -4.992816
-24.78124 -4.343322 -0.05477001 3.994815 -10.58684 -4.876518
-25.33497 -3.890727 0.05476585 3.976617 -10.06224 -4.897885
-24.33463 -4.301526 0.08637164 3.981017 -10.13577 -4.811104
-25.16236 -3.897751 -0.01464237 3.987358 -10.0586 -5.039503
-23.77719 -5.110687 -0.0007456035 3.962997 -10.0421 -5.058001
-24.61777 -4.576161 0.0597547 3.98041 -10.19894 -5.194955
-24.94315 -5.029322 -0.07823079 3.959466 -10.61909 -5.034715
-24.51304 -4.359362 0.1057596 3.971119 -10.55581 -4.884961
-24.88078 -5.150672 0.04530539 3.970627 -10.3603 -5.102462
-25.04482 -4.232144 0.03568165 3.992467 -10.42725 -4.960203
-24.61507 -4.336276 0.0375585 3.974579 -10.50359 -4.975524
-25.12116 -4.754486 -0.02075203 3.964259 -9.967174 -5.005287
-24.40201 -4.974869 0.03776557 3.966509 -10.14106 -4.878746
