"Delta_1" "Delta_2"
-3.459364 10.9225
-3.435741 10.14237
-3.18406 10.12967
-3.244117 9.817416
-2.885591 9.912256
-3.232725 10.17044
-3.142992 11.10869
-3.485608 9.741689
-3.600974 10.54592
-3.27947 10.43591
-3.346823 10.9816
-3.394525 10.32735
-3.554235 11.4702
-3.417607 10.98738
-3.647563 10.41538
-3.384834 10.12514
-3.410094 10.91736
-3.396519 10.55577
-3.192892 10.3922
-3.361885 10.95536
-3.718704 9.927941
-3.418698 10.8043
-3.349836 9.949212
-3.050398 9.991371
-3.31813 10.12831
-3.274132 10.64669
-3.220047 10.81256
-3.219434 10.56865
-3.244364 10.76516
-3.00952 11.42533
-2.76322 10.21777
-3.071729 10.04172
-3.249868 10.34616
-3.240333 10.0249
-3.211761 10.57112
-3.669723 10.04691
-3.472265 11.3605
-3.469253 11.35392
-3.543096 10.20811
-3.15788 11.54356
-3.214217 10.27653
-3.402307 10.18617
-3.507623 11.36229
-3.392371 10.51751
-3.508537 11.38314
-3.405316 9.752841
-3.471421 10.48917
-3.345228 10.28012
-3.422733 10.57845
-3.488957 11.41948
-3.025448 10.45916
-3.072921 11.04562
-3.149163 10.77358
-3.370714 10.65988
-3.463258 10.3211
-3.794177 10.71045
-3.886595 10.70123
-3.768914 11.29993
-3.784587 10.69131
-3.364565 11.1316
-3.173233 10.8942
-3.40724 10.67809
-3.225324 10.68155
-3.146567 10.1916
-3.388537 10.39682
-3.215875 11.31412
-3.337467 10.98502
-3.374009 10.45877
-3.636687 10.54598
-3.496804 10.59282
-3.838876 10.712
-3.314142 11.55754
-3.753985 10.52208
-3.839798 10.74197
-3.834518 11.17644
-3.975324 11.36449
-3.973746 10.89886
-3.600604 11.08878
-3.564785 10.24098
-3.328948 9.796947
-3.381125 10.4489
-3.706174 11.12893
-3.541273 11.17784
-3.63416 11.46348
-3.447922 10.9177
-3.388349 11.51224
-3.540058 10.45931
-3.614804 10.79749
-3.566318 10.58772
-3.484665 10.20321
-3.174069 10.47
-3.263997 9.703689
-3.447145 11.19804
-3.173762 10.37543
-3.268873 10.45075
-3.076553 10.75752
-3.307614 11.01656
-3.370314 11.70139
-3.085042 10.29952
-3.151032 10.91008
-2.887318 10.85852
-3.290027 10.7062
-3.151928 10.71319
-3.278123 9.905877
-3.389661 10.59721
-3.358584 11.29436
-3.224066 10.81378
-3.383917 9.974954
-3.222138 10.35042
-3.573668 10.61766
-3.592097 10.75607
-3.444784 10.59683
-3.5517 11.79738
-3.289443 10.95801
-3.328662 10.41165
-3.363387 11.39908
-3.342626 10.73119
-3.382815 11.17556
-3.529066 10.69532
-3.679755 10.61555
-3.511238 10.66762
-3.903065 10.5844
-3.581781 10.89301
-3.654143 10.95608
-3.81585 10.09284
-3.550347 10.55966
-3.700305 10.27149
-3.587572 10.43618
-3.294582 10.2819
-3.808027 12.18941
-3.982458 11.46646
-3.817114 11.53548
-3.778946 10.84318
-3.470372 10.03778
-3.68444 11.00454
-3.283243 9.958888
-3.518879 10.29154
-3.332641 10.40469
-3.731855 10.83503
-3.367395 11.77509
-3.551952 11.39379
-3.708029 10.8293
-3.752593 11.46447
-3.599641 10.50587
-3.455934 10.77007
-3.41974 10.53192
-3.563655 10.16946
-3.724802 10.2261
-3.650966 10.62675
-3.333028 11.5725
-3.053031 10.98392
-3.020511 10.10859
-3.335308 11.16148
-3.385186 11.20335
-3.366995 10.70755
-3.327288 10.58804
-3.484486 10.58672
-3.606295 10.69733
-3.365843 10.13066
-3.409751 10.53866
-3.558073 10.98935
-3.469335 10.81378
-3.323073 10.08913
-3.382537 10.19056
-3.388811 11.10689
-3.614491 10.47869
-3.708078 10.73788
-3.554914 10.21184
-3.559115 10.16737
-3.325264 10.89124
-3.507024 10.83081
-3.598446 11.18597
-3.452079 10.91571
-3.191687 10.52575
-3.023661 10.30801
-3.140237 10.85934
-3.424096 10.80353
-3.385022 11.00563
-3.668388 11.0703
-3.40341 10.54769
-3.500399 9.991189
-3.464049 10.36283
-3.607276 10.48328
-3.535117 10.62521
-3.25067 10.3721
-3.141184 9.870687
-3.142417 10.93101
-3.302905 10.76779
-3.244314 10.73734
-3.207948 10.24433
-2.94005 9.374573
