Delta_1 Delta_2 Delta_3 Delta_4 
0.7964171 -9.245402 -1.758528 -4.911639 
1.300385 -0.1018339 -1.796446 -3.585743 
0.5542005 -3.412368 -1.788889 -4.73562 
0.8422403 11.85927 -1.548369 -6.479509 
0.4391634 -5.305775 -2.071222 -5.114802 
0.7038355 -4.734327 -1.662079 -3.679068 
0.4823359 -10.12349 -1.843403 -3.464669 
1.041674 -6.632006 -1.70843 -2.895083 
0.9004187 14.95422 -1.858168 -4.396469 
0.6328164 16.23064 -1.030209 -4.79432 
0.6158493 -4.807395 -0.3224251 -4.375732 
0.7061713 -4.296683 -1.456683 -4.235359 
0.6847076 -4.253514 -1.733281 -4.589483 
0.4785979 0.1973191 -1.31964 -4.50511 
0.7742411 0.08030234 -1.684091 -4.867927 
0.5245743 -9.854683 -1.548914 -4.497914 
0.4798527 3.141458 -1.505026 -4.790418 
0.3992738 -8.250571 -1.390333 -4.734838 
0.9560047 9.980209 -1.726238 -4.49744 
-0.1775496 -8.406322 -1.483172 -5.093964 
0.7234994 -5.961916 -1.769394 -5.538883 
0.2881555 -10.9417 -1.777255 -4.450986 
0.4642282 4.272393 -1.075837 -3.896824 
0.4221455 0.6813714 -0.7814975 -4.317317 
0.3212622 -12.06105 -2.008522 -5.438806 
1.046221 7.581189 -1.814541 -4.674326 
1.108988 1.778844 -2.17865 -5.133213 
0.5626429 -2.909378 -1.804093 -5.518189 
0.9924115 13.16908 -1.714687 -5.745467 
0.8853801 7.883517 -2.077734 -5.53084 
0.5697937 -5.240475 -1.835148 -4.796477 
0.6203406 3.731594 -1.583619 -4.487429 
0.7545217 -0.3638951 -1.047206 -3.744077 
0.6363453 14.24666 -1.660706 -3.713616 
0.4643215 -12.44529 -1.997834 -3.478567 
0.9444488 -0.8506703 -2.209693 -3.98409 
1.070729 1.115785 -2.019662 -3.378707 
0.6047023 8.508931 -1.577651 -3.060429 
0.6175323 5.500746 -1.262578 -3.291309 
0.683203 -11.35869 -1.097334 -4.528758 
0.7956298 12.80157 -0.5681624 -3.720196 
0.2973303 -12.30867 -1.315916 -3.559179 
0.800077 8.626902 -1.480213 -4.23373 
1.213226 6.229639 -1.48186 -3.896253 
0.7363306 11.76755 -0.7926119 -3.480381 
0.6267942 5.965053 -1.60174 -4.58225 
0.7634405 -3.129417 -1.029978 -3.833233 
0.8051516 6.415556 -1.690494 -4.466743 
0.9003402 -0.3419808 -2.08998 -3.883673 
1.01856 -4.910091 -2.61143 -5.287216 
0.8224748 9.570536 -1.833395 -4.603003 
0.2909855 7.305281 -1.705807 -4.307789 
0.7581274 -0.5099319 -1.257843 -3.755751 
1.051514 -8.807156 -1.195588 -3.50415 
1.056475 -5.763041 -0.9378308 -3.1138 
0.7629789 -22.30178 -1.932693 -3.309193 
0.6142326 -10.57543 -1.615605 -2.905558 
0.9398754 9.461437 -1.086241 -3.587882 
