beta1_1 beta2_1 beta1_2 beta2_2 beta1_3 beta2_3 beta1_4 beta2_4 
5.211881 23.13855 15.22685 4.188531 29.61712 3.839859 -29.78989 -4.149502 
11.90355 6.623811 15.40012 4.479327 29.94304 3.871561 -29.1714 -3.673667 
3.056823 -7.953197 15.65697 4.309334 29.7683 4.035407 -29.68589 -4.070648 
2.671091 9.469017 15.52293 4.220827 29.61713 4.139111 -30.0834 -3.79858 
-6.140904 19.69619 15.80822 4.60174 29.523 3.829038 -29.92558 -3.87519 
20.85693 -9.575884 15.28398 3.983835 30.07549 4.056514 -31.00299 -3.898757 
3.45907 -8.927055 14.9634 4.537581 29.85892 3.852839 -30.63572 -4.157709 
1.710128 6.790759 15.45895 4.170676 29.96128 3.798821 -29.52251 -3.805469 
-24.15446 5.853328 15.58913 4.626723 29.5738 4.142868 -29.17555 -3.966917 
-19.61346 2.215576 15.64497 4.139043 29.94053 3.972631 -29.45231 -4.09334 
-1.640174 -5.426871 15.14243 3.896073 29.77892 3.802481 -29.38154 -3.806417 
-5.180296 16.84393 15.49566 4.339229 29.74226 3.928832 -30.50695 -4.11343 
0.6462903 6.417858 15.0556 4.112632 29.94428 3.615112 -29.45797 -4.035371 
11.49094 -15.63003 15.27664 4.199709 29.77576 3.765354 -30.01089 -3.964512 
3.182968 8.988433 15.146 3.794335 29.58315 3.853047 -29.87026 -3.729342 
5.127 6.496381 15.63901 4.163188 29.96549 4.013725 -29.65273 -4.151036 
-1.191666 0.6805563 15.67068 3.926869 29.82575 3.921318 -30.27879 -3.876332 
11.73644 10.03061 15.99268 4.402306 29.96348 3.839172 -31.21903 -3.910343 
-10.67388 -6.398535 15.83799 3.925201 29.99257 4.133479 -30.38894 -3.904248 
2.654234 5.061181 15.91476 4.344746 29.74322 3.970291 -31.59907 -4.126803 
3.677575 3.648398 15.88214 4.264728 29.71326 4.113673 -30.54028 -4.168138 
-4.34716 6.770467 15.2439 4.45003 29.64545 3.987919 -30.82305 -4.01115 
1.891695 -8.669074 15.49926 3.970599 29.50769 4.222597 -30.4986 -4.015807 
1.278844 -4.771146 16.05013 4.170151 29.69736 3.875578 -31.04226 -3.975591 
14.27596 -6.101178 15.58986 4.289921 29.63934 4.075191 -31.10452 -4.149894 
9.864159 1.215604 15.67299 4.165077 30.1487 4.057778 -30.74441 -4.394854 
17.44717 -3.140088 15.7131 4.393923 29.78579 3.931266 -29.93489 -3.899789 
10.46399 5.390849 15.83962 4.369112 29.83754 3.957613 -30.81012 -3.673877 
19.0414 8.85506 15.67311 4.407858 29.71612 3.987429 -31.11382 -4.18065 
19.45875 10.17007 15.69593 4.120978 29.61689 4.0704 -30.23798 -3.76084 
-13.39713 13.33286 15.98492 3.983226 29.93546 3.900176 -30.07383 -4.086357 
-13.50046 8.024672 15.45947 4.060336 29.9853 3.914207 -30.24662 -4.162585 
-7.960301 2.963654 15.54295 4.36775 29.93507 3.889304 -29.87739 -4.00457 
-20.1965 -2.966424 15.49262 4.233422 29.84049 4.054078 -29.77834 -4.026511 
-13.18767 -0.5395495 9.479734 4.147723 32.50718 4.02067 -45.01151 -3.920605 
-7.5702 -4.118815 15.42102 4.196362 29.65301 4.018695 -29.79665 -4.112709 
