"comp1" "comp2"
0.7700592 -4.131484
0.667386 -3.076147
0.5874204 -4.159706
0.445334 -4.122126
0.6568466 -2.432064
0.5362974 -3.061079
0.5563313 -3.456176
0.6677739 -6.078602
0.6134022 -5.785081
0.6124282 -4.92793
0.8367183 -3.742476
0.8034842 -4.442904
0.6688464 -4.125726
0.7331194 -2.673813
0.6964903 -3.299885
0.6098221 -2.413922
0.6525472 -4.504105
0.4663702 -3.901401
0.6866763 -5.317248
0.667294 -5.057086
0.760321 -4.498667
1.00828 -5.207858
1.028811 -6.681815
1.057894 -7.61793
1.015498 -8.631734
1.106414 -8.054935
0.8848068 -7.580543
0.9181374 -7.345247
0.660534 -3.666124
0.6912365 -3.613911
0.4264827 -3.838086
0.3932249 -3.192417
0.4084875 -2.935076
0.4805862 -3.161952
0.4370911 -2.399753
0.4130265 -1.514729
0.553334 -2.655925
0.6392274 -2.596148
0.7568259 -2.56081
0.6877043 -2.331824
0.5406348 -3.000074
0.829603 -4.472116
0.6284855 -2.873122
0.7704698 -6.032321
0.7670527 -3.997787
0.7636184 -7.241723
0.7504655 -7.879345
0.895715 -3.357739
0.988373 -4.076277
0.7061115 -3.430822
0.7828887 -4.989491
0.752381 1.213007
0.5965389 -2.890353
0.6514317 -3.840697
0.6578426 -4.392316
0.7018667 -4.282975
0.6403538 -2.628924
0.6199319 -3.128082
0.5322092 -3.34817
0.6347476 -4.204136
0.7466457 -4.614721
0.968426 -4.737535
0.9954801 -2.399862
1.167117 -6.678376
1.243771 8.571367
1.151905 2.239359
0.9806338 2.365406
0.999106 -2.024345
0.8967844 -7.647669
0.7305427 -6.732902
0.6950442 -8.099956
0.8416281 -9.910945
0.9496878 5.557211
1.102619 0.8913278
0.9254944 -5.986781
0.7300554 -3.615801
0.8344123 4.455075
0.618741 -6.51164
0.6708387 -3.791159
0.9749671 -3.204574
0.8942205 -2.25661
0.6395762 -2.278431
0.6752932 -1.174302
0.6491915 -2.018912
0.532068 -3.628988
0.4285044 -2.704928
0.4782372 -0.7160713
0.4478694 -0.6825102
0.3885842 -1.044757
0.4139567 -0.9492765
0.3375921 -0.7436348
0.3169285 -1.009975
0.3225693 -1.009996
0.3045588 -2.320393
0.3055707 -1.033433
0.4456485 -2.417685
0.4699056 -1.151256
0.6630045 -2.465877
0.6826438 -3.783923
0.5195924 -2.661423
0.5141451 -2.354522
0.5992004 -1.821054
0.6803588 -3.740614
0.7325012 -3.477768
0.8621638 -2.843113
0.998353 -2.480611
0.8348442 -0.1710756
0.9656584 -5.533423
0.9444792 -7.257513
0.884242 -5.396291
0.8704048 -5.312767
0.716306 -3.793121
0.7064662 -3.892745
0.8861781 -3.977348
0.856883 -4.769326
0.6981669 -4.914938
0.608264 -5.302198
0.7245079 -6.076598
0.7552422 -6.459438
0.8304378 -8.955889
0.7546584 -1.514597
0.5514368 -1.40601
0.6608602 -2.887032
0.5860647 -0.9574465
0.6099141 -1.865664
0.5414414 -1.720707
0.6477863 -1.441706
0.7050016 -1.465285
0.5997423 -3.411673
0.693661 -4.149265
0.766694 -3.153168
0.6756329 -2.440877
0.6307954 -3.11951
0.6173447 -1.682541
0.4917892 -1.341644
0.4870726 -0.3529228
0.4992684 -0.8678623
0.4391683 -2.207136
0.4065946 -2.083796
0.4268713 -2.510056
0.5070034 -1.734575
0.5784659 -3.487182
0.5576718 -3.904608
0.5531512 -7.506761
0.6526302 -6.983878
0.6564991 -7.025263
0.8465456 4.335874
0.8653452 -3.766458
0.6404037 -2.411163
0.6739892 -0.8566351
0.5346085 -6.247177
0.5124988 -1.309171
0.4808476 -2.363402
0.4567359 -2.940543
0.4800865 -3.379968
0.5150744 -3.674883
0.4613868 -3.022276
0.5240412 -3.020661
0.6288349 -3.075572
0.4775297 -3.451246
0.5740709 -2.436355
0.55746 -2.676895
0.759271 -2.223625
0.7506485 -2.359655
0.9299205 1.349334
1.053986 -3.565058
0.7293204 -5.192843
0.8399612 -5.982307
0.8451278 -5.275846
0.8339644 -7.865358
0.7314452 -6.369784
0.8575694 -6.468719
0.7502718 -6.25615
0.7766843 -5.236835
0.7479617 -8.454212
0.6477613 -8.267938
0.6754081 -9.438566
0.6919727 -11.64678
0.6507786 -6.099013
0.7291589 -6.579389
0.6626145 -5.997079
0.7860434 -6.6394
0.905892 -6.023967
0.9442277 -4.893619
0.7592277 -5.905606
0.7993005 -3.728128
0.9944536 -6.485025
1.037334 -3.430733
0.9482797 -4.352328
0.8684048 -5.080908
0.7863892 -7.748678
0.8347953 -7.692904
0.7050018 -6.834004
0.6720301 -8.414586
0.7241288 -6.991941
0.6423329 -5.122303
0.5464068 -4.737806
0.4663629 -5.095613
0.6256995 -2.915874
0.7304027 -4.581837
0.8746493 -5.742555
0.7426891 -5.436156
0.7131802 -4.331243
0.6744511 -3.904181
0.5370325 -0.6111964
