Delta_1 Delta_2 Delta_3 
-1.980991 -3.257358 0.6561012 
-2.826796 -2.643712 1.167263 
-1.127127 -2.824154 0.463561 
-1.37156 -3.052353 0.5813363 
-1.654555 -3.527835 0.4870532 
-1.590254 -3.503906 1.278009 
-1.463743 -2.828902 0.8291552 
-0.9404523 -2.645589 0.5491311 
-1.50214 -2.812298 0.4231196 
-1.187613 -2.835759 0.4477797 
-1.273493 -2.853323 0.6167038 
-1.715601 -3.7342 0.3595662 
-1.526755 -2.987018 0.6395147 
-1.480241 -3.567022 0.7009514 
-1.421624 -2.908421 0.4815003 
-0.8503062 -2.972772 -0.1463085 
-0.9919272 -2.795002 0.618369 
-0.9420863 -3.129918 0.2839501 
-1.4423 -2.979181 0.7037208 
-0.2144589 -3.557348 0.4935731 
-0.776954 -3.159792 0.4012365 
-1.791988 -3.488201 0.5767998 
-1.403271 -3.931154 0.7776499 
-1.326298 -3.14492 0.5162086 
-2.023798 -3.077736 0.3375942 
-1.236523 -2.729899 0.6240084 
-1.284305 -3.603226 0.716648 
-1.696497 -3.64509 0.632711 
-1.606964 -3.527957 0.5890025 
-0.81756 -3.90558 0.8365953 
-1.219601 -3.019022 -0.06447225 
-0.63331 -2.967874 0.6646602 
-0.8272291 -3.166091 0.6538545 
-2.041725 -3.976881 0.7319421 
-0.9242414 -3.472571 0.6311776 
-1.413198 -3.480216 0.4996308 
-1.918981 -3.951053 0.2004446 
-1.303626 -3.810921 0.9197885 
-1.376894 -3.498132 0.534676 
-1.429471 -3.576645 0.6823977 
-1.338698 -1.984996 0.2431163 
-1.598449 -3.536308 0.951942 
-2.556584 -3.565785 1.064332 
-1.072778 -3.281279 0.4385975 
-1.689519 -3.818527 0.492867 
-1.374447 -4.028976 0.5664414 
-0.3218268 -5.002433 1.200985 
-1.913806 -4.990715 0.9478293 
-0.9238012 -5.767062 0.5681742 
-1.005271 -6.262818 -0.07643208 
-1.962657 -6.567819 0.7322072 
-2.041835 -5.982064 0.9505759 
-1.573738 -5.250627 0.8269231 
-1.308408 -5.964919 0.6731482 
-0.9946029 -6.416093 0.02109129 
-2.022696 -5.743243 0.4609255 
-2.213378 -5.461685 0.584991 
-1.970066 -6.290062 0.7516206 
-1.621067 -6.009665 1.155642 
-1.981655 -4.479506 0.9150134 
-2.042912 -4.052755 0.9175778 
-1.330679 -3.033436 0.2162572 
-1.89179 -2.697354 0.6729079 
-0.9379382 -3.190961 0.4964449 
-0.8365331 -3.159254 0.3607354 
-1.207087 -3.262322 0.7314712 
-1.648943 -2.648792 0.5720985 
-1.092333 -2.707715 0.8969569 
-1.154378 -3.164964 0.7220763 
-0.5739996 -3.218241 -0.186049 
-1.42511 -2.196781 0.4374499 
-1.250312 -2.913538 0.7257818 
-1.276938 -3.138471 0.800408 
-0.921457 -3.606916 0.6754433 
-1.61657 -3.511297 0.7280092 
-1.544975 -3.193663 0.5459843 
-1.689334 -3.555448 0.8920932 
-1.4991 -2.245975 0.3986537 
-1.409608 -3.137106 0.5044993 
-1.372804 -2.593341 0.4373654 
-1.395884 -2.670152 0.8985965 
-1.169711 -3.066415 0.6670714 
-1.380693 -2.820402 0.1086024 
-1.424314 -3.254345 0.6391378 
-1.773164 -3.641457 0.4835995 
-1.259923 -3.893229 0.6098582 
