"p_1" "p_2"
0.7998383 0.2001617
0.7558773 0.2441227
0.773408 0.226592
0.7857646 0.2142354
0.7704052 0.2295948
0.7629675 0.2370325
0.7785745 0.2214255
0.7671413 0.2328587
0.7585611 0.2414389
0.7900348 0.2099652
0.8057602 0.1942398
0.782599 0.217401
0.7951815 0.2048185
0.7872048 0.2127952
0.7805431 0.2194569
0.8003688 0.1996312
0.7772952 0.2227048
0.7920186 0.2079814
0.7823737 0.2176263
0.7874364 0.2125636
0.7752582 0.2247418
0.773476 0.226524
0.7694139 0.2305861
0.7447685 0.2552315
0.7735579 0.2264421
0.7822883 0.2177117
0.7832977 0.2167023
0.792235 0.207765
0.7927835 0.2072165
0.7463525 0.2536475
0.7981999 0.2018001
0.8054845 0.1945155
0.7817793 0.2182207
0.7952508 0.2047492
0.7935066 0.2064934
0.7915433 0.2084567
0.7593497 0.2406503
0.8032641 0.1967359
0.789573 0.210427
0.7840583 0.2159417
0.7777876 0.2222124
0.7735606 0.2264394
0.7839805 0.2160195
0.7868913 0.2131087
0.7709141 0.2290859
0.7838219 0.2161781
0.7742721 0.2257279
0.7754898 0.2245102
0.7705386 0.2294614
0.7771289 0.2228711
0.7480734 0.2519266
0.7807285 0.2192715
0.7857647 0.2142353
0.7751533 0.2248467
0.7842848 0.2157152
0.7979024 0.2020976
0.7992888 0.2007112
0.7954397 0.2045603
0.7726379 0.2273621
0.8087767 0.1912233
0.798926 0.201074
0.7637798 0.2362202
0.7636137 0.2363863
0.7918915 0.2081085
0.7656928 0.2343072
0.8094243 0.1905757
0.7799996 0.2200004
0.7723082 0.2276918
0.7856588 0.2143412
0.7741022 0.2258978
0.775146 0.224854
0.7720196 0.2279804
0.7699892 0.2300108
0.773449 0.226551
0.7776822 0.2223178
0.7849243 0.2150757
0.7781289 0.2218711
0.809045 0.190955
0.7708218 0.2291782
0.7601916 0.2398084
0.7900287 0.2099713
0.7735205 0.2264795
0.7707923 0.2292077
0.7694934 0.2305066
0.7798427 0.2201573
0.7961445 0.2038555
0.7657621 0.2342379
0.7667228 0.2332772
0.7867811 0.2132189
0.7966742 0.2033258
0.8053467 0.1946533
0.790905 0.209095
0.7772116 0.2227884
0.7751069 0.2248931
0.7924684 0.2075316
0.7800916 0.2199084
0.7692455 0.2307545
0.7705598 0.2294402
0.7785249 0.2214751
0.7805294 0.2194706
0.7775381 0.2224619
0.7917618 0.2082382
0.7943103 0.2056897
0.7955697 0.2044303
0.7871621 0.2128379
0.7822777 0.2177223
0.7938617 0.2061383
0.7906445 0.2093555
0.7749754 0.2250246
0.7901903 0.2098097
0.7733692 0.2266308
0.7842831 0.2157169
0.7769715 0.2230285
0.7734225 0.2265775
0.7629231 0.2370769
0.7840636 0.2159364
0.7729637 0.2270363
0.7929774 0.2070226
0.7954936 0.2045064
0.7750699 0.2249301
0.7798495 0.2201505
0.7844721 0.2155279
0.7801697 0.2198303
0.7912048 0.2087952
0.782624 0.217376
0.7787007 0.2212993
0.7509751 0.2490249
0.7734164 0.2265836
0.7822463 0.2177537
0.7856231 0.2143769
0.7767386 0.2232614
0.7882258 0.2117742
0.7842878 0.2157122
0.7629819 0.2370181
0.7737457 0.2262543
0.781778 0.218222
0.7920872 0.2079128
0.7856747 0.2143253
0.7642904 0.2357096
0.7874772 0.2125228
0.7782506 0.2217494
0.7647521 0.2352479
0.78318 0.21682
0.7797744 0.2202256
0.7759719 0.2240281
0.7715733 0.2284267
0.8103983 0.1896017
0.7611231 0.2388769
0.7676954 0.2323046
0.7925391 0.2074609
0.7748283 0.2251717
0.792618 0.207382
0.777262 0.222738
0.7963516 0.2036484
0.7939088 0.2060912
0.7871654 0.2128346
0.7770972 0.2229028
0.7556325 0.2443675
0.7856556 0.2143444
0.7859227 0.2140773
0.7844138 0.2155862
0.7818953 0.2181047
0.7958963 0.2041037
0.777998 0.222002
0.7942995 0.2057005
0.7768075 0.2231925
0.7640608 0.2359392
0.7830345 0.2169655
0.8085873 0.1914127
0.7807919 0.2192081
0.7931602 0.2068398
0.8007521 0.1992479
0.7825566 0.2174434
0.7904911 0.2095089
0.7880833 0.2119167
0.7948862 0.2051138
0.8042692 0.1957308
0.7857511 0.2142489
0.7598024 0.2401976
0.7965066 0.2034934
0.7701757 0.2298243
0.777567 0.222433
0.7937928 0.2062072
0.7865146 0.2134854
0.7743357 0.2256643
0.7685807 0.2314193
0.7669768 0.2330232
0.7847919 0.2152081
0.7435503 0.2564497
0.7706276 0.2293724
0.7672982 0.2327018
0.7790908 0.2209092
0.7738992 0.2261008
0.7672738 0.2327262
0.7687108 0.2312892
0.7564186 0.2435814
0.8084576 0.1915424
0.7952817 0.2047183
0.8088986 0.1911014
0.7683935 0.2316065
0.7818888 0.2181112
0.7550176 0.2449824
0.7958124 0.2041876
0.8012961 0.1987039
0.8021078 0.1978922
0.7815613 0.2184387
0.8046022 0.1953978
0.7726889 0.2273111
0.7737353 0.2262647
0.7751964 0.2248036
0.7822605 0.2177395
0.7469184 0.2530816
0.7840517 0.2159483
0.783937 0.216063
0.7953162 0.2046838
0.780569 0.219431
0.7730559 0.2269441
0.7846781 0.2153219
0.7915072 0.2084928
0.7903568 0.2096432
0.8029091 0.1970909
0.8063467 0.1936533
0.7803015 0.2196985
0.7975789 0.2024211
0.7355949 0.2644051
0.7889146 0.2110854
0.7893407 0.2106593
0.7805389 0.2194611
0.7855141 0.2144859
0.7990664 0.2009336
0.7720116 0.2279884
0.7827731 0.2172269
0.7353926 0.2646074
0.7862982 0.2137018
0.7942228 0.2057772
0.7829893 0.2170107
0.7825412 0.2174588
0.7835546 0.2164454
0.7660677 0.2339323
0.7619183 0.2380817
0.764085 0.235915
0.7612087 0.2387913
0.7647888 0.2352112
0.7883058 0.2116942
0.767869 0.232131
0.8092967 0.1907033
0.7944435 0.2055565
0.77416 0.22584
0.7763438 0.2236562
0.7866215 0.2133785
0.8103604 0.1896396
0.7787648 0.2212352
0.7845179 0.2154821
0.7726365 0.2273635
0.775095 0.224905
0.7821384 0.2178616
0.7768996 0.2231004
0.7802881 0.2197119
0.7898078 0.2101922
0.7847867 0.2152133
0.7758146 0.2241854
0.7681743 0.2318257
0.7808655 0.2191345
0.7945489 0.2054511
0.7834605 0.2165395
0.7731519 0.2268481
0.776501 0.223499
0.7785048 0.2214952
0.7841942 0.2158058
0.7508025 0.2491975
0.778848 0.221152
0.8133115 0.1866885
0.7742287 0.2257713
0.7882171 0.2117829
0.7858817 0.2141183
0.7568856 0.2431144
0.7866902 0.2133098
0.794031 0.205969
0.7790356 0.2209644
0.8018928 0.1981072
0.7594466 0.2405534
0.7899587 0.2100413
0.7797244 0.2202756
0.7875001 0.2124999
0.7943713 0.2056287
0.7839778 0.2160222
0.7703648 0.2296352
0.7891161 0.2108839
0.7696719 0.2303281
0.7787231 0.2212769
0.7670974 0.2329026
0.7847992 0.2152008
0.7958635 0.2041365
0.7942821 0.2057179
0.7689224 0.2310776
0.8089434 0.1910566
0.7544972 0.2455028
0.7943598 0.2056402
0.7893392 0.2106608
0.7834511 0.2165489
0.7840169 0.2159831
0.7664174 0.2335826
0.7927727 0.2072273
0.7725424 0.2274576
0.7836429 0.2163571
0.7947384 0.2052616
0.7951954 0.2048046
0.7820096 0.2179904
0.7609272 0.2390728
0.7903656 0.2096344
0.7789488 0.2210512
0.7688865 0.2311135
0.787731 0.212269
0.7860641 0.2139359
0.7617894 0.2382106
0.7765868 0.2234132
0.7759458 0.2240542
0.7965284 0.2034716
0.7544822 0.2455178
0.7671471 0.2328529
0.7906545 0.2093455
0.7912306 0.2087694
0.7701505 0.2298495
0.787718 0.212282
0.7906088 0.2093912
0.8059036 0.1940964
0.7817602 0.2182398
0.8043648 0.1956352
0.7953571 0.2046429
0.8073918 0.1926082
0.7670405 0.2329595
0.7844391 0.2155609
0.771172 0.228828
0.7754859 0.2245141
0.7531888 0.2468112
0.7813118 0.2186882
0.7646716 0.2353284
0.8009861 0.1990139
0.7700799 0.2299201
0.7946404 0.2053596
0.7989939 0.2010061
0.7754677 0.2245323
0.7820196 0.2179804
0.7806282 0.2193718
0.7939478 0.2060522
0.7968994 0.2031006
0.7833603 0.2166397
0.7956778 0.2043222
0.779933 0.220067
0.7734325 0.2265675
0.7634311 0.2365689
0.7777157 0.2222843
0.7650007 0.2349993
0.8041332 0.1958668
0.7873269 0.2126731
0.7650021 0.2349979
0.7889839 0.2110161
0.7888998 0.2111002
0.798702 0.201298
0.7882361 0.2117639
0.7841845 0.2158155
0.7995771 0.2004229
0.7672535 0.2327465
0.7954482 0.2045518
0.7854024 0.2145976
0.8046367 0.1953633
0.7742587 0.2257413
0.8011544 0.1988456
0.8110511 0.1889489
0.7866272 0.2133728
0.7999661 0.2000339
0.7835857 0.2164143
0.786512 0.213488
0.8017567 0.1982433
0.7762969 0.2237031
0.8042848 0.1957152
0.761623 0.238377
0.7729611 0.2270389
0.7863525 0.2136475
0.7745802 0.2254198
0.7645091 0.2354909
0.7830765 0.2169235
0.7758662 0.2241338
0.7953247 0.2046753
0.7585762 0.2414238
0.780393 0.219607
0.7826778 0.2173222
0.7946753 0.2053247
0.7597065 0.2402935
0.8061745 0.1938255
0.7659904 0.2340096
0.7647083 0.2352917
0.8002955 0.1997045
0.7751678 0.2248322
0.7720475 0.2279525
0.7605778 0.2394222
0.791731 0.208269
0.7819922 0.2180078
0.7728068 0.2271932
0.7709878 0.2290122
0.7709371 0.2290629
0.7691981 0.2308019
0.7621713 0.2378287
0.8010253 0.1989747
0.7640976 0.2359024
0.7910881 0.2089119
0.8038743 0.1961257
0.7745801 0.2254199
0.7780527 0.2219473
0.769331 0.230669
0.7847112 0.2152888
0.7765415 0.2234585
0.784356 0.215644
0.7924146 0.2075854
0.7806545 0.2193455
0.7671445 0.2328555
0.7765523 0.2234477
0.7693263 0.2306737
0.7842106 0.2157894
0.7877935 0.2122065
0.7764487 0.2235513
0.7845323 0.2154677
0.7734065 0.2265935
0.7526139 0.2473861
0.7790145 0.2209855
0.7681755 0.2318245
0.8006594 0.1993406
0.7761152 0.2238848
0.7994859 0.2005141
0.7836381 0.2163619
0.7859405 0.2140595
0.7883384 0.2116616
0.7737205 0.2262795
0.8109908 0.1890092
0.806036 0.193964
0.7557354 0.2442646
0.7720307 0.2279693
0.7727267 0.2272733
0.7776488 0.2223512
0.7611469 0.2388531
0.7707293 0.2292707
0.7797705 0.2202295
0.7868326 0.2131674
0.7743036 0.2256964
0.8075846 0.1924154
0.7829357 0.2170643
0.8019561 0.1980439
0.8009733 0.1990267
0.780318 0.219682
0.7997853 0.2002147
0.7843324 0.2156676
0.7793966 0.2206034
0.7708941 0.2291059
0.7940224 0.2059776
0.7766505 0.2233495
0.7740726 0.2259274
0.7944495 0.2055505
0.7486979 0.2513021
0.7902037 0.2097963
0.7634561 0.2365439
0.7712403 0.2287597
0.7903128 0.2096872
0.7792801 0.2207199
0.771816 0.228184
0.7492686 0.2507314
0.7618969 0.2381031
0.7809218 0.2190782
0.7786363 0.2213637
0.7758253 0.2241747
0.7905629 0.2094371
0.7917764 0.2082236
0.8101324 0.1898676
0.7725802 0.2274198
0.8117705 0.1882295
0.7798823 0.2201177
0.7774516 0.2225484
0.7926348 0.2073652
0.768086 0.231914
0.7694117 0.2305883
0.7901321 0.2098679
0.7963815 0.2036185
0.7755813 0.2244187
0.7972135 0.2027865
0.7769317 0.2230683
0.7905077 0.2094923
0.7824843 0.2175157
0.7832107 0.2167893
0.7481589 0.2518411
0.7933926 0.2066074
0.7656259 0.2343741
0.7890785 0.2109215
0.786086 0.213914
0.7624368 0.2375632
0.7813634 0.2186366
0.7808458 0.2191542
0.78896 0.21104
0.7819156 0.2180844
0.7945537 0.2054463
0.7957601 0.2042399
0.7965699 0.2034301
0.7997593 0.2002407
0.7700316 0.2299684
0.7721053 0.2278947
0.7934857 0.2065143
0.7839665 0.2160335
0.7919302 0.2080698
0.7656733 0.2343267
0.7869416 0.2130584
0.7612885 0.2387115
0.7665165 0.2334835
0.7989747 0.2010253
0.7719671 0.2280329
0.791105 0.208895
0.7792358 0.2207642
0.7807801 0.2192199
0.7995291 0.2004709
0.7776156 0.2223844
0.7786306 0.2213694
0.7668675 0.2331325
0.7935794 0.2064206
0.7673322 0.2326678
0.803164 0.196836
0.7758245 0.2241755
0.7773451 0.2226549
0.7887311 0.2112689
0.7558433 0.2441567
0.7674397 0.2325603
0.7566218 0.2433782
0.7944232 0.2055768
0.7815335 0.2184665
0.7702971 0.2297029
0.7622735 0.2377265
0.7833916 0.2166084
0.7596359 0.2403641
0.7935192 0.2064808
0.772758 0.227242
0.7886228 0.2113772
0.7873191 0.2126809
0.7854102 0.2145898
0.8012682 0.1987318
0.7899391 0.2100609
0.764659 0.235341
0.8012452 0.1987548
0.7529244 0.2470756
0.7712511 0.2287489
0.7728071 0.2271929
0.7665142 0.2334858
0.8074166 0.1925834
0.7839309 0.2160691
0.7901154 0.2098846
0.7800409 0.2199591
0.8033358 0.1966642
0.7652744 0.2347256
0.7866747 0.2133253
0.7863391 0.2136609
0.7712502 0.2287498
0.7674337 0.2325663
0.7713127 0.2286873
0.811704 0.188296
0.7829105 0.2170895
0.7849022 0.2150978
0.7691963 0.2308037
0.7802797 0.2197203
0.7815298 0.2184702
0.7966696 0.2033304
0.7819157 0.2180843
0.7607653 0.2392347
0.7656879 0.2343121
0.785359 0.214641
0.7724594 0.2275406
0.7965147 0.2034853
0.7837244 0.2162756
0.7743282 0.2256718
0.768735 0.231265
0.7901332 0.2098668
0.7966854 0.2033146
0.7954051 0.2045949
0.7919893 0.2080107
0.7776425 0.2223575
0.7876301 0.2123699
0.7782569 0.2217431
0.7636215 0.2363785
0.7890256 0.2109744
0.8009679 0.1990321
0.782523 0.217477
0.7912783 0.2087217
0.7604996 0.2395004
0.777268 0.222732
0.7742237 0.2257763
0.7725942 0.2274058
0.7881447 0.2118553
0.7774833 0.2225167
0.7714166 0.2285834
0.7916181 0.2083819
0.7974114 0.2025886
0.7811268 0.2188732
0.8024757 0.1975243
0.7758793 0.2241207
0.7607889 0.2392111
0.7695429 0.2304571
0.7838852 0.2161148
0.7897359 0.2102641
0.777252 0.222748
0.7933709 0.2066291
0.7793588 0.2206412
0.7704501 0.2295499
0.7789027 0.2210973
0.7813489 0.2186511
0.7697588 0.2302412
0.8065831 0.1934169
0.8111397 0.1888603
0.785303 0.214697
0.7714373 0.2285627
0.7903402 0.2096598
0.8033021 0.1966979
0.7780921 0.2219079
0.7895653 0.2104347
0.7569795 0.2430205
0.7736648 0.2263352
0.7870515 0.2129485
0.7758925 0.2241075
0.7984198 0.2015802
0.7842668 0.2157332
0.7826541 0.2173459
0.7807841 0.2192159
0.8016683 0.1983317
0.7900439 0.2099561
0.804137 0.195863
0.7637988 0.2362012
0.815986 0.184014
0.777313 0.222687
0.7751307 0.2248693
0.7747715 0.2252285
0.7852579 0.2147421
0.794613 0.205387
0.8003414 0.1996586
0.8046418 0.1953582
0.7737701 0.2262299
0.7990606 0.2009394
0.7805995 0.2194005
0.7745531 0.2254469
0.7630907 0.2369093
0.7663315 0.2336685
0.7881828 0.2118172
0.803318 0.196682
0.7695892 0.2304108
0.7856422 0.2143578
0.7738634 0.2261366
0.7955406 0.2044594
0.7774501 0.2225499
0.7792522 0.2207478
0.7513428 0.2486572
0.8120529 0.1879471
0.7876273 0.2123727
0.7467035 0.2532965
0.7545287 0.2454713
0.7693409 0.2306591
0.7699329 0.2300671
0.7687568 0.2312432
0.7598021 0.2401979
0.7903644 0.2096356
0.7709488 0.2290512
0.7987638 0.2012362
0.7663037 0.2336963
0.7794059 0.2205941
0.7749336 0.2250664
0.784531 0.215469
0.763214 0.236786
0.7807888 0.2192112
0.7700311 0.2299689
0.7466219 0.2533781
0.7623041 0.2376959
0.7930788 0.2069212
0.7745638 0.2254362
0.7999722 0.2000278
0.7734006 0.2265994
0.7790273 0.2209727
0.7613081 0.2386919
0.7605834 0.2394166
