"beta1_1" "beta2_1" "beta1_2" "beta2_2"
0.05252876 3.963565 -13.23091 -4.954398
0.1067029 3.998878 -13.88931 -4.984959
0.04935011 3.988968 -13.12962 -5.038125
0.1636288 3.975789 -12.9202 -5.011534
0.1598145 3.984322 -13.32621 -5.081546
0.0843432 3.974734 -13.58019 -4.985652
0.05747855 3.965277 -13.47513 -5.251109
0.1049857 3.989212 -12.84285 -5.160995
0.1047747 4.015706 -13.2081 -4.98004
0.1104702 3.98116 -12.96379 -5.135984
0.1343132 3.988805 -13.23715 -4.846325
0.0585653 3.958811 -13.25072 -5.052203
0.08965687 3.987566 -13.5372 -5.000375
0.1307408 3.981006 -13.19156 -5.123465
0.08426799 3.970083 -12.90222 -4.924674
0.08858462 3.97804 -13.29343 -5.003478
0.1032409 3.971733 -13.60091 -4.976345
0.07228907 3.973825 -13.53989 -4.918914
0.09988232 3.943131 -13.5117 -5.054222
0.0446132 3.973196 -13.842 -5.08397
0.0854343 3.979884 -13.99644 -5.005356
0.1051186 3.980551 -14.19229 -5.246737
0.04473729 3.981286 -13.05063 -5.031617
0.08334133 3.966678 -13.48625 -4.852484
0.11117 3.9851 -13.69989 -5.035711
0.1147074 3.968146 -13.8646 -4.859916
0.09343873 3.998804 -13.66446 -5.09949
0.1305694 4.011162 -13.54046 -5.263462
0.04687307 3.989871 -13.46492 -5.00837
0.02507274 3.997677 -13.69104 -5.126698
-0.01191526 3.949098 -13.42591 -5.116704
0.1098239 3.978129 -14.121 -5.252736
0.04591537 3.995205 -13.54263 -4.891968
0.1174443 3.96109 -14.009 -4.815378
0.02418335 3.930969 -13.82378 -4.854909
0.07757522 3.997486 -14.25279 -5.371643
0.06293491 3.981945 -14.36277 -5.186775
0.05717069 3.98902 -14.19167 -5.024511
0.09669006 3.979723 -14.0587 -5.043365
0.08502468 3.964709 -13.87462 -5.085081
0.1440532 3.977647 -13.5567 -4.966071
0.1062933 3.973311 -13.69354 -4.982459
0.1125205 3.986176 -13.77274 -5.110276
0.0068443 3.957747 -13.64924 -5.052787
0.1341838 3.995082 -13.52799 -5.090653
0.03617378 3.995254 -12.84294 -5.018465
0.09549378 3.982558 -13.48404 -5.016379
0.03226428 3.966678 -13.09881 -5.134997
0.06104753 3.962687 -13.1352 -5.168345
0.06358884 3.971342 -12.99507 -5.052842
0.03855565 3.95652 -13.68434 -4.856599
0.04949729 3.976476 -13.80732 -5.078654
0.1494428 3.964279 -14.09702 -5.244792
0.03934421 3.964032 -13.22249 -5.267308
0.1271545 3.943763 -13.4233 -5.33208
-0.02247579 3.964129 -12.6164 -5.096574
0.1349904 3.997867 -13.00826 -5.21887
0.1175608 3.990246 -12.59441 -5.226152
0.1305966 4.000786 -13.1126 -5.030807
0.01342629 3.956756 -13.29914 -4.757916
0.1331614 3.944807 -13.65389 -4.985007
0.1199602 3.966616 -13.66143 -4.996562
0.1179235 3.979901 -13.88662 -5.016565
0.0504867 3.961007 -13.74152 -5.105712
0.07485137 3.991245 -13.56219 -5.597517
0.05967099 3.993586 -13.66029 -5.177856
0.1011002 3.960397 -13.2397 -5.037292
0.1628559 3.956423 -13.15332 -5.147223
0.06889488 3.975791 -13.32155 -5.014882
0.05358855 3.991356 -13.99347 -5.311967
0.07845497 3.969026 -14.05447 -5.259426
0.02189341 3.937357 -13.50909 -4.87349
0.07899544 3.967026 -13.05652 -5.09502
0.1192595 3.994865 -12.96592 -5.094448
0.1383424 3.96989 -12.94589 -5.208475
0.1149243 3.952933 -13.17572 -4.951087
0.0262991 3.97574 -12.64058 -5.232856
0.182659 3.957342 -13.89335 -5.162323
0.1320328 3.975867 -12.94932 -4.965064
0.08409978 3.968196 -12.98097 -5.079739
0.0110125 4.001926 -13.68065 -5.098773
0.09056288 3.979503 -13.91783 -4.996828
0.1379091 3.985681 -14.22303 -4.979003
0.1400063 3.997785 -14.07971 -4.910072
0.03651114 3.967942 -13.66898 -5.294386
0.1212977 3.966415 -14.7089 -4.891018
0.0686949 3.98495 -13.70281 -4.998801
0.09379444 4.005478 -13.7386 -5.188195
0.1121052 3.99184 -13.78319 -5.175409
0.1182363 3.975879 -13.99313 -5.112157
0.0356349 3.950413 -13.16454 -5.068917
0.07963966 4.004093 -13.78968 -5.044444
0.04556137 3.994316 -13.43325 -5.063217
0.1041149 3.979443 -13.36109 -5.093164
0.1217234 3.975583 -13.29887 -5.272043
0.1089801 3.959978 -13.04956 -4.860934
0.1523411 3.961296 -13.61266 -5.196407
0.08509016 3.970636 -13.49039 -5.229866
-0.003746875 3.9742 -13.70544 -5.079069
-0.0119514 4.006959 -14.06289 -4.987796
-0.001568335 3.979387 -14.34782 -4.82315
0.002648705 3.991307 -14.9589 -5.267533
